,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.920,2.05855455121e-07,3.07038510276e-09,3.69250050731e-10,4.41228394232e-10
2019-10-31 23:44:58.920,1.97731734401e-07,3.10081682769e-09,3.81340852514e-10,4.52592366679e-10
2019-10-31 23:59:58.920,1.93131955191e-07,3.10023688704e-09,3.38042060171e-10,4.11642263763e-10
2019-11-01 00:14:58.920,1.97125882693e-07,3.01922561015e-09,3.29979258442e-10,4.04760055987e-10
2019-11-01 00:29:58.920,2.09689244936e-07,3.04775146073e-09,3.28064683201e-10,4.0022350697e-10
2019-11-01 00:44:58.920,2.12832277144e-07,3.07419193032e-09,3.53164457872e-10,4.22492500556e-10
2019-11-01 00:59:58.920,2.00690684024e-07,3.00103694695e-09,3.54019586188e-10,4.25709301081e-10
2019-11-01 01:14:58.920,2.03776172829e-07,2.95202553268e-09,3.39860811647e-10,4.12334657827e-10
2019-11-01 01:29:58.920,2.07353495273e-07,2.90567092121e-09,3.47074944345e-10,4.18506482708e-10
2019-11-01 01:44:58.920,2.01425717983e-07,2.90587373123e-09,3.36285212524e-10,4.09144000761e-10
2019-11-01 01:59:58.920,1.97171417257e-07,3.00001811994e-09,3.81849773562e-10,4.52076616115e-10
2019-11-01 02:14:58.920,2.09895803099e-07,2.96816945448e-09,4.10633925084e-10,4.81936141458e-10
2019-11-01 02:29:58.920,2.07774209657e-07,2.81227443445e-09,3.16353678301e-10,3.94009440723e-10
2019-11-01 02:44:58.920,1.90280638277e-07,2.87439498389e-09,3.66327146954e-10,4.41076732015e-10
2019-11-01 02:59:58.920,1.97479399444e-07,2.87613252734e-09,3.95542674079e-10,4.67067423862e-10
2019-11-01 03:14:58.920,2.09623610452e-07,2.80387806028e-09,3.74537442589e-10,4.43667282667e-10
2019-11-01 03:29:58.920,2.15136706939e-07,2.71291441162e-09,4.23456157485e-10,4.87904791439e-10
2019-11-01 03:44:58.920,2.13486387394e-07,2.64426640919e-09,4.23243745768e-10,4.88638437753e-10
2019-11-01 03:59:58.920,2.07809064979e-07,2.67167177678e-09,4.4366636058e-10,5.08161678158e-10
2019-11-01 04:14:58.920,2.09027408666e-07,2.70409771186e-09,5.20396032942e-10,5.80159042877e-10
2019-11-01 04:29:58.920,2.09557072504e-07,2.79370761196e-09,6.16789757168e-10,6.75124196912e-10
2019-11-01 04:44:58.920,2.30992959508e-07,2.8170980688e-09,6.80072096683e-10,7.33604076446e-10
2019-11-01 04:59:58.920,2.37754078151e-07,2.83736585216e-09,7.55436173764e-10,7.9568783012e-10
2019-11-01 05:14:58.920,2.29592815939e-07,3.13065321095e-09,8.40862488717e-10,8.81451717457e-10
2019-11-01 05:29:58.920,2.45084553599e-07,3.00784283587e-09,8.91527088722e-10,9.41743861323e-10
2019-11-01 05:44:58.920,2.37491208495e-07,3.0306742715e-09,9.86996288063e-10,1.0421175082e-09
2019-11-01 05:59:58.920,2.29921093138e-07,3.1586349957e-09,1.08975322895e-09,1.13863133007e-09
2019-11-01 06:14:58.920,2.39774244059e-07,3.28209421372e-09,1.15421341786e-09,1.19950806381e-09
2019-11-01 06:29:58.920,2.50717772082e-07,3.27198080222e-09,1.17303863649e-09,1.21420856621e-09
2019-11-01 06:44:58.920,2.58837396361e-07,3.31811912298e-09,1.23974959646e-09,1.28288368203e-09
2019-11-01 06:59:58.920,2.51927279161e-07,3.27349607925e-09,1.23629211146e-09,1.29466924573e-09
2019-11-01 07:14:58.920,2.68924464668e-07,3.30877028788e-09,1.26483706975e-09,1.31772473332e-09
2019-11-01 07:29:58.920,2.8611949124e-07,3.39310960529e-09,1.2929460409e-09,1.33529539224e-09
2019-11-01 07:44:58.920,2.90963977983e-07,3.39764601056e-09,1.22073176933e-09,1.26310325444e-09
2019-11-01 07:59:58.920,3.01038829814e-07,3.34458012657e-09,1.13526022925e-09,1.18172153999e-09
2019-11-01 08:14:58.920,3.09255227045e-07,3.5172247155e-09,1.14423674535e-09,1.19026345155e-09
2019-11-01 08:29:58.920,3.1111086617e-07,3.56060997571e-09,1.16155539373e-09,1.20491568617e-09
2019-11-01 08:44:58.920,3.11303855017e-07,3.41197580766e-09,1.11560676762e-09,1.15953861134e-09
2019-11-01 08:59:58.920,3.29511109725e-07,3.51325305448e-09,1.12416622597e-09,1.16653352805e-09
2019-11-01 09:14:58.920,3.20710303596e-07,4.12866287419e-09,1.99229838143e-09,2.09711887114e-09
2019-11-01 09:29:58.920,3.17699553397e-07,4.15169115065e-09,2.02999855111e-09,2.13937009065e-09
2019-11-01 09:44:58.920,3.30192971352e-07,3.65780293398e-09,1.1103151884e-09,1.16275572976e-09
2019-11-01 09:59:58.920,3.50878750048e-07,3.65891872477e-09,1.01558935114e-09,1.0605767705e-09
2019-11-01 10:14:58.920,3.55854019823e-07,3.62984659146e-09,9.99608737912e-10,1.04361172631e-09
2019-11-01 10:29:58.920,3.6109465674e-07,3.54507636807e-09,9.56894108528e-10,1.00640732046e-09
2019-11-01 10:44:58.920,3.37914966694e-07,3.54008551394e-09,1.08042010079e-09,1.12909596733e-09
2019-11-01 10:59:58.920,3.43657966696e-07,3.63271694919e-09,1.18693513978e-09,1.24068297905e-09
2019-11-01 11:14:58.920,3.62161882897e-07,3.61184047546e-09,1.17392620147e-09,1.226860493e-09
2019-11-01 11:29:58.920,3.88802400819e-07,3.47016066353e-09,1.13700970351e-09,1.18117372791e-09
2019-11-01 11:44:58.920,4.02896389085e-07,3.6065989901e-09,1.18954527496e-09,1.2320157588e-09
2019-11-01 11:59:58.920,3.95067636845e-07,3.62976274553e-09,1.21923282256e-09,1.26169519493e-09
2019-11-01 12:14:58.920,3.90265050663e-07,3.50805599544e-09,1.17554742841e-09,1.22568628452e-09
2019-11-01 12:29:58.920,3.76263207496e-07,3.42165591764e-09,1.13029374036e-09,1.17729982847e-09
2019-11-01 12:44:58.920,3.83859784962e-07,3.43667762103e-09,1.1771332629e-09,1.22352506485e-09
2019-11-01 12:59:58.920,3.97158243145e-07,3.45524580902e-09,1.12206945813e-09,1.16898536864e-09
2019-11-01 13:14:58.920,3.89988179061e-07,3.50230418791e-09,1.20653820808e-09,1.25238304825e-09
2019-11-01 13:29:58.920,4.02047112239e-07,3.55973514742e-09,1.19085780733e-09,1.23385334924e-09
2019-11-01 13:44:58.920,4.31919817556e-07,3.51087240604e-09,1.05635170153e-09,1.10194220145e-09
2019-11-01 13:59:58.920,4.50054515972e-07,3.47586084865e-09,1.02962616907e-09,1.07542483244e-09
2019-11-01 14:14:58.920,4.22189578852e-07,3.48593424984e-09,1.02145152494e-09,1.06766911296e-09
2019-11-01 14:29:58.920,4.35805017369e-07,3.34486008673e-09,9.32715232874e-10,9.83725007685e-10
2019-11-01 14:44:58.920,4.75800350794e-07,3.44938850103e-09,9.85395285272e-10,1.03322413553e-09
2019-11-01 14:59:58.920,4.34938555572e-07,3.55444028353e-09,9.49498240009e-10,9.96997992714e-10
2019-11-01 15:14:58.920,4.42671597165e-07,3.49373118183e-09,8.25131350487e-10,8.74542698649e-10
2019-11-01 15:29:58.920,4.59985458402e-07,3.42804860016e-09,8.22391421959e-10,8.74335443772e-10
2019-11-01 15:44:58.920,4.50496356193e-07,3.36291608069e-09,8.23430238951e-10,8.83354628132e-10
2019-11-01 15:59:58.920,4.35247766862e-07,3.20959622354e-09,7.8979256891e-10,8.43646371379e-10
2019-11-01 16:14:58.920,4.73613871284e-07,3.21961660299e-09,7.61837419135e-10,8.06214892637e-10
2019-11-01 16:29:58.920,4.92275552391e-07,3.25239507768e-09,7.16655402864e-10,7.58608973507e-10
2019-11-01 16:44:58.920,4.89376539908e-07,3.35097597057e-09,6.83380311272e-10,7.25215527019e-10
2019-11-01 16:59:58.920,4.88460568748e-07,3.3251455983e-09,6.74303655275e-10,7.14524728118e-10
2019-11-01 17:14:58.920,4.88599297669e-07,3.26281526904e-09,6.62096179564e-10,7.01290340577e-10
2019-11-01 17:29:58.920,4.86132677251e-07,3.39213341829e-09,6.73699643378e-10,7.12267528154e-10
2019-11-01 17:44:58.920,4.78169652214e-07,3.36113163538e-09,6.95266889684e-10,7.34042569531e-10
2019-11-01 17:59:58.920,4.83953840866e-07,3.30337512296e-09,6.36630347421e-10,6.74786900326e-10
2019-11-01 18:14:58.920,4.79220724239e-07,3.30145250559e-09,6.15701270766e-10,6.54146158316e-10
2019-11-01 18:29:58.920,4.77779682082e-07,3.23262515778e-09,6.07850189635e-10,6.47052775964e-10
2019-11-01 18:44:58.920,4.86687416513e-07,3.17568248734e-09,5.93781089635e-10,6.57327480985e-10
2019-11-01 18:59:58.920,5.13051943443e-07,3.24505129558e-09,5.6495937633e-10,6.41274761459e-10
2019-11-01 19:14:58.920,5.31662812289e-07,3.30783326135e-09,5.54537026972e-10,6.20105208901e-10
2019-11-01 19:29:58.920,5.22048219361e-07,3.43121245511e-09,5.65833619411e-10,6.24359132406e-10
2019-11-01 19:44:58.920,5.06533827657e-07,3.3145260595e-09,5.36473033664e-10,5.98301379723e-10
2019-11-01 19:59:58.920,4.9509949077e-07,3.19970499369e-09,5.60971548454e-10,6.19060791562e-10
2019-11-01 20:14:58.920,5.04234850851e-07,3.2211610452e-09,5.96085452088e-10,6.54471600533e-10
2019-11-01 20:29:58.920,5.56901387073e-07,3.19004675548e-09,4.94040190893e-10,5.58779041502e-10
2019-11-01 20:44:58.920,5.40833321723e-07,3.03480274283e-09,4.6662087407e-10,5.31398553433e-10
2019-11-01 20:59:58.920,4.91606316102e-07,3.12102080822e-09,4.48591776456e-10,5.13565945132e-10
2019-11-01 21:14:58.920,5.16804030621e-07,3.13673907805e-09,4.54937017433e-10,5.21197291846e-10
2019-11-01 21:29:58.920,5.39126851601e-07,3.12175640128e-09,4.3958526058e-10,5.04203472632e-10
2019-11-01 21:44:58.920,5.44492289867e-07,3.05286189094e-09,4.35498193248e-10,4.96281826564e-10
2019-11-01 21:59:58.920,5.90301230186e-07,3.00788013599e-09,4.3282560009e-10,4.95273265733e-10
2019-11-01 22:14:58.920,5.8529060215e-07,2.88919491485e-09,4.38678840944e-10,5.00039789137e-10
2019-11-01 22:29:58.920,5.67898955955e-07,2.85116925587e-09,4.22064608318e-10,4.82997875266e-10
2019-11-01 22:44:58.920,5.65393438693e-07,2.94602778335e-09,4.26689479403e-10,4.87605839975e-10
2019-11-01 22:59:58.920,5.46573007216e-07,2.92629849989e-09,3.94645193392e-10,4.57112774952e-10
2019-11-01 23:14:58.920,5.61732850191e-07,2.97055358239e-09,3.74229051452e-10,4.41113593657e-10
2019-11-01 23:29:58.920,5.72136784703e-07,2.93158880994e-09,3.85122729553e-10,4.51868928004e-10
2019-11-01 23:44:58.920,5.6743658301e-07,2.89497613374e-09,3.90412816993e-10,4.55270773502e-10
2019-11-01 23:59:58.920,5.75067442363e-07,2.83047826183e-09,3.70043844572e-10,4.3336711595e-10
2019-11-02 00:29:58.680,6.15179360983e-07,2.77557527288e-09,3.80910306959e-10,4.44988829949e-10
2019-11-02 00:44:58.680,5.82918182699e-07,2.76152121777e-09,3.6961049292e-10,4.40410232071e-10
2019-11-02 00:59:58.680,5.71437071366e-07,2.70996335285e-09,4.04099702029e-10,4.70926402662e-10
2019-11-02 01:14:58.680,6.03318383683e-07,2.77416836104e-09,4.1510330804e-10,4.81539958835e-10
