,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:57.060,3.06690555474e-07,1.12717747594e-09,1.91722746602e-10,2.02569716242e-10
2019-10-31 23:44:57.060,3.01082104194e-07,1.12836325619e-09,1.95107586535e-10,2.04642449639e-10
2019-10-31 23:59:57.060,3.02237413398e-07,1.18246547219e-09,2.56795295559e-10,2.66657220029e-10
2019-11-01 00:14:57.060,3.06029105058e-07,1.20377149321e-09,3.18716089076e-10,3.30610687321e-10
2019-11-01 00:29:57.060,2.95173089098e-07,1.20730126789e-09,3.37738859104e-10,3.51772932575e-10
2019-11-01 00:44:57.060,3.04136382443e-07,1.13024001028e-09,2.20443261516e-10,2.30113344763e-10
2019-11-01 00:59:57.060,2.97405244148e-07,1.17540078149e-09,2.79992436167e-10,2.91056187283e-10
2019-11-01 01:14:57.060,2.91961487936e-07,1.20786575883e-09,2.43560999291e-10,2.5394215936e-10
2019-11-01 01:29:57.060,2.86290774303e-07,1.18948410408e-09,1.78642034322e-10,1.87276201376e-10
2019-11-01 01:44:57.060,2.88843295121e-07,1.20022658242e-09,2.24210025763e-10,2.33722365802e-10
2019-11-01 01:59:57.060,2.85173513031e-07,1.19102757529e-09,1.37335464172e-10,1.44809475348e-10
2019-11-01 02:14:57.060,2.72291644532e-07,1.14486511641e-09,1.20393170566e-10,1.26641669169e-10
2019-11-01 02:29:57.060,2.74103180403e-07,1.15222177175e-09,1.31864305241e-10,1.41613503669e-10
2019-11-01 02:44:57.060,2.88379451305e-07,1.16840477251e-09,1.73122742662e-10,1.82491249828e-10
2019-11-01 02:59:57.060,2.84807581006e-07,1.17539145965e-09,2.19231660919e-10,2.2612942172e-10
2019-11-01 03:14:57.060,2.74854865676e-07,1.21095801895e-09,1.22947094307e-10,1.28939742434e-10
2019-11-01 03:29:57.060,2.76645348884e-07,1.22107127824e-09,1.17906206609e-10,1.24914228023e-10
2019-11-01 03:44:57.060,2.62176126263e-07,1.22140360715e-09,1.35908388808e-10,1.42700065799e-10
2019-11-01 03:59:57.060,2.51278575666e-07,1.1859559759e-09,1.22427073171e-10,1.28774016194e-10
2019-11-01 04:14:57.060,2.67739281641e-07,1.27151144063e-09,8.75295632533e-11,9.41067838643e-11
2019-11-01 04:29:57.060,2.7244872013e-07,1.27768018963e-09,9.96982004647e-11,1.07059801391e-10
2019-11-01 04:44:57.060,2.55564381947e-07,1.19287281962e-09,1.33914954141e-10,1.40465712179e-10
2019-11-01 04:59:57.060,2.63708605483e-07,1.19148992689e-09,2.00583992396e-10,2.10041606687e-10
2019-11-01 05:14:57.060,2.72425381968e-07,2.74103893842e-09,2.0726113063e-10,2.19157078697e-10
2019-11-01 05:29:57.060,2.85636204753e-07,1.88907246327e-09,1.48813760199e-10,1.6256795031e-10
2019-11-01 05:44:57.060,2.56644274746e-07,1.20752718238e-09,1.99485094514e-10,2.15936071928e-10
2019-11-01 05:59:57.060,2.49783289442e-07,1.24714373879e-09,2.44804541754e-10,2.60428891049e-10
2019-11-01 06:14:57.060,2.5956188785e-07,1.27109981997e-09,2.7031343524e-10,2.86389036331e-10
2019-11-01 06:29:57.060,2.66871456466e-07,1.25015673137e-09,2.57730556648e-10,2.7468718454e-10
2019-11-01 06:44:57.060,2.5265129458e-07,1.25331716059e-09,2.74770603951e-10,2.94394160389e-10
2019-11-01 06:59:57.060,2.44940311878e-07,1.27601290154e-09,2.87178011361e-10,3.06825865645e-10
2019-11-01 07:14:57.060,2.52825298692e-07,1.32241599539e-09,3.04577301082e-10,3.23865834991e-10
2019-11-01 07:29:57.060,2.471133163e-07,1.32250853192e-09,2.97508508334e-10,3.18336520495e-10
2019-11-01 07:44:57.060,2.45813355149e-07,1.34629489693e-09,2.71704662471e-10,2.90814464522e-10
2019-11-01 07:59:57.060,2.55418545881e-07,1.36987914749e-09,2.70532829532e-10,2.85545729444e-10
2019-11-01 08:14:57.060,2.5826538487e-07,1.35468053548e-09,2.64043791966e-10,2.79347800399e-10
2019-11-01 08:29:57.060,2.55580748099e-07,1.37047227772e-09,2.65084765886e-10,2.82856309783e-10
2019-11-01 08:44:57.060,2.74593211019e-07,1.34352819963e-09,2.92355655091e-10,3.08772187796e-10
2019-11-01 08:59:57.060,2.72092200043e-07,1.38640364731e-09,3.27125997243e-10,3.42734541416e-10
2019-11-01 09:14:57.060,2.56003999606e-07,1.39143946111e-09,3.3068362932e-10,3.46113823003e-10
2019-11-01 09:29:57.060,2.36065214714e-07,1.35856304641e-09,2.70060703138e-10,2.87521163601e-10
2019-11-01 09:44:57.060,2.51484805654e-07,1.31151872294e-09,2.07502562718e-10,2.30473441792e-10
2019-11-01 09:59:57.060,2.62598931038e-07,1.37830208912e-09,2.06819340273e-10,2.27674337598e-10
2019-11-01 10:14:57.060,2.58540694655e-07,1.36032416005e-09,2.5612019029e-10,2.74507910036e-10
2019-11-01 10:29:57.060,2.67701840972e-07,1.40081971663e-09,2.67955374524e-10,2.85007198982e-10
2019-11-01 10:44:57.060,2.58836137172e-07,1.41132322621e-09,2.66967893241e-10,2.84618305792e-10
2019-11-01 10:59:57.060,2.54122383802e-07,1.42116624198e-09,2.59218809295e-10,2.76779759105e-10
2019-11-01 11:14:57.060,2.6081542322e-07,1.45395373708e-09,2.69154351128e-10,2.84149178001e-10
2019-11-01 11:29:57.060,2.65048540883e-07,1.47370105124e-09,2.59659723435e-10,2.78354074353e-10
2019-11-01 11:44:57.060,2.68022691609e-07,1.47918882555e-09,2.73075817672e-10,2.90775158114e-10
2019-11-01 11:59:57.060,2.71362518103e-07,1.57283701222e-09,3.22918457466e-10,3.37268910301e-10
2019-11-01 12:14:57.060,2.74013662678e-07,1.56816409845e-09,3.70046831303e-10,3.85334139651e-10
2019-11-01 12:29:57.060,2.68303159425e-07,1.55247361087e-09,3.60670147776e-10,3.76839488114e-10
2019-11-01 12:44:57.060,2.86550201349e-07,1.54212967677e-09,3.43360065588e-10,3.67800212506e-10
2019-11-01 12:59:57.060,3.04191375822e-07,1.58757317486e-09,3.96563154299e-10,4.23278655558e-10
2019-11-01 13:14:57.060,2.9425248555e-07,1.54565723778e-09,3.99081395394e-10,4.23198766568e-10
2019-11-01 13:29:57.060,2.79218314744e-07,1.51663934979e-09,2.87558065968e-10,3.16128046279e-10
2019-11-01 13:44:57.060,2.88131022629e-07,1.47178844199e-09,3.61854816178e-10,4.00094044305e-10
2019-11-01 13:59:57.060,3.07747632873e-07,1.48704024135e-09,4.0167837895e-10,4.34664548374e-10
2019-11-01 14:14:57.060,3.09781265903e-07,1.46776192192e-09,3.20713614697e-10,3.45673218414e-10
2019-11-01 14:29:57.060,3.03894900726e-07,1.48538909956e-09,3.01494473531e-10,3.54575060653e-10
2019-11-01 14:44:57.060,3.12695476724e-07,1.49832984168e-09,2.89172706564e-10,3.20674625892e-10
2019-11-01 14:59:57.060,3.17978920233e-07,1.45876666485e-09,2.84220708277e-10,3.00860596095e-10
2019-11-01 15:14:57.060,3.39317003514e-07,1.45955291381e-09,2.44355685016e-10,2.63378849573e-10
2019-11-01 15:29:57.060,3.40609808336e-07,1.49687439451e-09,2.74102918619e-10,2.9356807824e-10
2019-11-01 15:44:57.060,3.41019073244e-07,1.4786245511e-09,2.33358642636e-10,2.54337877799e-10
2019-11-01 15:59:57.060,3.60605366004e-07,1.4706965735e-09,1.88184280298e-10,2.13062175961e-10
2019-11-01 16:14:57.060,3.39481000443e-07,1.43882882652e-09,2.6524282744e-10,2.83838222208e-10
2019-11-01 16:29:57.060,3.50918872845e-07,1.49056527715e-09,2.70140746614e-10,2.9003515538e-10
2019-11-01 16:44:57.060,3.48620152481e-07,1.47512420764e-09,2.35323038866e-10,2.62571658926e-10
2019-11-01 16:59:57.060,3.48720007727e-07,1.44417400706e-09,2.27106762421e-10,2.50188794914e-10
2019-11-01 17:14:57.060,3.74881714185e-07,1.43516202946e-09,1.95524558425e-10,2.14371359683e-10
2019-11-01 17:29:57.060,3.68668121655e-07,1.45227988574e-09,1.93013169115e-10,2.09936347247e-10
2019-11-01 17:44:57.060,3.56590715639e-07,1.50685818604e-09,2.22952840665e-10,2.35921117851e-10
2019-11-01 17:59:57.060,3.59998975608e-07,1.53373306057e-09,2.57197142337e-10,2.72604239298e-10
2019-11-01 18:14:57.060,3.71358103107e-07,1.50730840985e-09,2.07210233755e-10,2.22594941295e-10
2019-11-01 18:29:57.060,4.05518006724e-07,1.48772161944e-09,2.0312641561e-10,2.16797446383e-10
2019-11-01 18:44:57.060,3.91246919418e-07,1.48950122029e-09,2.38167184895e-10,2.52292974019e-10
2019-11-01 18:59:57.060,4.01559542402e-07,1.47117237141e-09,2.41211192351e-10,2.54147040825e-10
2019-11-01 19:14:57.060,4.02401954295e-07,1.44086372056e-09,2.38637401313e-10,2.52437258317e-10
2019-11-01 19:29:57.060,4.15456868786e-07,1.46153534218e-09,2.34320726736e-10,2.47906928304e-10
2019-11-01 19:44:57.060,4.0718772997e-07,1.46778286621e-09,1.94801430207e-10,2.09180675426e-10
2019-11-01 19:59:57.060,4.0533885142e-07,1.40841482117e-09,1.76115887154e-10,1.91590040189e-10
2019-11-01 20:14:57.060,4.21870430696e-07,1.41999144189e-09,2.07730517592e-10,2.22128802837e-10
2019-11-01 20:29:57.060,4.28390175316e-07,1.4679172793e-09,2.18407283156e-10,2.33562806835e-10
2019-11-01 20:44:57.060,3.98697068802e-07,1.47604145141e-09,1.83623548702e-10,1.97349519794e-10
2019-11-01 20:59:57.060,4.09212724511e-07,1.46128844041e-09,1.98505015673e-10,2.14042743082e-10
