,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:57.540,1.48995974893e-07,3.44208544899e-09,3.86810129361e-11,3.98534725416e-11
2019-10-31 23:44:57.540,1.5163645772e-07,3.37366324668e-09,3.74287820097e-11,3.86336721448e-11
2019-10-31 23:59:57.540,1.49864851271e-07,3.22378257934e-09,3.85092770739e-11,3.96558552945e-11
2019-11-01 00:14:57.540,1.47771066907e-07,3.1424999286e-09,3.84508507532e-11,3.96830917169e-11
2019-11-01 00:29:57.540,1.33749196139e-07,3.10925538861e-09,3.81711459891e-11,3.93575189149e-11
2019-11-01 00:44:57.540,1.38555940087e-07,2.9182131309e-09,3.6812160535e-11,3.80889720698e-11
2019-11-01 00:59:57.540,1.40683672713e-07,2.75399399856e-09,3.70301799581e-11,3.81663130623e-11
2019-11-01 01:14:57.540,1.42743797405e-07,2.64096361412e-09,4.15758211173e-11,4.27880789694e-11
2019-11-01 01:29:57.540,1.37330491411e-07,2.59748533802e-09,4.14028827146e-11,4.26855609871e-11
2019-11-01 01:44:57.540,1.47291160217e-07,2.67887224767e-09,3.73584701181e-11,3.86638254767e-11
2019-11-01 01:59:57.540,1.43552357451e-07,2.66655906959e-09,5.41179761353e-11,5.55661680297e-11
2019-11-01 02:14:57.540,1.37237453756e-07,2.72179452014e-09,1.12802785029e-10,1.14460515553e-10
2019-11-01 02:29:57.540,1.4620113124e-07,2.8228666236e-09,1.54626034738e-10,1.56290336967e-10
2019-11-01 02:44:57.540,1.42024274014e-07,2.87516561537e-09,1.60129904386e-10,1.61887881664e-10
2019-11-01 02:59:57.540,1.39097215812e-07,2.92019542709e-09,1.54381522561e-10,1.56223243684e-10
2019-11-01 03:14:57.540,1.40088346978e-07,2.90344343886e-09,1.47090575494e-10,1.48986151741e-10
2019-11-01 03:29:57.540,1.31320620704e-07,2.93303863209e-09,1.57752553185e-10,1.59696329691e-10
2019-11-01 03:44:57.540,1.35742686838e-07,3.06166276693e-09,1.58495512957e-10,1.60747199494e-10
2019-11-01 03:59:57.540,1.33242315696e-07,3.02276179205e-09,1.46398207599e-10,1.48304191584e-10
