,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:56.710,3.80224674646e-07,1.55566449236e-09,1.13117944706e-10,1.17163110048e-10
2019-10-31 23:44:56.710,3.79726437748e-07,1.55357448586e-09,1.02418647517e-10,1.06146660338e-10
2019-10-31 23:59:56.710,3.89829579364e-07,1.53632435847e-09,1.00842145211e-10,1.04794944555e-10
2019-11-01 00:14:56.710,3.87248764934e-07,1.57168118414e-09,1.01447156925e-10,1.05414427646e-10
2019-11-01 00:29:56.710,3.87494696722e-07,1.65042435313e-09,1.03911169205e-10,1.07518947972e-10
2019-11-01 00:44:56.710,3.90036767929e-07,1.70210498325e-09,9.95065103663e-11,1.03367290905e-10
2019-11-01 00:59:56.710,3.56094263836e-07,1.77096103208e-09,1.00067391259e-10,1.03803676022e-10
2019-11-01 01:14:56.710,3.60995686068e-07,1.75208743338e-09,1.02256092629e-10,1.05903974595e-10
2019-11-01 01:29:56.710,3.71975537641e-07,1.67225629187e-09,1.00428454804e-10,1.04082190689e-10
2019-11-01 01:44:56.710,3.56723816008e-07,1.66991186816e-09,9.98584578832e-11,1.03229980662e-10
2019-11-01 01:59:56.710,3.6093682571e-07,1.64441272033e-09,1.03571803491e-10,1.06891419991e-10
2019-11-01 02:14:56.710,3.74866142631e-07,1.62245303824e-09,1.08977001569e-10,1.12727910743e-10
2019-11-01 02:29:56.710,3.87266755324e-07,1.6753471809e-09,1.1319828416e-10,1.16366553932e-10
2019-11-01 02:44:56.710,3.92408085542e-07,1.70025042159e-09,1.0441623449e-10,1.07524823226e-10
2019-11-01 02:59:56.710,3.81386850682e-07,1.68597575601e-09,1.08508163888e-10,1.12010616135e-10
2019-11-01 03:14:56.710,3.66418660221e-07,1.62002177336e-09,1.08641640678e-10,1.11759646336e-10
2019-11-01 03:29:56.710,3.61615779762e-07,1.61153332008e-09,1.07948438113e-10,1.11208884328e-10
2019-11-01 03:44:56.710,3.40961199794e-07,1.58240478987e-09,1.19542691329e-10,1.22652163942e-10
2019-11-01 03:59:56.710,3.23298758507e-07,1.5787800038e-09,1.3123387214e-10,1.34257190284e-10
2019-11-01 04:14:56.710,3.15318188815e-07,1.74885702282e-09,1.4781397681e-10,1.50942345206e-10
2019-11-01 04:29:56.710,3.16586407384e-07,1.81539674214e-09,1.55441518963e-10,1.58446695712e-10
2019-11-01 04:44:56.710,3.42222994291e-07,1.7246548149e-09,1.70508779084e-10,1.74253829098e-10
2019-11-01 04:59:56.710,3.39057084935e-07,1.79956517925e-09,2.11113982056e-10,2.15100499732e-10
2019-11-01 05:14:56.710,3.67608167371e-07,2.32497636876e-09,2.72291906521e-10,2.93730596509e-10
2019-11-01 05:29:56.710,3.76160491666e-07,2.19266840075e-09,3.22905452383e-10,3.61939073354e-10
2019-11-01 05:44:56.710,3.26105880684e-07,2.09740362843e-09,4.02144529762e-10,4.35980119979e-10
2019-11-01 05:59:56.710,3.41293801506e-07,2.30473826782e-09,5.32150881578e-10,5.6038465649e-10
2019-11-01 06:14:56.710,3.53367919204e-07,2.6238612294e-09,7.07469801196e-10,7.32332276347e-10
2019-11-01 06:29:56.710,3.3095162829e-07,2.69704113189e-09,8.35656048329e-10,8.58429416366e-10
2019-11-01 06:44:56.710,3.20579546267e-07,2.72387524408e-09,8.75944245169e-10,9.00634458758e-10
2019-11-01 06:59:56.710,3.21693765974e-07,2.69175718661e-09,8.45198058974e-10,8.73311806608e-10
2019-11-01 07:14:56.710,3.38780530866e-07,2.66338908771e-09,7.58584236384e-10,7.90922850916e-10
2019-11-01 07:29:56.710,3.440583995e-07,2.68041166357e-09,6.983127608e-10,7.32665771962e-10
2019-11-01 07:44:56.710,3.29358342308e-07,2.7384608144e-09,6.87275110931e-10,7.20106732541e-10
2019-11-01 07:59:56.710,3.22091854488e-07,2.67473456064e-09,7.13354146113e-10,7.5078064792e-10
2019-11-01 08:14:56.710,3.12012711622e-07,2.70030930808e-09,8.08456310571e-10,8.54158707e-10
2019-11-01 08:29:56.710,3.15174444231e-07,2.71257400873e-09,8.1887184347e-10,8.64878904105e-10
2019-11-01 08:44:56.710,3.42358757038e-07,2.65333814587e-09,7.91226117407e-10,8.35276607613e-10
2019-11-01 08:59:56.710,3.29618934299e-07,2.60082515427e-09,7.87184222581e-10,8.16206971902e-10
2019-11-01 09:14:56.710,3.27759694984e-07,2.71281569221e-09,9.50019375583e-10,9.90796152549e-10
2019-11-01 09:29:56.710,3.27178668269e-07,2.69049856725e-09,9.25471114395e-10,9.66155137184e-10
2019-11-01 09:44:56.710,3.2510720697e-07,2.45466697532e-09,6.74832279504e-10,7.07171064826e-10
2019-11-01 09:59:56.710,3.25236812146e-07,2.24574112358e-09,4.82323493164e-10,5.18428380778e-10
2019-11-01 10:14:56.710,3.27276178177e-07,2.11108148486e-09,4.54803199724e-10,4.99728220547e-10
2019-11-01 10:29:56.710,3.13368283304e-07,2.21112781645e-09,5.97743085772e-10,6.42497965203e-10
2019-11-01 10:44:56.710,3.17601214605e-07,2.31336439462e-09,8.17603859049e-10,8.52367807396e-10
2019-11-01 10:59:56.710,3.04375501828e-07,2.44660995408e-09,9.70941657208e-10,1.0042306039e-09
2019-11-01 11:14:56.710,2.97294334891e-07,2.40897804878e-09,8.33808245146e-10,8.67339338994e-10
2019-11-01 11:29:56.710,3.07288701916e-07,2.3246199993e-09,7.30104849129e-10,7.61595645594e-10
2019-11-01 11:44:56.710,3.13004508424e-07,2.19537613974e-09,6.79602461417e-10,7.16142082467e-10
2019-11-01 11:59:56.710,3.04791760304e-07,2.16589516977e-09,6.20986459864e-10,6.68191422134e-10
2019-11-01 12:14:56.710,3.06365257559e-07,2.22278119276e-09,6.85042036804e-10,7.28268775397e-10
2019-11-01 12:29:56.710,3.04514145592e-07,2.23569107319e-09,7.63721516131e-10,7.96713519373e-10
2019-11-01 12:44:56.710,3.08585811086e-07,2.25949613155e-09,7.62466589763e-10,7.97405152955e-10
2019-11-01 12:59:56.710,3.22082260077e-07,2.19896122066e-09,7.00666762252e-10,7.37263840737e-10
2019-11-01 13:14:56.710,3.13226952736e-07,2.12494377781e-09,6.62982090701e-10,7.00787980582e-10
2019-11-01 13:29:56.710,3.15328028188e-07,2.02611887709e-09,6.19157819105e-10,6.49312310975e-10
2019-11-01 13:44:56.710,3.28772211592e-07,1.90995305204e-09,5.4649110612e-10,5.76113840024e-10
2019-11-01 13:59:56.710,3.31680980532e-07,1.89008723794e-09,5.16316722381e-10,5.5201335032e-10
