,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:57.000,1.4994571513e-07,1.88862352949e-09,2.48711147478e-10,3.31576719347e-10
2019-10-31 23:44:57.000,1.54405465123e-07,1.98710610575e-09,2.35537922179e-10,3.16691289298e-10
2019-10-31 23:59:57.000,1.32259597831e-07,2.07070818621e-09,2.58421077356e-10,3.35784871451e-10
2019-11-01 00:14:57.000,1.37975324099e-07,2.12333913017e-09,2.52849520235e-10,3.31277780465e-10
2019-11-01 00:29:57.000,1.54053690946e-07,2.17602368875e-09,2.19134040829e-10,3.02472265222e-10
2019-11-01 00:44:57.000,1.5419135722e-07,2.14324996652e-09,2.21991256398e-10,3.04723733754e-10
2019-11-01 00:59:57.000,1.53254134248e-07,2.20462001033e-09,2.26776514442e-10,3.10573939752e-10
2019-11-01 01:14:57.000,1.48018864948e-07,2.28327419681e-09,2.22860428059e-10,3.0703012644e-10
2019-11-01 01:29:57.000,1.47981822243e-07,2.23072126767e-09,2.1987857533e-10,3.03762690411e-10
2019-11-01 01:44:57.000,1.47252740548e-07,2.30368519642e-09,2.24395102874e-10,3.08529630224e-10
2019-11-01 01:59:57.000,1.45529672221e-07,2.37072945718e-09,2.42735153402e-10,3.2424191887e-10
2019-11-01 02:14:57.000,1.56835137167e-07,2.30030885993e-09,2.34380818943e-10,3.18912554445e-10
2019-11-01 02:29:57.000,1.59541735933e-07,2.35684090017e-09,2.24624052848e-10,3.07182778586e-10
2019-11-01 02:44:57.000,1.55470548757e-07,2.38684356097e-09,2.33648330799e-10,3.15992462512e-10
2019-11-01 02:59:57.000,1.52175855095e-07,2.34273071158e-09,2.48357826352e-10,3.32088447987e-10
2019-11-01 03:14:57.000,1.54117290707e-07,2.31857815853e-09,2.50146552507e-10,3.33779302869e-10
2019-11-01 03:29:57.000,1.56767944242e-07,2.39062045652e-09,2.63636432151e-10,3.44393066955e-10
2019-11-01 03:44:57.000,1.72862110339e-07,2.73574542295e-09,1.28596217383e-09,1.30672880279e-09
2019-11-01 03:59:57.000,1.7109984845e-07,2.76751587866e-09,1.35266396641e-09,1.37653005184e-09
2019-11-01 04:14:57.000,1.68157694613e-07,2.41105801351e-09,4.84951166964e-10,5.5021874028e-10
2019-11-01 04:29:57.000,1.68159946615e-07,2.38501004305e-09,4.91243686117e-10,5.58020966081e-10
2019-11-01 04:44:57.000,1.68404828491e-07,2.57010389771e-09,8.68176603515e-10,9.19346063601e-10
2019-11-01 04:59:57.000,1.78299363912e-07,2.71776320796e-09,1.09420662954e-09,1.1473951832e-09
2019-11-01 05:14:57.000,1.97247021899e-07,3.08207044687e-09,8.59602932811e-10,9.35243191315e-10
2019-11-01 05:29:57.000,2.13384506942e-07,2.81386130667e-09,7.31525426171e-10,8.25359486963e-10
2019-11-01 05:44:57.000,1.93160687745e-07,2.68460562517e-09,9.09878613887e-10,1.07504053727e-09
2019-11-01 05:59:57.000,1.87681269455e-07,3.42332601094e-09,1.25624447752e-09,1.41081341433e-09
2019-11-01 06:14:57.000,1.90650570859e-07,3.62693886146e-09,1.29717887773e-09,1.47089778672e-09
2019-11-01 06:29:57.000,1.88667559873e-07,3.30415363145e-09,1.26153794676e-09,1.5532184159e-09
2019-11-01 06:44:57.000,1.94971789912e-07,3.65908271301e-09,1.41668165473e-09,1.80203279399e-09
2019-11-01 06:59:57.000,1.87057896907e-07,4.08253347716e-09,1.65860707783e-09,2.23458000144e-09
