,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.000,6.26550063171e-07,1.86027353049e-09,7.58851681092e-11,8.01968785067e-11
2019-10-31 23:44:58.000,6.68050079302e-07,1.87759372492e-09,7.88286531491e-11,8.25043029799e-11
2019-10-31 23:59:58.000,6.17666720568e-07,1.88259740345e-09,8.36203140581e-11,8.65582668144e-11
2019-11-01 00:14:58.000,5.98345333243e-07,1.9786195474e-09,1.78204776406e-10,1.80139928041e-10
2019-11-01 00:29:58.000,6.37101244459e-07,1.93727664593e-09,2.13069735522e-10,2.15540943073e-10
2019-11-01 00:44:58.000,6.25564269592e-07,1.90767205695e-09,1.40649872547e-10,1.45447933815e-10
2019-11-01 00:59:58.000,5.87914930254e-07,1.89273178898e-09,8.53705417915e-11,1.14595027267e-10
2019-11-01 01:14:58.000,5.82216465519e-07,2.03963970119e-09,8.87850488964e-11,1.07343597492e-10
2019-11-01 01:29:58.000,5.7671281613e-07,2.03674964386e-09,8.10185425416e-11,8.48683839509e-11
2019-11-01 01:44:58.000,6.04276235569e-07,1.98991332968e-09,1.08307605203e-10,1.25733586625e-10
2019-11-01 01:59:58.000,5.67898809794e-07,2.02241964825e-09,1.44258913418e-10,1.77539136884e-10
2019-11-01 02:14:58.000,5.67913273456e-07,2.0540740373e-09,1.32885256557e-10,1.62418036447e-10
2019-11-01 02:29:58.000,5.69151389736e-07,2.16194164219e-09,1.15959728142e-10,1.59842450347e-10
2019-11-01 02:44:58.000,6.00511768535e-07,2.22485281766e-09,1.06346042376e-10,1.24431011383e-10
2019-11-01 02:59:58.000,6.04335607927e-07,2.16272737691e-09,1.05095539814e-10,1.13740486513e-10
2019-11-01 03:14:58.000,5.88828878597e-07,2.12307959221e-09,1.20664790167e-10,1.33568111588e-10
2019-11-01 03:29:58.000,5.40738851084e-07,2.10270573817e-09,1.20148176967e-10,1.3344857133e-10
2019-11-01 03:44:58.000,5.44620114042e-07,2.13621205653e-09,1.22899019956e-10,1.38787506381e-10
2019-11-01 03:59:58.000,6.08963545689e-07,2.15858126445e-09,1.14300844307e-10,1.27347746319e-10
2019-11-01 04:14:58.000,6.0125239726e-07,2.59124535759e-09,1.17425141063e-10,1.26572501982e-10
2019-11-01 04:29:58.000,5.59211797272e-07,2.32786786276e-09,1.23761276859e-10,1.40664207127e-10
2019-11-01 04:44:58.000,5.42263056248e-07,2.14889178158e-09,1.480340354e-10,1.97763361825e-10
2019-11-01 04:59:58.000,5.64431471377e-07,2.16178960811e-09,1.91629867468e-10,2.80416924799e-10
2019-11-01 05:14:58.000,5.39756863541e-07,2.26029253437e-09,2.04779429739e-10,2.97512105267e-10
2019-11-01 05:29:58.000,5.20149016123e-07,2.18657934169e-09,1.96693896364e-10,2.84302703241e-10
2019-11-01 05:44:58.000,5.48782154269e-07,2.13049408269e-09,2.16402375734e-10,3.00248940672e-10
2019-11-01 05:59:58.000,5.56132531841e-07,2.19536187154e-09,2.57179714633e-10,3.35370245899e-10
2019-11-01 06:14:58.000,5.55403403135e-07,2.17551224781e-09,2.6484671549e-10,3.40498115428e-10
2019-11-01 06:29:58.000,5.41998071443e-07,2.17968130013e-09,2.72131886344e-10,3.55668467928e-10
2019-11-01 06:44:58.000,5.37909809356e-07,2.14829130676e-09,2.87302593661e-10,3.70181127209e-10
2019-11-01 06:59:58.000,5.65783431024e-07,2.15480553703e-09,3.00756094878e-10,3.78822914746e-10
2019-11-01 07:14:58.000,5.6829239358e-07,2.07607432567e-09,3.15868762363e-10,3.96113121596e-10
