,0.1-1.0,1.0-20.0,4.0-14.0,10.0-30.0
2019-10-31 23:29:59.003141,4.32762257055e-07,1.69950866188e-08,4.30192206929e-09,3.00852352176e-09
2019-10-31 23:44:59.003141,4.33909765594e-07,1.63515115928e-08,4.18058309811e-09,2.99584858433e-09
2019-10-31 23:59:59.003141,4.21764757032e-07,1.71504036183e-08,3.96642523601e-09,2.52138251981e-09
2019-11-01 00:14:59.003141,4.3751496886e-07,1.667060724e-08,4.14500817052e-09,2.32683334101e-09
2019-11-01 00:29:59.003141,4.36649656037e-07,1.64852248133e-08,4.02195363522e-09,2.13565757663e-09
2019-11-01 00:44:59.003141,4.23553771093e-07,1.69708134086e-08,4.06770613911e-09,2.15804147426e-09
2019-11-01 00:59:59.003141,4.44426610039e-07,1.61777830649e-08,4.22184785484e-09,2.17438301775e-09
2019-11-01 01:14:59.003141,4.5878036946e-07,4.51121521649e-08,1.99716033599e-08,7.72201911721e-09
2019-11-01 01:29:59.003141,4.39681349521e-07,2.90530194946e-08,1.21178402317e-08,4.77817924367e-09
2019-11-01 01:44:59.003141,4.29891767787e-07,1.44173672939e-08,4.17382835481e-09,2.26378418084e-09
2019-11-01 01:59:59.003141,4.48393772797e-07,1.47806582544e-08,3.92700290977e-09,2.18911244384e-09
2019-11-01 02:14:59.003141,4.55060056559e-07,1.52146117305e-08,4.05188775148e-09,2.44925282692e-09
2019-11-01 02:29:59.003141,4.26822404084e-07,1.45226535765e-08,3.92871812966e-09,2.4086804702e-09
2019-11-01 02:44:59.003141,4.35803961145e-07,1.40724905023e-08,3.93020322798e-09,2.66074002397e-09
2019-11-01 02:59:59.003141,4.26777877231e-07,1.38186611237e-08,4.19939574501e-09,2.86482073619e-09
2019-11-01 03:14:59.003141,4.149658351e-07,1.35702823709e-08,3.75288863455e-09,2.58779264974e-09
2019-11-01 03:29:59.003141,4.2761810618e-07,1.30810516322e-08,3.35023535736e-09,2.25244782612e-09
2019-11-01 03:44:59.003141,4.56430150826e-07,1.33171667343e-08,3.28278066444e-09,2.27823275768e-09
2019-11-01 03:59:59.003141,4.49620907097e-07,1.45357195807e-08,3.37865458862e-09,2.40380781767e-09
2019-11-01 04:14:59.003141,4.34160673099e-07,1.44984971072e-08,3.5182845265e-09,2.48563896856e-09
2019-11-01 04:29:59.003141,4.34103155406e-07,1.40611487977e-08,3.00353363325e-09,2.06788688335e-09
2019-11-01 04:44:59.003141,4.38129594143e-07,1.45872738059e-08,2.74438489219e-09,1.87463817595e-09
2019-11-01 04:59:59.003141,4.14540029752e-07,1.43802226e-08,2.71042884832e-09,1.88272530253e-09
