,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.998400,8.12077824663e-08,4.29039832394e-10,6.16004352693e-11,6.20039398025e-11
2019-10-31 23:44:58.998400,8.26510746083e-08,4.0979211765e-10,5.99146069068e-11,6.04015489885e-11
2019-10-31 23:59:58.998400,7.82342037194e-08,4.09101155757e-10,6.13231246929e-11,6.17477874421e-11
2019-11-01 00:14:58.998400,7.43960063609e-08,4.16877696254e-10,6.08981153884e-11,6.12984051935e-11
2019-11-01 00:29:58.998400,8.33041380495e-08,4.14168056054e-10,6.66544746221e-11,6.70298403762e-11
2019-11-01 00:44:58.998400,8.37842632953e-08,3.9999037202e-10,6.54754013358e-11,6.58473280548e-11
2019-11-01 00:59:58.998400,8.22105320657e-08,3.94063697779e-10,5.79506227708e-11,5.8362290804e-11
2019-11-01 01:14:58.998400,8.38259199967e-08,3.96082294863e-10,5.68580422966e-11,5.72818392244e-11
2019-11-01 01:29:58.998400,8.18266656178e-08,4.03733004653e-10,5.87788405768e-11,5.91935252707e-11
2019-11-01 01:44:58.998400,7.92531373546e-08,4.13166197205e-10,5.90685397271e-11,5.94824494162e-11
2019-11-01 01:59:58.998400,7.67695932075e-08,4.09137980008e-10,6.00673147587e-11,6.04685420457e-11
2019-11-01 02:14:58.998400,7.46405769884e-08,4.14817811605e-10,5.99968466842e-11,6.03963383153e-11
2019-11-01 02:29:58.998400,7.67752825176e-08,4.34621152946e-10,6.85898746163e-11,6.89445938259e-11
2019-11-01 02:44:58.998400,7.52429479288e-08,4.37675190786e-10,7.84626109316e-11,7.87790418783e-11
2019-11-01 02:59:58.998400,7.92857720569e-08,4.14829032372e-10,7.6871206646e-11,7.72001380127e-11
2019-11-01 03:14:58.998400,7.89396721574e-08,4.44947225408e-10,8.08258537856e-11,8.11363644846e-11
2019-11-01 03:29:58.998400,7.91142583962e-08,4.25812383849e-10,7.0311970523e-11,7.06827353251e-11
2019-11-01 03:44:58.998400,7.95098373312e-08,4.15071708471e-10,6.46895482004e-11,6.50760302343e-11
2019-11-01 03:59:58.998400,7.45085196164e-08,4.11487385999e-10,6.16034982262e-11,6.19892320254e-11
2019-11-01 04:14:58.998400,7.3001589118e-08,4.05468017428e-10,6.28585008218e-11,6.33079559785e-11
2019-11-01 04:29:58.998400,7.5738710247e-08,4.21235611397e-10,6.52802659903e-11,6.56838183142e-11
2019-11-01 04:44:58.998400,7.98759450704e-08,4.56758587869e-10,6.6526201129e-11,6.69160526456e-11
