,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.997200,1.35851173429e-07,2.35833616081e-08,5.12518557298e-09,5.15010744019e-09
2019-10-31 23:44:58.997200,1.27458092807e-07,2.25580966321e-08,4.78417453138e-09,4.8080915242e-09
2019-10-31 23:59:58.997200,1.15176464596e-07,2.28939916073e-08,4.5104663082e-09,4.55819141804e-09
2019-11-01 00:14:58.997200,1.25377014166e-07,2.22348745793e-08,4.13386395783e-09,4.1751252675e-09
2019-11-01 00:29:58.997200,1.21254717015e-07,2.44843540541e-08,5.99170662738e-09,6.0111680729e-09
2019-11-01 00:44:58.997200,1.19437960184e-07,2.51857572628e-08,6.20719556517e-09,6.22436174108e-09
2019-11-01 00:59:58.997200,1.26977413821e-07,2.07407138094e-08,4.22998170944e-09,4.25374912736e-09
2019-11-01 01:14:58.997200,1.18407877239e-07,2.28629588601e-08,4.40680920643e-09,4.42618667646e-09
2019-11-01 01:29:58.997200,1.1996909775e-07,2.20720638037e-08,3.90853247576e-09,3.92942500584e-09
2019-11-01 01:44:58.997200,1.19210414915e-07,2.0781448309e-08,3.83350690529e-09,3.85475522408e-09
2019-11-01 01:59:58.997200,1.18741207847e-07,2.18449413423e-08,4.7302565519e-09,4.76978781306e-09
2019-11-01 02:14:58.997200,1.19506968254e-07,1.99068814375e-08,4.0143569252e-09,4.04170734233e-09
2019-11-01 02:29:58.997200,1.17325443195e-07,1.90849176403e-08,3.84667746296e-09,3.86577413001e-09
2019-11-01 02:44:58.997200,1.14614976749e-07,1.85539557793e-08,3.52792319794e-09,3.5469205575e-09
2019-11-01 02:59:58.997200,1.1488942552e-07,1.88305993825e-08,3.77368435562e-09,3.80101796415e-09
2019-11-01 03:14:58.997200,1.17174358101e-07,2.06362126323e-08,5.03009451454e-09,5.06446891944e-09
2019-11-01 03:29:58.997200,1.14213218485e-07,2.97382866642e-08,7.1825989676e-09,7.21530709104e-09
2019-11-01 03:44:58.997200,1.17094836465e-07,2.47318714795e-08,5.21211250164e-09,5.23316827827e-09
2019-11-01 03:59:58.997200,1.19236783531e-07,2.36321151929e-08,5.64251900354e-09,5.66947924076e-09
2019-11-01 04:14:58.997200,1.0767413822e-07,2.41185271764e-08,5.49644249137e-09,5.53676217675e-09
2019-11-01 04:29:58.997200,1.09772254283e-07,2.5291832569e-08,5.71558103663e-09,5.76524724706e-09
2019-11-01 04:44:58.997200,1.13644233387e-07,2.69753137622e-08,6.42954323931e-09,6.47051837552e-09
2019-11-01 04:59:58.997200,1.15116778244e-07,2.71658789435e-08,7.22558936682e-09,7.26914287985e-09
2019-11-01 05:14:58.997200,5.38748752561e-07,3.01724121093e-08,7.12691719418e-09,7.17165603168e-09
2019-11-01 05:29:58.997200,4.0904022584e-07,2.7924393681e-08,7.2160192422e-09,7.25614732027e-09
2019-11-01 05:44:58.997200,1.17359635726e-07,2.8627673276e-08,7.80511495612e-09,7.85302155951e-09
2019-11-01 05:59:58.997200,1.18839471939e-07,2.9945603002e-08,8.1419650873e-09,8.18422116877e-09
2019-11-01 06:14:58.997200,1.07286684233e-07,3.09008431348e-08,7.67418359381e-09,7.71218619455e-09
2019-11-01 06:29:58.997200,1.07368331367e-07,3.139232442e-08,8.77924378619e-09,8.82321002034e-09
2019-11-01 06:44:58.997200,1.05042537861e-07,3.10507636698e-08,8.59544642338e-09,8.63214438442e-09
2019-11-01 06:59:58.997200,1.06886579733e-07,3.2349992159e-08,8.10222851899e-09,8.1449275911e-09
2019-11-01 07:14:58.997200,1.13038450474e-07,3.37611976351e-08,8.3022836004e-09,8.35559117188e-09
2019-11-01 07:29:58.997200,1.13188439408e-07,3.50067438415e-08,8.72296333606e-09,8.76900227678e-09
2019-11-01 07:44:58.997200,1.13276845366e-07,3.66929354565e-08,9.19610785444e-09,9.24586456459e-09
2019-11-01 07:59:58.997200,1.0972748995e-07,3.84383678207e-08,9.90519331888e-09,9.96024925715e-09
2019-11-01 08:14:58.997200,1.06055425408e-07,4.08318541342e-08,1.09238485507e-08,1.09715308385e-08
2019-11-01 08:29:58.997200,1.13204180345e-07,3.89526973985e-08,9.85897285075e-09,9.90935069352e-09
2019-11-01 08:44:58.997200,1.12236598205e-07,3.91378058738e-08,9.84645163727e-09,9.89987879789e-09
2019-11-01 08:59:58.997200,1.11398221657e-07,4.36279651863e-08,1.1066853169e-08,1.11211966825e-08
2019-11-01 09:14:58.997200,1.06632929016e-07,4.42031414062e-08,1.15318966638e-08,1.15940763845e-08
2019-11-01 09:29:58.997200,1.12434931103e-07,4.20554773328e-08,1.14866879587e-08,1.15486179887e-08
2019-11-01 09:44:58.997200,1.11104729341e-07,4.16513988085e-08,1.1277604094e-08,1.13403710807e-08
2019-11-01 09:59:58.997200,1.08949565993e-07,4.19923065588e-08,1.12472311216e-08,1.13124718019e-08
2019-11-01 10:14:58.997200,1.08976134898e-07,4.19243013434e-08,1.09237613799e-08,1.09851350158e-08
2019-11-01 10:29:58.997200,1.0887708166e-07,4.43817251052e-08,1.12723955021e-08,1.13468625593e-08
2019-11-01 10:44:58.997200,1.06098553381e-07,4.2927421728e-08,1.08102994487e-08,1.0886519619e-08
2019-11-01 10:59:58.997200,1.09431195499e-07,4.08682401824e-08,1.08460060587e-08,1.09210233264e-08
2019-11-01 11:14:58.997200,1.14067099875e-07,4.16055623356e-08,1.08322837737e-08,1.09017009497e-08
2019-11-01 11:29:58.997200,1.10480921426e-07,4.2645446139e-08,1.09680367439e-08,1.10320239062e-08
2019-11-01 11:44:58.997200,1.09591896466e-07,4.26386275263e-08,1.10136615814e-08,1.1077855076e-08
2019-11-01 11:59:58.997200,1.04318587876e-07,4.15447838908e-08,1.10467774176e-08,1.11123779742e-08
2019-11-01 12:14:58.997200,1.04254763196e-07,4.19639754401e-08,1.07551393473e-08,1.08263953595e-08
2019-11-01 12:29:58.997200,1.04698698019e-07,4.26691710639e-08,1.08833724866e-08,1.09435372527e-08
2019-11-01 12:44:58.997200,1.07245874041e-07,4.3567229018e-08,1.16780831011e-08,1.1739828558e-08
2019-11-01 12:59:58.997200,1.09962692067e-07,4.32527000854e-08,1.156777085e-08,1.16301375369e-08
2019-11-01 13:14:58.997200,1.05654567786e-07,4.24963048325e-08,1.14154178436e-08,1.14742021301e-08
2019-11-01 13:29:58.997200,1.03264070177e-07,4.23331897569e-08,1.16577701537e-08,1.17218985235e-08
2019-11-01 13:44:58.997200,1.0406839913e-07,4.25618114854e-08,1.1345907244e-08,1.14070878651e-08
2019-11-01 13:59:58.997200,1.07782673719e-07,4.39956512704e-08,1.18720867445e-08,1.19272069407e-08
2019-11-01 14:14:58.997200,1.04752951595e-07,4.18618991204e-08,1.10503908067e-08,1.11136410997e-08
2019-11-01 14:29:58.997200,1.04780462991e-07,4.33091537857e-08,1.15012959713e-08,1.15740180126e-08
2019-11-01 14:44:58.997200,1.08238016959e-07,4.18909861043e-08,1.1115033665e-08,1.11832769451e-08
2019-11-01 14:59:58.997200,1.04351881849e-07,4.11086347065e-08,1.037773697e-08,1.04365143841e-08
2019-11-01 15:14:58.997200,1.0794190553e-07,4.15611780523e-08,1.17399224749e-08,1.17976250442e-08
2019-11-01 15:29:58.997200,1.13558500322e-07,4.13337626885e-08,1.27820620017e-08,1.28344350792e-08
2019-11-01 15:44:58.997200,1.11279334289e-07,4.20393970661e-08,1.15308917108e-08,1.15835883166e-08
2019-11-01 15:59:58.997200,1.0618094407e-07,4.21544774174e-08,1.10572947354e-08,1.11124348084e-08
2019-11-01 16:14:58.997200,1.02691239481e-07,4.1486491498e-08,1.08323938307e-08,1.08951857174e-08
2019-11-01 16:29:58.997200,1.16205805343e-07,4.13273081023e-08,1.08833201439e-08,1.09387113097e-08
2019-11-01 16:44:58.997200,1.1960218619e-07,4.11228587252e-08,1.08315596318e-08,1.0885647856e-08
2019-11-01 16:59:58.997200,1.13383752606e-07,4.07219563534e-08,1.06483176706e-08,1.07077991215e-08
2019-11-01 17:14:58.997200,1.11999408708e-07,4.12328695026e-08,1.06209235839e-08,1.06863337582e-08
2019-11-01 17:29:58.997200,1.14282529476e-07,4.12688774303e-08,1.09302875842e-08,1.0987963803e-08
2019-11-01 17:44:58.997200,1.18715351745e-07,4.09029435728e-08,1.09377342832e-08,1.10031079879e-08
2019-11-01 17:59:58.997200,1.24464872298e-07,4.09626914154e-08,1.07903267788e-08,1.08629948171e-08
2019-11-01 18:14:58.997200,1.26330885967e-07,4.05349394985e-08,1.05587539551e-08,1.06299073209e-08
2019-11-01 18:29:58.997200,1.25858340666e-07,4.02335606322e-08,1.06164452982e-08,1.06799802153e-08
2019-11-01 18:44:58.997200,1.2057130684e-07,3.95282306408e-08,1.06713959056e-08,1.07386672303e-08
2019-11-01 18:59:58.997200,1.23405925554e-07,3.77477924214e-08,9.91239979242e-09,9.97640846488e-09
2019-11-01 19:14:58.997200,1.23426025641e-07,3.68922704949e-08,9.13887199562e-09,9.19465953743e-09
2019-11-01 19:29:58.997200,1.25642522114e-07,3.59771268777e-08,9.63218883975e-09,9.69636320769e-09
2019-11-01 19:44:58.997200,1.23359003771e-07,3.55457541372e-08,9.63534745782e-09,9.70504095686e-09
2019-11-01 19:59:58.997200,1.30157220171e-07,3.5495781773e-08,8.92100731287e-09,8.96849626515e-09
2019-11-01 20:14:58.997200,1.31682208604e-07,3.58016833257e-08,8.33767047099e-09,8.38488000111e-09
2019-11-01 20:29:58.997200,1.29212549032e-07,3.4538504308e-08,8.86333438033e-09,8.91466780572e-09
2019-11-01 20:44:58.997200,1.30116472185e-07,3.42835665671e-08,8.82644971348e-09,8.87182191685e-09
2019-11-01 20:59:58.997200,1.3192712857e-07,3.43292693752e-08,8.00948592969e-09,8.05827261854e-09
2019-11-01 21:14:58.997200,1.36243991504e-07,3.53984061212e-08,7.51857608539e-09,7.56237706836e-09
2019-11-01 21:29:58.997200,1.41114549635e-07,3.87674228331e-08,7.48232313568e-09,7.51430947233e-09
2019-11-01 21:44:58.997200,1.38580830733e-07,3.28979027948e-08,7.91987920456e-09,7.96133097978e-09
2019-11-01 21:59:58.997200,1.48243643946e-07,3.10332422295e-08,7.74854815251e-09,7.79262818151e-09
2019-11-01 22:14:58.997200,1.50781111414e-07,2.91460889779e-08,6.87302986284e-09,6.9099688119e-09
2019-11-01 22:29:58.997200,1.41960522834e-07,2.84528098507e-08,6.87800864081e-09,6.92578998704e-09
2019-11-01 22:44:58.997200,1.43292324543e-07,2.80177009692e-08,6.88596871236e-09,6.94166793178e-09
2019-11-01 22:59:58.997200,1.48129376284e-07,2.65797276092e-08,6.31073493116e-09,6.35663359561e-09
2019-11-01 23:14:58.997200,1.53311230956e-07,2.50933948305e-08,5.36300088545e-09,5.40266485187e-09
2019-11-01 23:29:58.997200,1.47515108968e-07,2.28847809265e-08,4.8493296543e-09,4.87914981264e-09
2019-11-01 23:44:58.997200,1.38116945032e-07,2.22545933712e-08,4.39919376899e-09,4.44390499066e-09
2019-11-01 23:59:58.997200,1.49528588117e-07,2.20253869135e-08,4.18796469422e-09,4.21639141561e-09
2019-11-02 00:14:58.997200,1.61395006485e-07,2.17948904862e-08,4.30392036309e-09,4.33125586838e-09
