,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:59.008393,9.257351243807452e-08,1.1296457934748993e-09,1.3682828370647483e-10,1.5705193947675837e-10
2019-11-30 23:44:59.008393,9.407442880457676e-08,1.1656651592535734e-09,1.3013831011108094e-10,1.5056669525707084e-10
2019-11-30 23:59:59.008393,9.669059127796284e-08,1.2160212274511679e-09,1.2787744117646282e-10,1.4746579088194358e-10
2019-12-01 00:14:59.008393,9.37788032198322e-08,1.199448812145227e-09,1.259474569068956e-10,1.4451278575551014e-10
2019-12-01 00:29:59.008393,9.207539378204381e-08,1.170638814094563e-09,1.2098947930119068e-10,1.3917347039630626e-10
2019-12-01 00:44:59.008393,9.322802829697743e-08,1.182253368787282e-09,1.1457276360350062e-10,1.328366886571844e-10
2019-12-01 00:59:59.008393,9.63831817183188e-08,1.151782510151025e-09,1.1412147946290336e-10,1.316838808413197e-10
2019-12-01 01:14:59.008393,9.937081775125322e-08,1.1069865065733932e-09,1.1493337162647972e-10,1.314876457372893e-10
2019-12-01 01:29:59.008393,9.415865132112612e-08,1.1346864981693166e-09,1.1037214601407547e-10,1.2727802718445337e-10
2019-12-01 01:44:59.008393,9.58530292551676e-08,1.1551139337736909e-09,1.0936554723946457e-10,1.2662711195293592e-10
2019-12-01 01:59:59.008393,9.651336053578875e-08,1.1380491480744817e-09,1.0836306383645096e-10,1.2564630974237501e-10
2019-12-01 02:14:59.008393,9.576359316212726e-08,1.1781115472154105e-09,1.1193842210669837e-10,1.2862945740439166e-10
2019-12-01 02:29:59.008393,9.477573057126102e-08,1.190152654827283e-09,1.1155492000492139e-10,1.285487036624243e-10
2019-12-01 02:44:59.008393,9.206096736567273e-08,1.1375530425867716e-09,1.1121394892776896e-10,1.27737154536467e-10
2019-12-01 02:59:59.008393,9.508178165812745e-08,1.1534228120452988e-09,1.0755653400080725e-10,1.229506588517452e-10
2019-12-01 03:14:59.008393,9.18730554018424e-08,1.1513560618733466e-09,1.0338402068878335e-10,1.1786140390537876e-10
2019-12-01 03:29:59.008393,9.780688201658695e-08,1.0779812714340672e-09,1.0250814307155705e-10,1.166559833925809e-10
2019-12-01 03:44:59.008393,9.771557002620969e-08,1.075235870542742e-09,9.838460315125613e-11,1.1335371498690849e-10
2019-12-01 03:59:59.008393,9.399120563528395e-08,1.0701852644483614e-09,9.567167803434596e-11,1.1071181242149438e-10
2019-12-01 04:14:59.008393,9.790446221770785e-08,1.075134934206654e-09,1.011379564884953e-10,1.1593977846498829e-10
2019-12-01 04:29:59.008393,1.0072058003073613e-07,1.1014774955801025e-09,1.0359880067892675e-10,1.1840593308863962e-10
2019-12-01 04:44:59.008393,9.566787194930536e-08,1.098932234088035e-09,9.111227745270888e-11,1.0436876358518347e-10
2019-12-01 04:59:59.008393,9.384889999908592e-08,1.1027135421221873e-09,9.061071783239235e-11,1.0443548095877575e-10
