,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,1.16697113978e-07,3.57474617027e-09,1.97412918612e-09,2.00701836514e-09
2019-10-31 23:44:59.000,1.17132019952e-07,3.66862212645e-09,1.98415102105e-09,2.0181334147e-09
2019-10-31 23:59:59.000,1.12597605944e-07,5.02118352083e-09,2.96703063989e-09,3.00033616112e-09
2019-11-01 00:14:59.000,1.12868725703e-07,6.53889283497e-09,4.0475972257e-09,4.07443269518e-09
2019-11-01 00:29:59.000,1.14506365172e-07,5.92851557569e-09,3.58649735181e-09,3.61268591535e-09
2019-11-01 00:44:59.000,1.15072726737e-07,3.33209593839e-09,1.65394121059e-09,1.68354096498e-09
2019-11-01 00:59:59.000,1.14069203459e-07,3.25711971365e-09,1.68111335328e-09,1.7147154632e-09
2019-11-01 01:14:59.000,1.11046395513e-07,3.54197425146e-09,1.84798086707e-09,1.87859140081e-09
2019-11-01 01:29:59.000,1.12853715404e-07,3.50556271896e-09,1.84809139771e-09,1.87829288828e-09
2019-11-01 01:44:59.000,1.0558316649e-07,3.06961076346e-09,1.58347185895e-09,1.61025871637e-09
2019-11-01 01:59:59.000,1.06049569338e-07,3.30395511932e-09,1.72382081943e-09,1.74965495833e-09
2019-11-01 02:14:59.000,1.00942668019e-07,3.36560389121e-09,1.77092237146e-09,1.79744636096e-09
2019-11-01 02:29:59.000,1.08488443356e-07,3.6274885144e-09,1.80891105965e-09,1.83373262248e-09
2019-11-01 02:44:59.000,1.11278756775e-07,4.00164418236e-09,2.06031832386e-09,2.08189586078e-09
2019-11-01 02:59:59.000,9.94767884256e-08,3.36074540828e-09,1.77556406418e-09,1.79863991734e-09
2019-11-01 03:14:59.000,1.0204704394e-07,3.66946544138e-09,1.96969464459e-09,1.9907382739e-09
2019-11-01 03:29:59.000,1.01534268337e-07,3.86794219369e-09,2.02032569728e-09,2.0436386102e-09
2019-11-01 03:44:59.000,9.64452358075e-08,3.75610774589e-09,2.05447732956e-09,2.07821779519e-09
2019-11-01 03:59:59.000,9.22963894552e-08,3.74107096321e-09,2.11852119493e-09,2.14680136909e-09
2019-11-01 04:14:59.000,9.1072020891e-08,6.71435458143e-09,2.80806874446e-09,2.8285170129e-09
2019-11-01 04:29:59.000,9.93805305078e-08,6.71687381859e-09,2.76115856287e-09,2.77935247494e-09
2019-11-01 04:44:59.000,9.59129893644e-08,3.39034891664e-09,1.71201762454e-09,1.74155706464e-09
2019-11-01 04:59:59.000,8.77991080871e-08,3.7957563336e-09,1.97417820132e-09,2.00088490429e-09
2019-11-01 05:14:59.000,9.18392872098e-08,3.81221193911e-09,2.11688228255e-09,2.13812719544e-09
2019-11-01 05:29:59.000,9.54129819672e-08,3.37639213137e-09,1.8821694776e-09,1.90488031166e-09
2019-11-01 05:44:59.000,8.84323957263e-08,3.18139397693e-09,1.70317583975e-09,1.72683385107e-09
2019-11-01 05:59:59.000,9.21489489923e-08,3.1709554642e-09,1.65621799545e-09,1.68039274454e-09
2019-11-01 06:14:59.000,8.84659216652e-08,3.26263332966e-09,1.70229272434e-09,1.72588331497e-09
2019-11-01 06:29:59.000,9.08398959371e-08,2.89779763326e-09,1.54766069168e-09,1.57220474569e-09
2019-11-01 06:44:59.000,1.14163661556e-07,2.88693366375e-09,1.53265768577e-09,1.55880658353e-09
2019-11-01 06:59:59.000,1.2239541188e-07,3.34404145056e-09,1.80929711405e-09,1.83447399996e-09
2019-11-01 07:14:59.000,9.42909554506e-08,3.5166082108e-09,2.02130407994e-09,2.04745009839e-09
2019-11-01 07:29:59.000,9.87204491179e-08,3.2792150998e-09,1.80190298996e-09,1.82620071703e-09
2019-11-01 07:44:59.000,9.34615377933e-08,3.2165624628e-09,1.65416325917e-09,1.67776903906e-09
2019-11-01 07:59:59.000,8.47517216597e-08,3.14088666524e-09,1.65523827947e-09,1.67949641079e-09
2019-11-01 08:14:59.000,8.89576612759e-08,3.06101830107e-09,1.56355150603e-09,1.58790123194e-09
2019-11-01 08:29:59.000,9.14161423914e-08,3.04726029166e-09,1.5452435534e-09,1.57120217311e-09
2019-11-01 08:44:59.000,8.61133267709e-08,3.6216753493e-09,1.91927958967e-09,1.9453197888e-09
2019-11-01 08:59:59.000,8.95189765102e-08,3.75993568219e-09,1.90262822755e-09,1.9276307239e-09
2019-11-01 09:14:59.000,9.10214850208e-08,3.06230302908e-09,1.42474380951e-09,1.45095692581e-09
2019-11-01 09:29:59.000,8.52376900438e-08,3.32559007166e-09,1.62627665273e-09,1.65324608304e-09
2019-11-01 09:44:59.000,8.54967719609e-08,4.02998940215e-09,1.96457544043e-09,1.98964772067e-09
2019-11-01 09:59:59.000,8.98397988473e-08,3.63535138908e-09,1.7976620943e-09,1.82252820867e-09
2019-11-01 10:14:59.000,9.40282701681e-08,3.0457075045e-09,1.44702468236e-09,1.47358459552e-09
2019-11-01 10:29:59.000,9.24176418571e-08,3.5399978814e-09,1.89957860882e-09,1.92535800168e-09
2019-11-01 10:44:59.000,8.94617891305e-08,3.8006089911e-09,2.20826856573e-09,2.23436206621e-09
2019-11-01 10:59:59.000,8.95764210186e-08,3.60345788964e-09,1.76199125462e-09,1.79008868084e-09
2019-11-01 11:14:59.000,9.72992293584e-08,8.70329393309e-09,2.80348292606e-09,2.82624681161e-09
2019-11-01 11:29:59.000,9.6237778178e-08,8.5314126562e-09,2.54719903458e-09,2.5712856579e-09
2019-11-01 11:44:59.000,9.06212131988e-08,4.66553667385e-09,2.4754945253e-09,2.50088571443e-09
2019-11-01 11:59:59.000,9.78699099926e-08,7.24633795297e-09,4.52728910448e-09,4.54598675913e-09
