,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.998393,1.92651807692e-06,3.55475471364e-09,3.81239463103e-10,3.88585870993e-10
2019-10-31 23:44:58.998393,1.83515434022e-06,3.52802898743e-09,3.87703978552e-10,4.03979749574e-10
2019-10-31 23:59:58.998393,2.08073466524e-06,3.69189270138e-09,4.06825556144e-10,4.31121890939e-10
2019-11-01 00:14:58.998393,2.19164526684e-06,3.79977049602e-09,4.13644143036e-10,4.24793006023e-10
2019-11-01 00:29:58.998393,2.0050685476e-06,3.91611459541e-09,4.19506716752e-10,4.28019034792e-10
2019-11-01 00:44:58.998393,2.00650713563e-06,3.81324666796e-09,4.33107967567e-10,4.44012052875e-10
2019-11-01 00:59:58.998393,2.1298939994e-06,3.80103246971e-09,5.26220165553e-10,6.15410883776e-10
2019-11-01 01:14:58.998393,2.05814299194e-06,3.7611008516e-09,5.96265385966e-10,7.16475125391e-10
2019-11-01 01:29:58.998393,2.09432780087e-06,3.7781367394e-09,5.51777555875e-10,5.76600215959e-10
2019-11-01 01:44:58.998393,2.14601356831e-06,3.75019076887e-09,6.01866817329e-10,6.24424881436e-10
2019-11-01 01:59:58.998393,1.99473417661e-06,3.78019791559e-09,1.0248144805e-09,1.05257601656e-09
2019-11-01 02:14:58.998393,2.02868279773e-06,3.69660056828e-09,1.07982059146e-09,1.11853557872e-09
2019-11-01 02:29:58.998393,2.00573192373e-06,3.71744023659e-09,8.42583994718e-10,8.78400075001e-10
2019-11-01 02:44:58.998393,2.09986218447e-06,3.64543235432e-09,8.56672007485e-10,8.89158952157e-10
2019-11-01 02:59:58.998393,2.23413548246e-06,3.72439060169e-09,1.56389503117e-09,1.5890552505e-09
2019-11-01 03:14:58.998393,2.04261830233e-06,3.65318468398e-09,1.61264132409e-09,1.63692072472e-09
2019-11-01 03:29:58.998393,1.94872839106e-06,3.4911805733e-09,1.09684992018e-09,1.15772775356e-09
2019-11-01 03:44:58.998393,2.21335390144e-06,3.54839723264e-09,1.32913860337e-09,1.37980876681e-09
2019-11-01 03:59:58.998393,2.35441667106e-06,3.67550186136e-09,1.42740293111e-09,1.45155535436e-09
2019-11-01 04:14:58.998393,2.24859481542e-06,3.57734281276e-09,1.18980128446e-09,1.22179487415e-09
2019-11-01 04:29:58.998393,2.18205819048e-06,3.50635774416e-09,1.10880489812e-09,1.1429335187e-09
2019-11-01 04:44:58.998393,2.0447705645e-06,3.7046191655e-09,1.40110264837e-09,1.42725762638e-09
2019-11-01 04:59:58.998393,2.03899136141e-06,3.91667541865e-09,1.5121044271e-09,1.61198910946e-09
2019-11-01 05:14:58.998393,2.12413659198e-06,3.99546396318e-09,1.49431474935e-09,1.57640607555e-09
2019-11-01 05:29:58.998393,2.23118783659e-06,4.25591342121e-09,1.85623700762e-09,1.9020241312e-09
2019-11-01 05:44:58.998393,2.15821114776e-06,4.23586033352e-09,1.80094685186e-09,1.8428248663e-09
2019-11-01 05:59:58.998393,2.10719904854e-06,3.98533283481e-09,1.10628532645e-09,1.15828585762e-09
2019-11-01 06:14:58.998393,2.08936250571e-06,4.06248043886e-09,1.27852810337e-09,1.31637320289e-09
2019-11-01 06:29:58.998393,2.13071414947e-06,4.13803142855e-09,1.45343732765e-09,1.56636525491e-09
2019-11-01 06:44:58.998393,2.13089616962e-06,4.07068358724e-09,1.09451841866e-09,1.29432276328e-09
2019-11-01 06:59:58.998393,2.09592662811e-06,4.07043485294e-09,1.40543202248e-09,1.44541462852e-09
2019-11-01 07:14:58.998393,2.00758795121e-06,4.11792261395e-09,1.78425261476e-09,1.81687203903e-09
2019-11-01 07:29:58.998393,1.95667528866e-06,4.04721394288e-09,1.62069541834e-09,1.65054032936e-09
2019-11-01 07:44:58.998393,1.96404234329e-06,3.88169471208e-09,1.05739243221e-09,1.10539379002e-09
2019-11-01 07:59:58.998393,2.06387107538e-06,3.80357115005e-09,1.26023481794e-09,1.29566001812e-09
2019-11-01 08:14:58.998393,2.0271708886e-06,3.82779836502e-09,1.52005444958e-09,1.53983906302e-09
2019-11-01 08:29:58.998393,2.09811509122e-06,3.66058905563e-09,1.3917922229e-09,1.41285582486e-09
2019-11-01 08:44:58.998393,2.05364631066e-06,3.55015605475e-09,1.14045246608e-09,1.1818845023e-09
2019-11-01 08:59:58.998393,1.87101448002e-06,3.56066406603e-09,1.36173627409e-09,1.44594005194e-09
