,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,2.20037087237e-06,1.00377350662e-08,4.30301975684e-09,5.33617766557e-09
2019-10-31 23:44:59,2.24197496651e-06,1.00182226571e-08,4.09442660564e-09,5.22082789627e-09
2019-10-31 23:59:59,2.2027428923e-06,1.01145602849e-08,4.07642004647e-09,5.17663231364e-09
2019-11-01 00:14:59,2.25682665932e-06,1.03780059341e-08,4.09530223771e-09,5.19451039391e-09
2019-11-01 00:29:59,2.35047316808e-06,1.05746882033e-08,4.23127632563e-09,5.31177185256e-09
2019-11-01 00:44:59,2.31657132392e-06,1.03234108252e-08,4.36483711209e-09,5.52510189223e-09
2019-11-01 00:59:59,2.16262543446e-06,9.88746391286e-09,4.19540742621e-09,5.3503184749e-09
2019-11-01 01:14:59,2.27364458881e-06,1.00667036913e-08,4.41257224664e-09,5.59839937013e-09
2019-11-01 01:29:59,2.16108795285e-06,1.01261888954e-08,4.66666076864e-09,5.77240938995e-09
2019-11-01 01:44:59,2.18859779247e-06,9.88080124054e-09,4.2781073704e-09,5.3501054177e-09
2019-11-01 01:59:59,2.29187860006e-06,9.77008692687e-09,4.11817845525e-09,5.27642458741e-09
2019-11-01 02:14:59,2.1043683133e-06,9.67662324913e-09,4.1166349695e-09,5.20380998289e-09
2019-11-01 02:29:59,2.21080895272e-06,9.89796913827e-09,4.10894668005e-09,5.18733048687e-09
2019-11-01 02:44:59,2.27912125942e-06,9.80896804945e-09,4.10039726515e-09,5.2241970755e-09
2019-11-01 02:59:59,2.18708845754e-06,9.59986037507e-09,3.94878021436e-09,5.05328249676e-09
2019-11-01 03:14:59,2.18087577913e-06,9.56316728742e-09,3.77243771363e-09,4.79348803396e-09
2019-11-01 03:29:59,2.24308131567e-06,9.33304681995e-09,3.51757548556e-09,4.50629212403e-09
2019-11-01 03:44:59,2.20259533205e-06,9.05284663043e-09,3.46635120847e-09,4.36475033066e-09
2019-11-01 03:59:59,2.09100820618e-06,8.84823997944e-09,3.36402598207e-09,4.33918629106e-09
2019-11-01 04:14:59,2.14387152617e-06,8.99941768663e-09,3.34720386248e-09,4.2401586198e-09
2019-11-01 04:29:59,2.22438507119e-06,8.84181350849e-09,3.26960448562e-09,4.11556976669e-09
2019-11-01 04:44:59,2.20785309708e-06,8.74112718194e-09,2.94674995452e-09,3.79833672879e-09
2019-11-01 04:59:59,2.19024952698e-06,8.46560560237e-09,2.92419977735e-09,3.7379205814e-09
2019-11-01 05:14:59,2.1783519378e-06,8.43215833778e-09,3.16716093342e-09,3.95327225417e-09
2019-11-01 05:29:59,2.07051382861e-06,8.33630476381e-09,2.91676147489e-09,3.70035970878e-09
2019-11-01 05:44:59,1.99711783851e-06,7.97843369774e-09,2.73077079585e-09,3.5391241077e-09
2019-11-01 05:59:59,2.14852249801e-06,8.0702012176e-09,2.76028900278e-09,3.55681560457e-09
2019-11-01 06:14:59,2.16204129804e-06,7.86160432881e-09,2.80255318123e-09,3.63975467992e-09
2019-11-01 06:29:59,2.07134545063e-06,7.68655706836e-09,2.62735998889e-09,3.48632417326e-09
2019-11-01 06:44:59,1.94914310813e-06,7.61708690273e-09,2.63347645292e-09,3.46596821147e-09
2019-11-01 06:59:59,1.96564147364e-06,7.43758722099e-09,2.58189467007e-09,3.32219560645e-09
2019-11-01 07:14:59,2.03365964795e-06,7.23195374373e-09,2.42598272141e-09,3.07913744616e-09
2019-11-01 07:29:59,2.06155853062e-06,7.11659343664e-09,2.37178379316e-09,3.01572242273e-09
2019-11-01 07:44:59,2.1338415217e-06,7.13004825092e-09,2.19474046274e-09,2.846363694e-09
2019-11-01 07:59:59,2.13313224391e-06,6.93298664813e-09,2.5011441777e-09,3.09660215104e-09
2019-11-01 08:14:59,2.0287936355e-06,6.79848257833e-09,2.37702220841e-09,2.9719783186e-09
2019-11-01 08:29:59,2.00683900403e-06,6.69052263218e-09,2.37267985199e-09,2.97735307306e-09
2019-11-01 08:44:59,2.02103319789e-06,6.55222088685e-09,2.04220485569e-09,2.61755742187e-09
2019-11-01 08:59:59,2.05285824892e-06,6.29740311351e-09,1.9288553886e-09,2.5548717758e-09
2019-11-01 09:14:59,2.01368284244e-06,6.05652782972e-09,1.86128124727e-09,2.44459071e-09
2019-11-01 09:29:59,2.12613061654e-06,5.97687685523e-09,1.78172166841e-09,2.17861204479e-09
2019-11-01 09:44:59,1.89927920619e-06,5.94594381618e-09,1.72484415674e-09,2.15708865498e-09
2019-11-01 09:59:59,1.9846211787e-06,5.82215390456e-09,1.71374404072e-09,2.11135002701e-09
2019-11-01 10:14:59,1.91501177283e-06,5.51545905198e-09,1.64247092503e-09,2.01604754287e-09
2019-11-01 10:29:59,1.97181913834e-06,5.71083545114e-09,1.81547407114e-09,2.1837578802e-09
2019-11-01 10:44:59,2.06790270328e-06,6.02657206704e-09,2.01087967117e-09,2.33095158213e-09
2019-11-01 10:59:59,2.03529951579e-06,5.63258033945e-09,1.93564619634e-09,2.19382777932e-09
2019-11-01 11:14:59,2.0604759201e-06,5.63564911814e-09,1.68913312535e-09,1.9481845685e-09
2019-11-01 11:29:59,1.96823390664e-06,5.54309722068e-09,1.67876420437e-09,2.01007299848e-09
2019-11-01 11:44:59,1.86662748364e-06,5.81123955142e-09,2.07130073534e-09,2.41239035554e-09
2019-11-01 11:59:59,1.99249598371e-06,5.76015956728e-09,2.01840938038e-09,2.40267168048e-09
2019-11-01 12:14:59,2.06379170343e-06,5.87363119306e-09,2.02538435267e-09,2.474412118e-09
