,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,1.8211681499e-07,7.50719273611e-09,6.32765663382e-09,6.5737997622e-09
2019-10-31 23:44:59.000,1.80100702632e-07,6.85833369802e-09,5.18772516739e-09,5.50946489858e-09
2019-10-31 23:59:59.000,1.95930690785e-07,5.9765168508e-09,4.13331599231e-09,4.37706098602e-09
2019-11-01 00:14:59.000,2.07392394332e-07,3.96418317195e-09,1.29826620003e-09,1.41225130584e-09
2019-11-01 00:29:59.000,2.00856276474e-07,4.5241236214e-09,2.10694804854e-09,2.25466497005e-09
2019-11-01 00:44:59.000,1.92195268e-07,5.64685748118e-09,3.41767096235e-09,3.63019994738e-09
2019-11-01 00:59:59.000,1.97697222148e-07,5.48377280761e-09,3.16661565165e-09,3.34157362825e-09
2019-11-01 01:14:59.000,2.00947444817e-07,6.74312349753e-09,4.90421468834e-09,5.21256752192e-09
2019-11-01 01:29:59.000,2.09108619618e-07,7.40943986625e-09,5.51279956197e-09,5.87992967736e-09
2019-11-01 01:44:59.000,2.10129130891e-07,7.82574564346e-09,5.90064441556e-09,6.18296946396e-09
2019-11-01 01:59:59.000,1.99893963613e-07,6.82865477153e-09,4.75057249928e-09,4.92265092796e-09
2019-11-01 02:14:59.000,2.02911674017e-07,6.71057557787e-09,4.51610397881e-09,4.70313141676e-09
2019-11-01 02:29:59.000,2.0668398012e-07,6.87830079342e-09,4.49755263419e-09,4.80855888354e-09
2019-11-01 02:44:59.000,2.02777737724e-07,8.05543196014e-09,5.91380972366e-09,6.32084073255e-09
2019-11-01 02:59:59.000,2.00137677802e-07,8.6444397995e-09,6.60394881079e-09,7.04477819599e-09
2019-11-01 03:14:59.000,2.12600966663e-07,7.82084483718e-09,5.71977889493e-09,6.05843872104e-09
2019-11-01 03:29:59.000,2.26202361521e-07,9.25498703804e-09,7.51531159996e-09,7.90273468261e-09
2019-11-01 03:44:59.000,2.24962289958e-07,1.17040819065e-08,9.96339251381e-09,1.04322362767e-08
2019-11-01 03:59:59.000,2.17941577532e-07,1.59862836642e-08,1.34572237014e-08,1.39794514682e-08
2019-11-01 04:14:59.000,2.26833403969e-07,1.53136835093e-08,1.29338227536e-08,1.3474378029e-08
2019-11-01 04:29:59.000,2.3349331668e-07,1.17172265104e-08,1.02693427959e-08,1.09422033369e-08
2019-11-01 04:44:59.000,2.28004869525e-07,1.82711682162e-08,1.61626485193e-08,1.67873547208e-08
2019-11-01 04:59:59.000,2.2634144214e-07,1.72629896399e-08,1.5173588891e-08,1.57625531112e-08
2019-11-01 05:14:59.000,2.27808834129e-07,1.65456630012e-08,1.47396340106e-08,1.53318272048e-08
2019-11-01 05:29:59.000,2.3897971753e-07,2.11026746079e-08,1.95716595481e-08,2.02596832902e-08
2019-11-01 05:44:59.000,2.31754958167e-07,2.33161108487e-08,1.99707832353e-08,2.0739784428e-08
2019-11-01 05:59:59.000,2.38431700995e-07,1.99667821684e-08,1.40181868438e-08,1.46627926669e-08
2019-11-01 06:14:59.000,2.36341108e-07,2.07004312792e-08,1.757581194e-08,1.82577678871e-08
2019-11-01 06:29:59.000,2.26128182878e-07,1.57312067596e-08,1.4671949533e-08,1.53471574e-08
2019-11-01 06:44:59.000,2.26595277171e-07,2.19768758106e-08,2.10168802347e-08,2.17548985064e-08
2019-11-01 06:59:59.000,2.26227969422e-07,1.85411743892e-08,1.71828877375e-08,1.82811097433e-08
2019-11-01 07:14:59.000,2.45797379767e-07,2.05445684623e-08,1.92631803111e-08,2.03273410097e-08
2019-11-01 07:29:59.000,2.42717824368e-07,2.01478935278e-08,1.70071894222e-08,1.78043964675e-08
2019-11-01 07:44:59.000,2.44038452928e-07,2.08680898056e-08,1.59583180814e-08,1.68885671829e-08
2019-11-01 07:59:59.000,2.62931408643e-07,1.74901935751e-08,1.60501455738e-08,1.70877289436e-08
2019-11-01 08:14:59.000,2.47208065676e-07,2.58924263469e-08,2.37926219991e-08,2.46973274911e-08
2019-11-01 08:29:59.000,2.3690379954e-07,2.01692427175e-08,1.81581320333e-08,1.89427907008e-08
2019-11-01 08:44:59.000,2.44522943556e-07,2.23369760558e-08,2.11881968716e-08,2.22387362957e-08
2019-11-01 08:59:59.000,2.5922097105e-07,1.7893606379e-08,1.66346548148e-08,1.75987671809e-08
2019-11-01 09:14:59.000,2.51981879391e-07,1.65070186937e-08,1.50711860615e-08,1.59507040732e-08
2019-11-01 09:29:59.000,2.44978150366e-07,1.37530143073e-08,1.2750551314e-08,1.36116526518e-08
2019-11-01 09:44:59.000,2.56896216146e-07,1.24096152669e-08,1.14631921143e-08,1.22294324296e-08
2019-11-01 09:59:59.000,2.62003089452e-07,1.46267577253e-08,1.37715980412e-08,1.44689352716e-08
2019-11-01 10:14:59.000,2.58233475221e-07,1.97265039534e-08,1.87926304369e-08,1.96250224481e-08
2019-11-01 10:29:59.000,2.67544377106e-07,2.14839498346e-08,2.06805703193e-08,2.13936852042e-08
2019-11-01 10:44:59.000,2.67187874087e-07,2.32367672004e-08,2.25478965696e-08,2.31532327359e-08
2019-11-01 10:59:59.000,2.68602531785e-07,2.39317577538e-08,2.30148442138e-08,2.37777689967e-08
2019-11-01 11:14:59.000,2.59528731824e-07,2.48882321719e-08,2.37528786627e-08,2.46336959349e-08
2019-11-01 11:29:59.000,2.77821369976e-07,5.54613307093e-08,3.93063102932e-08,4.10479453839e-08
2019-11-01 11:44:59.000,2.7604959391e-07,2.26025614702e-08,2.12391759885e-08,2.21937189908e-08
2019-11-01 11:59:59.000,2.79798956295e-07,2.27449407984e-08,2.13782021716e-08,2.2343341745e-08
2019-11-01 12:14:59.000,2.87661032608e-07,1.95153126648e-08,1.85621495578e-08,1.93560832813e-08
2019-11-01 12:29:59.000,3.04502878111e-07,2.01322392559e-08,1.92047762551e-08,1.99655089804e-08
2019-11-01 12:44:59.000,3.07039000878e-07,2.17992196802e-08,2.05804522719e-08,2.16409740665e-08
2019-11-01 12:59:59.000,3.07796815481e-07,2.80057099648e-08,2.69017787236e-08,2.78734544471e-08
2019-11-01 13:14:59.000,3.22617484314e-07,2.62411390198e-08,2.51244050655e-08,2.61023356194e-08
2019-11-01 13:29:59.000,3.1070691167e-07,1.55303615883e-08,1.42466442169e-08,1.53072982929e-08
2019-11-01 13:44:59.000,2.97299757513e-07,1.4661468809e-08,1.35007086102e-08,1.44141009274e-08
2019-11-01 13:59:59.000,3.16023383644e-07,1.4264147581e-08,1.3199000531e-08,1.39916241461e-08
2019-11-01 14:14:59.000,3.13539411106e-07,1.59311836925e-08,1.48101478992e-08,1.56848462454e-08
2019-11-01 14:29:59.000,3.03219551931e-07,1.58195233903e-08,1.45892504311e-08,1.55721053859e-08
2019-11-01 14:44:59.000,2.96738844413e-07,1.48791400289e-08,1.38002332605e-08,1.46227883497e-08
2019-11-01 14:59:59.000,3.23943938824e-07,1.42951473446e-08,1.32406379645e-08,1.39961407991e-08
2019-11-01 15:14:59.000,3.22183761756e-07,1.40120020269e-08,1.29050587191e-08,1.37232140645e-08
2019-11-01 15:29:59.000,3.20745189495e-07,1.33677529654e-08,1.22064386558e-08,1.30691489301e-08
2019-11-01 15:44:59.000,3.31068869627e-07,1.12815256581e-08,1.01394694366e-08,1.09485961821e-08
2019-11-01 15:59:59.000,3.24359465018e-07,1.21759224751e-08,1.09820977954e-08,1.18308178602e-08
2019-11-01 16:14:59.000,3.17269993043e-07,1.20877936102e-08,1.10486064722e-08,1.17835295441e-08
2019-11-01 16:29:59.000,3.15360164587e-07,1.31407659279e-08,1.19473730844e-08,1.286687418e-08
2019-11-01 16:44:59.000,3.1758747816e-07,1.20451223158e-08,1.08065748334e-08,1.17665727857e-08
2019-11-01 16:59:59.000,3.1777412759e-07,1.03247230665e-08,9.4401695051e-09,1.00083390768e-08
2019-11-01 17:14:59.000,3.18741225624e-07,8.75739321712e-09,7.88124299532e-09,8.30952910437e-09
2019-11-01 17:29:59.000,3.36383295032e-07,9.94620164685e-09,9.13222826792e-09,9.66269151537e-09
2019-11-01 17:44:59.000,3.18250718078e-07,9.28206412581e-09,8.36570706951e-09,8.99994017737e-09
2019-11-01 17:59:59.000,2.98172237266e-07,9.21898373867e-09,8.3733813883e-09,8.89691277502e-09
2019-11-01 18:14:59.000,3.17046032489e-07,7.16582599825e-09,6.44146348665e-09,6.81773351817e-09
2019-11-01 18:29:59.000,3.14839802453e-07,6.65542446133e-09,5.85678372995e-09,6.24395558516e-09
2019-11-01 18:44:59.000,3.01484122978e-07,6.81377051715e-09,6.09884356111e-09,6.45455766323e-09
2019-11-01 18:59:59.000,3.30071388909e-07,8.42732363156e-09,7.84779843278e-09,8.18548504983e-09
2019-11-01 19:14:59.000,3.46791796389e-07,6.65521912215e-09,5.82537055814e-09,6.33841208751e-09
2019-11-01 19:29:59.000,3.0623832956e-07,5.23999257563e-09,3.97417325863e-09,4.35582562412e-09
2019-11-01 19:44:59.000,3.26716078757e-07,4.73552563571e-09,3.67148947312e-09,3.91805884369e-09
2019-11-01 19:59:59.000,3.15637646441e-07,3.50179113303e-09,2.73237702854e-09,2.88507994975e-09
2019-11-01 20:14:59.000,3.21044967374e-07,4.16939304583e-09,3.34039394602e-09,3.62964389226e-09
2019-11-01 20:29:59.000,3.29715006358e-07,4.07402888157e-09,3.24835776579e-09,3.52878001787e-09
2019-11-01 20:44:59.000,3.1891691725e-07,3.59077482528e-09,2.78248346777e-09,3.00671184838e-09
2019-11-01 20:59:59.000,3.37858226783e-07,3.1222211929e-09,2.22190436851e-09,2.41315737852e-09
2019-11-01 21:14:59.000,3.23985700116e-07,4.2221933211e-09,3.38474801887e-09,3.64853268353e-09
