,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-30 23:29:59.008390,1.098303386559196e-06,1.307351552211552e-08,6.918343896717672e-09,7.460591900630352e-09
2019-11-30 23:44:59.008390,1.019958934966281e-06,1.315291730499142e-08,7.125916312835325e-09,7.617998051368308e-09
2019-11-30 23:59:59.008390,1.0282049911943093e-06,1.383451545574093e-08,9.601660271655326e-09,1.0029020294641365e-08
2019-12-01 00:14:59.008390,1.0629454449326185e-06,1.3878606673216438e-08,9.00769001569993e-09,9.505544375773115e-09
2019-12-01 00:29:59.008390,9.55118133607654e-07,1.2305451715212859e-08,6.799640012518693e-09,7.267665786806191e-09
2019-12-01 00:44:59.008390,1.0776363836094519e-06,1.181919557020011e-08,7.080368221648288e-09,7.455715101921905e-09
2019-12-01 00:59:59.008390,1.119169158210962e-06,1.1716049307332746e-08,7.268786780993072e-09,7.704509212492637e-09
2019-12-01 01:14:59.008390,0.00022900652928406565,7.303125297462416e-06,9.022234588457497e-07,9.103725411228385e-07
2019-12-01 01:29:59.008390,0.00018009019990628355,5.8024255842010595e-06,7.15759687179159e-07,7.220777470625016e-07
2019-12-01 01:44:59.008390,1.0728597094005015e-06,1.2452167471492577e-08,7.139190159057917e-09,7.515713151137049e-09
2019-12-01 01:59:59.008390,1.132134865899786e-06,1.181013822804006e-08,6.385961168414702e-09,6.843800518625403e-09
2019-12-01 02:14:59.008390,1.1206091585537098e-06,1.3580206261674035e-08,8.691386217800221e-09,9.160251092950818e-09
2019-12-01 02:29:59.008390,1.141119740608011e-06,1.511119071596007e-08,8.336851949953713e-09,8.794223239741342e-09
2019-12-01 02:44:59.008390,1.104950613893878e-06,1.5049099495437915e-08,8.446932263841921e-09,8.882980848169349e-09
2019-12-01 02:59:59.008390,1.0542613726045787e-06,1.4780966999625846e-08,9.829619626754021e-09,1.0274309063759054e-08
2019-12-01 03:14:59.008390,1.1430808132588394e-06,1.3938227604425228e-08,9.054780527863048e-09,9.44499707631886e-09
2019-12-01 03:29:59.008390,1.155833819115847e-06,1.5203051476292397e-08,9.795518198290548e-09,1.0100367733800186e-08
