,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-01 00:00:01,8.94e-06,9.55e-08,1.63e-08,1.74e-08
2019-11-01 00:15:01,7.68e-06,9.29e-08,1.41e-08,1.49e-08
2019-11-01 00:30:01,7.32e-06,9.18e-08,1.39e-08,1.45e-08
2019-11-01 00:45:01,8.24e-06,9.37e-08,1.38e-08,1.46e-08
2019-11-01 01:00:01,8.56e-06,9.55e-08,1.34e-08,1.42e-08
2019-11-01 01:15:01,8.24e-06,9.42e-08,1.56e-08,1.63e-08
2019-11-01 01:30:01,7.89e-06,9.40e-08,1.27e-08,1.31e-08
2019-11-01 01:45:01,8.01e-06,9.51e-08,1.54e-08,1.59e-08
2019-11-01 02:00:01,7.20e-06,9.47e-08,1.64e-08,1.69e-08
2019-11-01 02:15:01,8.22e-06,9.42e-08,1.53e-08,1.57e-08
2019-11-01 02:30:01,8.94e-06,9.54e-08,2.05e-08,2.12e-08
2019-11-01 02:45:01,8.64e-06,9.66e-08,2.32e-08,2.39e-08
2019-11-01 03:00:01,8.12e-06,1.01e-07,2.54e-08,2.60e-08
2019-11-01 03:15:01,8.80e-06,1.06e-07,3.29e-08,3.36e-08
2019-11-01 03:30:01,7.96e-06,1.07e-07,3.20e-08,3.27e-08
2019-11-01 03:45:01,7.21e-06,1.12e-07,3.56e-08,3.63e-08
2019-11-01 04:00:01,8.16e-06,1.16e-07,3.86e-08,3.96e-08
2019-11-01 04:15:01,8.76e-06,1.17e-07,4.01e-08,4.16e-08
2019-11-01 04:30:01,8.40e-06,1.19e-07,4.29e-08,4.51e-08
2019-11-01 04:45:01,8.50e-06,1.19e-07,4.29e-08,4.56e-08
2019-11-01 05:00:01,8.61e-06,1.24e-07,4.47e-08,4.82e-08
2019-11-01 05:15:01,8.71e-06,1.32e-07,4.62e-08,4.97e-08
2019-11-01 05:30:01,8.66e-06,1.31e-07,4.77e-08,5.09e-08
2019-11-01 05:45:01,8.92e-06,1.35e-07,4.90e-08,5.23e-08
2019-11-01 06:00:01,8.15e-06,1.37e-07,5.00e-08,5.32e-08
2019-11-01 06:15:01,8.09e-06,1.35e-07,4.86e-08,5.16e-08
2019-11-01 06:30:01,8.34e-06,1.34e-07,4.54e-08,4.83e-08
2019-11-01 06:45:01,8.70e-06,1.35e-07,4.43e-08,4.71e-08
2019-11-01 07:00:01,9.09e-06,1.36e-07,4.71e-08,4.94e-08
2019-11-01 07:15:01,8.52e-06,1.34e-07,4.76e-08,5.02e-08
2019-11-01 07:30:01,8.39e-06,1.29e-07,4.43e-08,4.70e-08
2019-11-01 07:45:01,8.87e-06,1.30e-07,4.33e-08,4.59e-08
2019-11-01 08:00:01,8.88e-06,1.37e-07,4.54e-08,4.79e-08
2019-11-01 08:15:01,8.65e-06,1.34e-07,4.60e-08,4.85e-08
2019-11-01 08:30:01,9.16e-06,1.32e-07,4.48e-08,4.75e-08
2019-11-01 08:45:01,8.22e-06,1.31e-07,4.10e-08,4.35e-08
2019-11-01 09:00:01,8.28e-06,1.31e-07,4.32e-08,4.56e-08
2019-11-01 09:15:01,9.52e-06,1.32e-07,4.59e-08,4.80e-08
2019-11-01 09:30:01,9.71e-06,1.35e-07,4.48e-08,4.71e-08
2019-11-01 09:45:01,8.41e-06,1.35e-07,4.35e-08,4.64e-08
2019-11-01 10:00:01,8.09e-06,1.34e-07,4.36e-08,4.65e-08
2019-11-01 10:15:01,8.52e-06,1.34e-07,4.42e-08,4.70e-08
2019-11-01 10:30:01,9.04e-06,1.29e-07,4.27e-08,4.51e-08
2019-11-01 10:45:01,8.38e-06,1.28e-07,4.15e-08,4.37e-08
2019-11-01 11:00:01,8.05e-06,1.32e-07,4.09e-08,4.33e-08
2019-11-01 11:15:01,8.23e-06,1.30e-07,4.09e-08,4.35e-08
2019-11-01 11:30:01,7.91e-06,1.28e-07,4.05e-08,4.29e-08
2019-11-01 11:45:01,8.16e-06,1.30e-07,4.14e-08,4.38e-08
2019-11-01 12:00:01,8.41e-06,1.35e-07,4.11e-08,4.37e-08
2019-11-01 12:15:01,8.74e-06,1.36e-07,4.26e-08,4.56e-08
2019-11-01 12:30:01,9.30e-06,1.36e-07,4.29e-08,4.54e-08
2019-11-01 12:45:01,8.60e-06,1.32e-07,4.14e-08,4.38e-08
2019-11-01 13:00:01,8.16e-06,1.29e-07,4.29e-08,4.53e-08
2019-11-01 13:15:01,8.14e-06,1.28e-07,4.22e-08,4.44e-08
2019-11-01 13:30:01,8.03e-06,1.31e-07,4.39e-08,4.61e-08
2019-11-01 13:45:01,8.65e-06,1.35e-07,4.42e-08,4.64e-08
2019-11-01 14:00:01,8.88e-06,1.35e-07,4.64e-08,4.86e-08
2019-11-01 14:15:01,8.29e-06,1.33e-07,4.72e-08,4.95e-08
2019-11-01 14:30:01,7.89e-06,1.30e-07,4.31e-08,4.54e-08
2019-11-01 14:45:01,8.65e-06,1.28e-07,4.35e-08,4.56e-08
2019-11-01 15:00:01,8.61e-06,1.27e-07,4.40e-08,4.61e-08
2019-11-01 15:15:01,8.88e-06,1.23e-07,4.18e-08,4.43e-08
2019-11-01 15:30:01,8.64e-06,1.21e-07,4.12e-08,4.40e-08
2019-11-01 15:45:01,8.72e-06,1.22e-07,4.22e-08,4.47e-08
