,2.0-20.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-11-04 15:06:38,5.71091454906e-09,7.35654927956e-09,3.67096569713e-09,3.87889582463e-09
2019-11-04 15:21:38,9.59123142244e-09,1.06228383223e-08,8.96807124383e-09,9.28215086211e-09
2019-11-04 15:36:38,9.37027231781e-09,1.040773857e-08,8.84572287168e-09,9.08548689137e-09
2019-11-04 15:51:38,3.84214039465e-09,6.09017910839e-09,3.05345873744e-09,3.26351764742e-09
2019-11-04 16:06:38,3.6689173293e-09,5.90710258937e-09,2.7876652182e-09,2.9418906965e-09
2019-11-04 16:21:38,3.3177096726e-09,5.67165784321e-09,2.46824291626e-09,2.59232319289e-09
2019-11-04 16:36:38,3.1603804567e-09,5.66653806576e-09,2.41947918426e-09,2.55004602527e-09
2019-11-04 16:51:38,3.13399127544e-09,5.57688537249e-09,2.38515188358e-09,2.51915899328e-09
2019-11-04 17:06:38,3.27840476649e-09,5.83305012961e-09,2.5462769392e-09,2.67562797253e-09
2019-11-04 17:21:38,3.38521368306e-09,5.95636920346e-09,2.62925056057e-09,2.76859429329e-09
2019-11-04 17:36:38,3.14174180944e-09,5.64966944582e-09,2.39862755335e-09,2.53157580867e-09
2019-11-04 17:51:38,3.27879956297e-09,5.70433284023e-09,2.52670564491e-09,2.74778743413e-09
2019-11-04 18:06:38,3.22752259433e-09,5.68656251727e-09,2.47894590886e-09,2.71103012547e-09
2019-11-04 18:21:38,3.08938434235e-09,5.67209134666e-09,2.34446343073e-09,2.48688851328e-09
2019-11-04 18:36:38,3.0737519047e-09,5.68021417367e-09,2.24934905413e-09,2.3874743022e-09
2019-11-04 18:51:38,3.09166801539e-09,5.57454036326e-09,2.2881516105e-09,2.42355066743e-09
2019-11-04 19:06:38,3.06759196605e-09,5.59586160307e-09,2.26548121687e-09,2.38876637354e-09
2019-11-04 19:21:38,3.24689830701e-09,5.61767492845e-09,2.49478116302e-09,2.6617246491e-09
2019-11-04 19:36:38,3.76564027534e-09,6.06107303741e-09,2.95176842601e-09,3.1295539446e-09
2019-11-04 19:51:38,3.837534814e-09,6.06634840956e-09,2.96578714966e-09,3.14944635465e-09
2019-11-04 20:06:38,3.54573514355e-09,5.89487050543e-09,2.77702532588e-09,2.97199064119e-09
2019-11-04 20:21:38,3.96893827964e-09,6.20546112909e-09,3.04882978041e-09,3.27868182212e-09
2019-11-04 20:36:38,6.80654383418e-09,8.40778522444e-09,5.5909608332e-09,5.9469613019e-09
2019-11-04 20:51:38,8.94299191765e-09,1.02659757108e-08,6.8869182814e-09,7.37365662104e-09
2019-11-04 21:06:38,7.00455127928e-09,8.5795200491e-09,5.13851376278e-09,5.42600033243e-09
2019-11-04 21:21:38,8.54463822871e-09,9.83073190793e-09,6.8564806495e-09,7.37960522964e-09
2019-11-04 21:36:38,9.26365808387e-09,1.05429959846e-08,7.59144098927e-09,8.20960671576e-09
2019-11-04 21:51:38,8.03215777673e-09,9.40515109434e-09,6.55281860514e-09,7.00059378243e-09
2019-11-04 22:06:38,1.07200764309e-08,1.17440382159e-08,8.51918805902e-09,8.90209342376e-09
2019-11-04 22:21:38,1.39616178882e-08,1.47616399944e-08,1.16984077784e-08,1.23140317288e-08
2019-11-04 22:36:38,1.63115152772e-08,1.7025410636e-08,1.36139872863e-08,1.44908242076e-08
2019-11-04 22:51:38,1.77261176886e-08,1.84207318595e-08,1.39147955459e-08,1.50023561131e-08
2019-11-04 23:06:38,2.48511074933e-08,2.52760757385e-08,1.7136147047e-08,1.80729248473e-08
2019-11-04 23:21:38,2.32083375002e-08,2.37692073304e-08,1.87024331117e-08,1.96765863514e-08
2019-11-04 23:36:38,2.58968785287e-08,2.65198619064e-08,2.15622751575e-08,2.30982268385e-08
2019-11-04 23:51:38,3.33974217394e-08,3.57811262461e-08,2.61468965307e-08,2.82535572416e-08
2019-11-05 00:14:59,4.40072613494e-08,4.55270792697e-08,3.4083673733e-08,3.87091029598e-08
2019-11-05 00:29:59,4.18017636767e-08,4.30665033261e-08,3.19707199327e-08,3.62895850586e-08
2019-11-05 00:44:59,3.67786502754e-08,3.78821921532e-08,2.90210931926e-08,3.23799598218e-08
2019-11-05 00:59:59,3.24285450508e-08,3.3613062947e-08,2.67224125095e-08,2.87358311905e-08
2019-11-05 01:14:59,3.66830969502e-08,3.78506057041e-08,2.98390790952e-08,3.16624411969e-08
2019-11-05 01:29:59,3.10126606112e-08,3.18592422832e-08,2.34969749187e-08,2.55809597999e-08
2019-11-05 01:44:59,2.36674941254e-08,2.46996706934e-08,1.77059037572e-08,1.93817808469e-08
2019-11-05 01:59:59,2.13012429523e-08,2.20369681654e-08,1.66468574396e-08,1.83699483987e-08
2019-11-05 02:14:59,2.65098831977e-08,2.71198970294e-08,2.12866192359e-08,2.34091904934e-08
2019-11-05 02:29:59,3.54107394139e-08,3.62252536752e-08,2.7542176869e-08,3.07555931553e-08
2019-11-05 02:44:59,3.93341249879e-08,4.00608479779e-08,2.96071505584e-08,3.30609164885e-08
2019-11-05 02:59:59,2.91267649334e-08,2.96541108419e-08,2.22508615854e-08,2.43244191705e-08
2019-11-05 03:14:59,2.56605489837e-08,2.61067416721e-08,1.9097315613e-08,2.13468266521e-08
2019-11-05 03:29:59,2.68528766996e-08,2.73629791654e-08,1.89461515985e-08,2.09230686173e-08
2019-11-05 03:44:59,2.59807880334e-08,2.66343520308e-08,1.88225739065e-08,2.04720904421e-08
2019-11-05 03:59:59,2.55884710109e-08,2.62237975388e-08,2.06180967985e-08,2.24033080456e-08
2019-11-05 04:14:59,2.73850740643e-08,2.80098850243e-08,2.20979853411e-08,2.43224890297e-08
2019-11-05 04:29:59,3.0230713385e-08,3.13576250895e-08,2.25827470875e-08,2.52932526881e-08
2019-11-05 04:44:59,3.50087238335e-08,3.62238932359e-08,2.39073058342e-08,2.80390322425e-08
2019-11-05 04:59:59,3.70966260072e-08,3.90567121963e-08,2.50048168688e-08,2.9235362794e-08
2019-11-05 05:14:59,3.04795735722e-08,3.28242692937e-08,2.14695917902e-08,2.3994146791e-08
2019-11-05 05:29:59,2.55843029536e-08,2.70327377333e-08,1.92572952357e-08,2.07676529929e-08
2019-11-05 05:44:59,3.14706114287e-08,3.26333607236e-08,2.61776653179e-08,2.73825931047e-08
2019-11-05 05:59:59,3.04314822675e-08,3.18462555089e-08,2.33178128513e-08,2.49159107406e-08
2019-11-05 06:14:59,2.80730409473e-08,2.9376732532e-08,2.02906470867e-08,2.19842793768e-08
2019-11-05 06:29:59,3.24664159695e-08,3.45491717943e-08,2.36474803155e-08,2.59566264143e-08
2019-11-05 06:44:59,4.22139536352e-08,4.56506270149e-08,3.06985988688e-08,3.41366343122e-08
2019-11-05 06:59:59,4.34633090797e-08,4.65827335275e-08,3.2872250743e-08,3.67304814796e-08
2019-11-05 07:14:59,2.95283012472e-08,2.99747511344e-08,2.43060226064e-08,2.65763495941e-08
2019-11-05 07:29:59,2.54052529778e-08,2.62046276684e-08,2.02998907099e-08,2.24096435554e-08
2019-11-05 07:44:59,2.36200593514e-08,2.42902999666e-08,1.83087428363e-08,1.99084454288e-08
2019-11-05 07:59:59,2.35855691486e-08,2.40886834739e-08,1.91043758741e-08,2.06981363142e-08
2019-11-05 08:14:59,2.58940895592e-08,2.65009244386e-08,2.12771958665e-08,2.31289642772e-08
2019-11-05 08:29:59,2.29683283251e-08,2.36714773015e-08,1.81857758039e-08,2.00765319946e-08
2019-11-05 08:44:59,2.10356359354e-08,2.1697225653e-08,1.61817345289e-08,1.73977295869e-08
