,2.0-20.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,4.24310785147e-08,4.72992558983e-08,3.50171799637e-08,3.61066319021e-08
2019-10-31 23:44:59,4.18793473678e-08,4.92849480531e-08,3.3298750001e-08,3.43487936349e-08
2019-10-31 23:59:59,3.33130846756e-08,3.91942174124e-08,2.69404617316e-08,2.76795157454e-08
2019-11-01 00:14:59,3.53353276912e-08,4.25852796538e-08,2.81310421651e-08,2.91317117732e-08
2019-11-01 00:29:59,4.32662907867e-08,5.16026833577e-08,3.52781403115e-08,3.64931125883e-08
2019-11-01 00:44:59,3.956272911e-08,4.68221211191e-08,3.19023674242e-08,3.28392399382e-08
2019-11-01 00:59:59,3.90164858545e-08,4.70710696583e-08,3.00181137814e-08,3.09662020732e-08
2019-11-01 01:14:59,3.64392807758e-08,4.33829542463e-08,2.85943366593e-08,2.93764451847e-08
2019-11-01 01:29:59,3.36095471314e-08,4.01681052042e-08,2.6714094936e-08,2.74822413959e-08
2019-11-01 01:44:59,3.91333824047e-08,4.53496623689e-08,3.26091626898e-08,3.36501597595e-08
2019-11-01 01:59:59,3.78781888427e-08,4.49840332863e-08,3.11541516093e-08,3.23491256526e-08
2019-11-01 02:14:59,3.10644285138e-08,3.49951980971e-08,2.66728970078e-08,2.77859232106e-08
2019-11-01 02:29:59,4.56117605892e-08,5.29219605099e-08,3.64454370633e-08,3.77185707418e-08
2019-11-01 02:44:59,4.4412546331e-08,5.31570120495e-08,3.40722895429e-08,3.51770251444e-08
2019-11-01 02:59:59,3.52903058515e-08,4.27410430605e-08,2.7514399338e-08,2.83715810593e-08
2019-11-01 03:14:59,3.9416759842e-08,4.80555363279e-08,3.21966285649e-08,3.33231441879e-08
2019-11-01 03:29:59,3.94210944837e-08,4.75306002772e-08,3.30885492949e-08,3.41907396967e-08
2019-11-01 03:44:59,2.87323696528e-08,3.13384789481e-08,2.51187117116e-08,2.58915389994e-08
2019-11-01 03:59:59,2.96408977948e-08,3.11318404509e-08,2.61765465581e-08,2.69832911119e-08
2019-11-01 04:14:59,3.27006289548e-08,3.66024344551e-08,2.67348297075e-08,2.78859674956e-08
2019-11-01 04:29:59,2.82984093537e-08,3.61184395528e-08,2.36001906906e-08,2.4731275783e-08
2019-11-01 04:44:59,2.28638352448e-08,2.81948978768e-08,1.96661836429e-08,2.03461794946e-08
2019-11-01 04:59:59,1.59628872948e-08,1.60523452005e-08,1.4936109147e-08,1.54457205882e-08
2019-11-01 05:14:59,1.61742801264e-08,1.62561718311e-08,1.51491626952e-08,1.5676874952e-08
2019-11-01 05:29:59,1.72028356867e-08,1.7287610405e-08,1.6123227283e-08,1.6681867888e-08
2019-11-01 05:44:59,1.69742494874e-08,1.70753054175e-08,1.59362636078e-08,1.64749825681e-08
2019-11-01 05:59:59,1.74093344657e-08,1.75012149001e-08,1.64728506873e-08,1.69779420869e-08
2019-11-01 06:14:59,1.72605475663e-08,1.73544316955e-08,1.63225950488e-08,1.68226025516e-08
2019-11-01 06:29:59,1.73963127521e-08,1.75740739956e-08,1.64425708968e-08,1.6877747838e-08
2019-11-01 06:44:59,1.75196038539e-08,1.7698498037e-08,1.63801787337e-08,1.69907671431e-08
2019-11-01 06:59:59,1.62609387226e-08,1.63648131864e-08,1.50402208222e-08,1.57387906781e-08
2019-11-01 07:14:59,1.65078755478e-08,1.66170899994e-08,1.53653415611e-08,1.59276543873e-08
2019-11-01 07:29:59,1.56829760796e-08,1.57913473401e-08,1.46995888843e-08,1.5187435477e-08
2019-11-01 07:44:59,1.53965915671e-08,1.6367134716e-08,1.43640571251e-08,1.48188072757e-08
2019-11-01 07:59:59,1.4985946585e-08,1.61842269297e-08,1.38773928026e-08,1.43496643496e-08
2019-11-01 08:14:59,1.47799847637e-08,1.58253027079e-08,1.37007532077e-08,1.41538075966e-08
2019-11-01 08:29:59,1.37855863724e-08,1.4026406048e-08,1.30144680921e-08,1.34025965426e-08
2019-11-01 08:44:59,1.43810991516e-08,1.4699917053e-08,1.37113216492e-08,1.40242053735e-08
2019-11-01 08:59:59,1.37076214055e-08,1.4426436634e-08,1.28752345653e-08,1.32441666979e-08
2019-11-01 09:14:59,1.28129817943e-08,1.36508029971e-08,1.19059586351e-08,1.2311397195e-08
2019-11-01 09:29:59,1.12939406287e-08,1.1436688914e-08,1.06828144649e-08,1.09925895476e-08
2019-11-01 09:44:59,1.22936793287e-08,1.24255724667e-08,1.17352933534e-08,1.20064577823e-08
2019-11-01 09:59:59,1.01595729128e-08,1.03174516652e-08,9.55618001356e-09,9.84578123869e-09
2019-11-01 10:14:59,1.00596489171e-08,1.02093507272e-08,9.4761798008e-09,9.79140430325e-09
2019-11-01 10:29:59,9.21673148069e-09,9.38358474381e-09,8.63821432841e-09,8.93699903436e-09
