,2.0-20.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,4.88816359995e-08,5.39542490317e-08,3.31648420447e-08,3.38876855974e-08
2019-10-31 23:44:59.000,3.40266944336e-08,3.60103376882e-08,2.39482986673e-08,2.42433466488e-08
2019-10-31 23:59:59.000,3.6796264048e-08,3.84430695264e-08,2.68870352677e-08,2.7121944045e-08
2019-11-01 00:14:59.000,3.66236857257e-08,3.82846488599e-08,2.5469819912e-08,2.56926969921e-08
2019-11-01 00:29:59.000,3.26842411658e-08,3.42431639466e-08,2.3320928484e-08,2.35140785792e-08
2019-11-01 00:44:59.000,4.35667342897e-08,4.75829752141e-08,3.04734785503e-08,3.10428251326e-08
2019-11-01 00:59:59.000,6.04856026643e-08,6.72893965763e-08,4.04847821174e-08,4.14890185019e-08
2019-11-01 01:14:59.000,5.14087654133e-08,5.65797399712e-08,3.37882649805e-08,3.44953103727e-08
2019-11-01 01:29:59.000,3.10015908703e-08,3.29726744492e-08,2.25338747299e-08,2.28498517524e-08
2019-11-01 01:44:59.000,3.23227694021e-08,3.40068423298e-08,2.40056757606e-08,2.44279919259e-08
2019-11-01 01:59:59.000,3.54398961429e-08,3.70981219053e-08,2.55588359944e-08,2.59792953709e-08
2019-11-01 02:14:59.000,4.68511162067e-08,5.14612038775e-08,3.12452837836e-08,3.20503664996e-08
2019-11-01 02:29:59.000,5.36199184566e-08,5.94866086728e-08,3.7181788583e-08,3.82713101338e-08
2019-11-01 02:44:59.000,4.28913926137e-08,4.71649870365e-08,3.28997619314e-08,3.3736840449e-08
2019-11-01 02:59:59.000,5.1429560139e-08,5.71103697605e-08,3.55461546682e-08,3.64249022097e-08
2019-11-01 03:14:59.000,3.52843535913e-08,3.74113188487e-08,2.58089822314e-08,2.62899983003e-08
2019-11-01 03:29:59.000,3.37142447375e-08,3.51938156359e-08,2.50671826993e-08,2.56694455505e-08
2019-11-01 03:44:59.000,3.3774682449e-08,3.51559140571e-08,2.59492505274e-08,2.64353114768e-08
2019-11-01 03:59:59.000,3.12746733886e-08,3.26259528596e-08,2.51354178169e-08,2.56219802054e-08
2019-11-01 04:14:59.000,4.79906522079e-08,5.23935294581e-08,3.37981002226e-08,3.45703987371e-08
2019-11-01 04:29:59.000,4.14008092335e-08,4.52674759301e-08,3.05317932574e-08,3.09342468613e-08
2019-11-01 04:44:59.000,2.65379130718e-08,2.79371128014e-08,2.19391689578e-08,2.20759915468e-08
2019-11-01 04:59:59.000,2.24923916698e-08,2.33509178841e-08,1.89285407844e-08,1.90340726064e-08
2019-11-01 05:14:59.000,2.0300355019e-08,2.08281014604e-08,1.69582882813e-08,1.70311962888e-08
2019-11-01 05:29:59.000,1.85343498993e-08,1.87791000241e-08,1.56063564447e-08,1.56750121592e-08
