,2.0-20.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,1.50048111052e-08,1.5552299805e-08,1.08974788508e-08,1.47185720128e-08
2019-10-31 23:44:59,1.84303742545e-08,2.01929139182e-08,1.32324706738e-08,1.78373227979e-08
2019-10-31 23:59:59,3.04767753893e-08,3.52976429201e-08,2.33769740811e-08,2.73119816074e-08
2019-11-01 00:14:59,2.40039745875e-08,2.62124329192e-08,1.93019890765e-08,2.16000882277e-08
2019-11-01 00:29:59,2.68876508666e-08,2.96587841547e-08,2.09609708659e-08,2.42671054702e-08
2019-11-01 00:44:59,4.13596055737e-08,4.83513892165e-08,2.99645986762e-08,3.45396719513e-08
2019-11-01 00:59:59,3.60597029003e-08,4.32830131636e-08,2.64917163819e-08,2.94882868366e-08
2019-11-01 01:14:59,2.71466868561e-08,3.26615555595e-08,2.25179575475e-08,2.45366961486e-08
2019-11-01 01:29:59,2.98420370807e-08,3.60107051701e-08,2.30968379648e-08,2.64355952256e-08
2019-11-01 01:44:59,2.42100239972e-08,2.79404062276e-08,1.76173083762e-08,2.19971731874e-08
2019-11-01 01:59:59,2.12049700797e-08,2.17882381831e-08,1.58907113449e-08,2.0827355554e-08
2019-11-01 02:14:59,2.18201835965e-08,2.24228401218e-08,1.77895740236e-08,2.15175373011e-08
2019-11-01 02:29:59,1.98803274315e-08,2.13310857611e-08,1.72602706048e-08,1.92516566108e-08
2019-11-01 02:44:59,2.40911519988e-08,2.893337455e-08,1.91802262025e-08,2.14178794253e-08
2019-11-01 02:59:59,1.91774430677e-08,2.20268510042e-08,1.49100807157e-08,1.78507368071e-08
2019-11-01 03:14:59,1.20750040727e-08,1.28657439153e-08,9.10027290061e-09,1.18529181832e-08
2019-11-01 03:29:59,1.26353782743e-08,1.33720434617e-08,9.85758775605e-09,1.2471568805e-08
2019-11-01 03:44:59,1.73623044432e-08,1.91030419208e-08,1.35822551532e-08,1.66889649208e-08
2019-11-01 03:59:59,1.43248661608e-08,1.67224894548e-08,1.12051692696e-08,1.32993227794e-08
2019-11-01 04:14:59,9.15934744339e-09,1.05094393643e-08,7.35802844584e-09,8.86651398648e-09
2019-11-01 04:29:59,7.12895902253e-09,8.42598259111e-09,5.82614865804e-09,7.03990413108e-09
2019-11-01 04:44:59,7.04723764186e-09,8.34791475367e-09,5.72058812997e-09,6.93377398915e-09
2019-11-01 04:59:59,6.81408413568e-09,8.14880037508e-09,5.52034287748e-09,6.68834630979e-09
2019-11-01 05:14:59,5.96825832015e-09,7.38717902692e-09,4.87909681884e-09,5.85556127616e-09
2019-11-01 05:29:59,5.56333887519e-09,7.15886486114e-09,4.4777583414e-09,5.44371890208e-09
2019-11-01 05:44:59,1.03331965858e-08,1.32271733563e-08,7.41955732939e-09,8.14320965821e-09
2019-11-01 05:59:59,1.2160980068e-08,1.71099981361e-08,9.22198198775e-09,9.86721442138e-09
2019-11-01 06:14:59,6.25823810995e-09,8.97160639376e-09,5.06950411591e-09,5.76259525436e-09
2019-11-01 06:29:59,6.53282865814e-09,9.54057848085e-09,4.69720988132e-09,5.33476087584e-09
2019-11-01 06:44:59,5.50812798843e-09,7.97581147899e-09,4.15792921106e-09,4.8152163388e-09
2019-11-01 06:59:59,4.24876435872e-09,6.21529747227e-09,3.50793572036e-09,4.14220375253e-09
2019-11-01 07:14:59,4.26953446536e-09,6.14571994703e-09,3.51969345329e-09,4.15080594179e-09
2019-11-01 07:29:59,4.00968326688e-09,5.96456357e-09,3.24242085769e-09,3.87880808934e-09
2019-11-01 07:44:59,3.61948914324e-09,5.72023768673e-09,2.90980927367e-09,3.49392655381e-09
2019-11-01 07:59:59,3.46424881495e-09,5.66727419913e-09,2.77320436378e-09,3.35158805472e-09
2019-11-01 08:14:59,3.41712316639e-09,5.60075600378e-09,2.79789120753e-09,3.30419994145e-09
2019-11-01 08:29:59,3.21068457621e-09,5.4413072244e-09,2.62889270848e-09,3.09024406999e-09
2019-11-01 08:44:59,2.76328878543e-09,5.26154179503e-09,2.23668796821e-09,2.62969207721e-09
2019-11-01 08:59:59,2.46643967545e-09,5.15492530341e-09,1.99352496846e-09,2.32078588116e-09
2019-11-01 09:14:59,2.48917451332e-09,5.17251326621e-09,2.02810873141e-09,2.35025640564e-09
2019-11-01 09:29:59,2.69105598965e-09,5.33622127197e-09,2.248758275e-09,2.5628045921e-09
2019-11-01 09:44:59,2.46868542134e-09,5.36059183716e-09,2.05724532188e-09,2.32234785613e-09
2019-11-01 09:59:59,2.18572726626e-09,5.27083045617e-09,1.72611269821e-09,2.01564326753e-09
2019-11-01 10:14:59,2.14308475694e-09,5.17654575397e-09,1.69708135436e-09,1.97873032258e-09
2019-11-01 10:29:59,2.26350877885e-09,5.30515724734e-09,1.83589198787e-09,2.11276832773e-09
2019-11-01 10:44:59,2.19861475935e-09,5.37982797179e-09,1.79891687978e-09,2.04321203961e-09
2019-11-01 10:59:59,1.98138902639e-09,5.1123942523e-09,1.54564808339e-09,1.80413414022e-09
2019-11-01 11:14:59,2.27217842752e-09,5.26398929009e-09,1.83504402172e-09,2.09782195086e-09
2019-11-01 11:29:59,2.20893303558e-09,5.23629852436e-09,1.70741691358e-09,2.03648414722e-09
2019-11-01 11:44:59,1.81300498812e-09,4.95506067561e-09,1.32240757242e-09,1.60806467379e-09
2019-11-01 11:59:59,2.13610577013e-09,5.07997440455e-09,1.72621426209e-09,1.96638336778e-09
2019-11-01 12:14:59,1.64822305562e-09,4.82241405066e-09,1.24048117761e-09,1.42556340493e-09
2019-11-01 12:29:59,1.50001860341e-09,4.50408880483e-09,1.07923813265e-09,1.25619885562e-09
2019-11-01 12:44:59,1.66931676006e-09,4.71465684483e-09,1.2468923445e-09,1.44664130333e-09
2019-11-01 12:59:59,1.51732592291e-09,4.53455843968e-09,1.12046861712e-09,1.2703183859e-09
2019-11-01 13:14:59,1.56189142153e-09,4.66653657205e-09,1.15319991759e-09,1.31809774977e-09
2019-11-01 13:29:59,1.30928239917e-09,4.57920641229e-09,8.73483850782e-10,9.94910919866e-10
2019-11-01 13:44:59,1.12928155275e-09,4.46183734738e-09,6.54668606874e-10,7.41039100577e-10
2019-11-01 13:59:59,1.09179029779e-09,4.41227253007e-09,6.58944593351e-10,7.36997308169e-10
2019-11-01 14:14:59,1.2239277569e-09,4.5518147283e-09,8.38842409635e-10,9.25937405814e-10
2019-11-01 14:29:59,1.14267483711e-09,4.48351270979e-09,6.9666180615e-10,7.83513396449e-10
2019-11-01 14:44:59,1.40171295536e-09,4.52723072597e-09,1.02265186575e-09,1.10985083524e-09
2019-11-01 14:59:59,1.37824935978e-09,4.5906210129e-09,9.72164735565e-10,1.07522481706e-09
2019-11-01 15:14:59,1.20274605594e-09,4.45754722461e-09,7.4179585194e-10,8.4115533148e-10
2019-11-01 15:29:59,1.12578866577e-09,4.51281029737e-09,6.56679511875e-10,7.35792053078e-10
2019-11-01 15:44:59,1.20763343038e-09,4.61413336772e-09,7.66830147365e-10,8.38884074394e-10
2019-11-01 15:59:59,1.39807966562e-09,4.68320664958e-09,9.90603256291e-10,1.0997410004e-09
2019-11-01 16:14:59,1.31798449865e-09,4.45486770304e-09,8.61714383898e-10,9.60534532432e-10
2019-11-01 16:29:59,1.63324290747e-09,4.66472186315e-09,1.09199412552e-09,1.37679383906e-09
2019-11-01 16:44:59,1.95071341073e-09,4.83573187091e-09,1.35930338472e-09,1.72831918883e-09
2019-11-01 16:59:59,2.40079021055e-09,4.94306205484e-09,1.89151962928e-09,2.22036815399e-09
2019-11-01 17:14:59,1.93642122306e-09,4.8320583e-09,1.50477808844e-09,1.7031770572e-09
2019-11-01 17:29:59,1.52988438755e-09,4.67561225915e-09,1.101731056e-09,1.21752164326e-09
2019-11-01 17:44:59,1.77825490749e-09,4.80406211305e-09,1.36291562783e-09,1.5004220979e-09
2019-11-01 17:59:59,1.80915064265e-09,4.8262758123e-09,1.33011186709e-09,1.51229103681e-09
2019-11-01 18:14:59,1.7638155924e-09,4.95514833009e-09,1.27623230293e-09,1.45121527208e-09
2019-11-01 18:29:59,1.96625472574e-09,5.00895482523e-09,1.51724130944e-09,1.69525058987e-09
2019-11-01 18:44:59,2.03036361137e-09,5.01541427242e-09,1.5221428271e-09,1.77077685318e-09
2019-11-01 18:59:59,2.32587586894e-09,5.07520487154e-09,1.81037221542e-09,2.11142947364e-09
2019-11-01 19:14:59,2.4772449585e-09,5.1189717105e-09,1.9905098016e-09,2.2750398331e-09
2019-11-01 19:29:59,2.96816192979e-09,5.57976404613e-09,2.47519984574e-09,2.79851862464e-09
2019-11-01 19:44:59,3.37966612942e-09,5.75673544073e-09,2.83929719997e-09,3.21408444143e-09
2019-11-01 19:59:59,2.94840022338e-09,5.41848436425e-09,2.37708925038e-09,2.73622792048e-09
2019-11-01 20:14:59,2.75260526902e-09,5.25672812231e-09,2.21287732803e-09,2.54959239847e-09
2019-11-01 20:29:59,2.87467364106e-09,5.15301451932e-09,2.273941129e-09,2.68478546758e-09
2019-11-01 20:44:59,2.99847456664e-09,5.18829363314e-09,2.37065010486e-09,2.80699024552e-09
2019-11-01 20:59:59,3.60743118391e-09,5.56568666438e-09,2.97161394391e-09,3.43465179899e-09
2019-11-01 21:14:59,4.02839240081e-09,5.90055029743e-09,3.34155044013e-09,3.87296409448e-09
2019-11-01 21:29:59,4.19921142995e-09,6.02402777433e-09,3.48257763109e-09,4.05695789645e-09
2019-11-01 21:44:59,4.38525297918e-09,6.07016335359e-09,3.62893458095e-09,4.2447732093e-09
2019-11-01 21:59:59,4.34514989137e-09,6.15466544158e-09,3.55896130383e-09,4.19946799499e-09
2019-11-01 22:14:59,4.50687301832e-09,6.14683926862e-09,3.67902114268e-09,4.36537447107e-09
2019-11-01 22:29:59,4.69633610033e-09,6.36548504e-09,3.80242142324e-09,4.55522795193e-09
2019-11-01 22:44:59,4.71771705816e-09,6.39219177055e-09,3.86775855185e-09,4.57759730226e-09
2019-11-01 22:59:59,5.32560097377e-09,8.44859826644e-09,4.12404069824e-09,4.88405353856e-09
2019-11-01 23:14:59,5.34328881342e-09,8.488919377e-09,4.14340396079e-09,4.90031311819e-09
2019-11-01 23:29:59,5.4700830821e-09,6.87755111271e-09,4.53352802555e-09,5.34055028836e-09
2019-11-01 23:44:59,5.86435908726e-09,7.16166112016e-09,4.87873692403e-09,5.73646275776e-09
2019-11-01 23:59:59,5.77617992624e-09,7.02389672328e-09,4.69600525579e-09,5.65589707818e-09
2019-11-02 00:14:59,6.67777682486e-09,7.80133505285e-09,5.3716827215e-09,6.5618658657e-09
2019-11-02 00:29:59,6.13358116225e-09,7.27237809841e-09,4.93950044743e-09,6.00937129499e-09
2019-11-02 00:44:59,5.61360277912e-09,6.91332161637e-09,4.49068067171e-09,5.47801322749e-09
2019-11-02 00:59:59,5.3150175763e-09,6.82924535739e-09,4.3367804812e-09,5.17865970254e-09
2019-11-02 01:14:59,5.23228322449e-09,6.77255698559e-09,4.3037740012e-09,5.08188370154e-09
2019-11-02 01:29:59,5.02942316045e-09,6.67009939757e-09,4.06330273077e-09,4.85288832874e-09
2019-11-02 01:44:59,5.08418021865e-09,6.78069458543e-09,4.10265517998e-09,4.90556537638e-09
2019-11-02 01:59:59,5.03864282149e-09,6.70864017117e-09,4.08032565614e-09,4.87946326285e-09
2019-11-02 02:14:59,4.77761312297e-09,6.50943949011e-09,3.88551242958e-09,4.62244355009e-09
2019-11-02 02:29:59,4.84452408035e-09,6.58002527464e-09,3.96439050083e-09,4.68547709366e-09
2019-11-02 02:44:59,4.89228327735e-09,6.58318510706e-09,3.99208790618e-09,4.74122138465e-09
2019-11-02 02:59:59,4.60416572724e-09,6.52447203013e-09,3.73181699886e-09,4.44084385143e-09
