,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,1.67770981604e-07,1.61523461718e-08,8.89971400273e-09,9.54517027087e-09
2019-10-31 23:44:59,1.75808045228e-07,1.49024339515e-08,8.04729415177e-09,8.65388857655e-09
2019-10-31 23:59:59,1.86213892854e-07,1.59605414818e-08,9.4131765026e-09,1.01508986954e-08
2019-11-01 00:14:59,1.93321267491e-07,1.58327392358e-08,9.5333809411e-09,1.02379339234e-08
2019-11-01 00:29:59,1.80923468161e-07,1.30465719758e-08,6.58611755868e-09,7.08398398022e-09
2019-11-01 00:44:59,1.71637580028e-07,1.18018686819e-08,6.06994683436e-09,6.53434546751e-09
2019-11-01 00:59:59,1.88039290788e-07,1.03660547115e-08,5.13580657426e-09,5.48806752992e-09
2019-11-01 01:14:59,1.94416871117e-07,1.00190943352e-08,5.11633530876e-09,5.41594460317e-09
2019-11-01 01:29:59,1.76607042709e-07,1.06846088053e-08,5.35604675159e-09,5.75238883234e-09
2019-11-01 01:44:59,1.60816700036e-07,1.02525171957e-08,5.0416143904e-09,5.42800506741e-09
2019-11-01 01:59:59,1.6646829269e-07,9.85180118868e-09,5.38616872169e-09,5.74687365419e-09
2019-11-01 02:14:59,1.78121456245e-07,9.41002868006e-09,4.89296354109e-09,5.18256133244e-09
2019-11-01 02:29:59,1.63540650448e-07,9.08716849148e-09,4.05829076893e-09,4.23222357662e-09
2019-11-01 02:44:59,1.5507580261e-07,7.91803525962e-09,3.59309378654e-09,3.78119126353e-09
2019-11-01 02:59:59,1.52737127363e-07,7.68259034627e-09,3.89487654394e-09,4.16946473876e-09
2019-11-01 03:14:59,1.45702303891e-07,7.90861732959e-09,4.22314098201e-09,4.50281520153e-09
2019-11-01 03:29:59,1.4197202154e-07,6.8667931974e-09,3.56921230255e-09,3.88983835809e-09
2019-11-01 03:44:59,1.45545487211e-07,6.41014813978e-09,3.72590525262e-09,4.08232480966e-09
2019-11-01 03:59:59,1.42941425121e-07,7.48736530906e-09,5.27764748199e-09,5.7273637382e-09
2019-11-01 04:14:59,1.3339308583e-07,6.63309446818e-09,3.85520042264e-09,4.14948695796e-09
2019-11-01 04:29:59,1.26471563549e-07,6.48156808107e-09,3.27313051035e-09,3.56358929944e-09
2019-11-01 04:44:59,1.3035333352e-07,6.06469220248e-09,3.0964312968e-09,3.49255357108e-09
2019-11-01 04:59:59,1.32210371063e-07,4.88935206572e-09,2.53729760198e-09,2.83912578472e-09
2019-11-01 05:14:59,1.32750259784e-07,5.32408787268e-09,2.60273259841e-09,2.82715640047e-09
2019-11-01 05:29:59,1.35407265957e-07,8.8288809104e-09,4.37224541181e-09,4.85987673764e-09
2019-11-01 05:44:59,1.35054689728e-07,8.72972876417e-09,4.16307479437e-09,4.61140228205e-09
2019-11-01 05:59:59,1.40636915848e-07,6.69133982279e-09,3.02945846843e-09,3.29621752636e-09
2019-11-01 06:14:59,1.34380890843e-07,7.50258426763e-09,3.47467037594e-09,3.72958844712e-09
2019-11-01 06:29:59,1.35188340531e-07,6.54840026693e-09,3.54158602248e-09,3.88625569687e-09
2019-11-01 06:44:59,1.30545126721e-07,5.53086993671e-09,2.63460674891e-09,2.95239495976e-09
2019-11-01 06:59:59,1.40175833632e-07,5.79504959864e-09,2.88156535047e-09,3.27661503959e-09
2019-11-01 07:14:59,1.41257696065e-07,5.54007633573e-09,2.73756027648e-09,3.13681365288e-09
2019-11-01 07:29:59,1.43727048583e-07,4.99438361572e-09,2.67959138545e-09,3.09661033101e-09
2019-11-01 07:44:59,1.42923962823e-07,5.36967307063e-09,2.7439768699e-09,3.12033948022e-09
2019-11-01 07:59:59,1.42495521802e-07,6.02806549938e-09,3.00214116859e-09,3.33261138048e-09
2019-11-01 08:14:59,1.47954079824e-07,6.20753396859e-09,3.40081041382e-09,3.72942652667e-09
2019-11-01 08:29:59,1.46403562449e-07,6.79827198942e-09,3.91603813235e-09,4.22415771057e-09
2019-11-01 08:44:59,1.47873908319e-07,6.6509205014e-09,3.35289425478e-09,3.67895253119e-09
2019-11-01 08:59:59,1.46894349958e-07,6.3186624291e-09,3.00200244063e-09,3.34873119822e-09
2019-11-01 09:14:59,1.5171368837e-07,6.60640425097e-09,3.03203020014e-09,3.36979534275e-09
2019-11-01 09:29:59,1.54029490271e-07,8.04981436e-09,3.60733432049e-09,3.97815405413e-09
2019-11-01 09:44:59,1.5693571944e-07,9.20477132905e-09,4.06707758407e-09,4.43262116965e-09
2019-11-01 09:59:59,1.58477327421e-07,1.04985810313e-08,4.43087780249e-09,4.78678930871e-09
2019-11-01 10:14:59,1.73210678948e-07,1.09721629965e-08,4.61470749145e-09,4.99408982394e-09
2019-11-01 10:29:59,1.8666295653e-07,1.32349260628e-08,5.68666655659e-09,6.07800237808e-09
2019-11-01 10:44:59,1.87744749778e-07,1.36869753438e-08,5.92532238527e-09,6.32991060944e-09
2019-11-01 10:59:59,1.7206511108e-07,1.53790726782e-08,7.42448485658e-09,7.78468535662e-09
2019-11-01 11:14:59,1.77537372035e-07,1.93695255753e-08,1.09736203082e-08,1.13722462226e-08
2019-11-01 11:29:59,1.83057453418e-07,2.03467180569e-08,1.11979571439e-08,1.16326845694e-08
2019-11-01 11:44:59,1.81230781236e-07,1.67109584478e-08,7.79636748974e-09,8.39947361811e-09
2019-11-01 11:59:59,1.85443330429e-07,1.66740211665e-08,7.55382484659e-09,8.15924808769e-09
2019-11-01 12:14:59,2.06052122939e-07,6.18627958974e-08,1.14594109455e-08,1.17529305324e-08
2019-11-01 12:29:59,1.97843834113e-07,7.08609935731e-08,1.22440241327e-08,1.24759540256e-08
2019-11-01 12:44:59,1.83909823329e-07,1.76107022602e-08,7.4567123238e-09,7.87076315077e-09
2019-11-01 12:59:59,1.81630287761e-07,1.71728136744e-08,7.52657346557e-09,7.93357295348e-09
2019-11-01 13:14:59,1.83619044293e-07,1.76034617122e-08,8.60551380728e-09,9.03542230282e-09
2019-11-01 13:29:59,1.78628584124e-07,1.66130402808e-08,7.85713161951e-09,8.26649484345e-09
2019-11-01 13:44:59,1.69144001923e-07,1.69590069813e-08,7.15332758814e-09,7.54185459086e-09
2019-11-01 13:59:59,1.64257940131e-07,1.76433230469e-08,7.37071450765e-09,7.78448376837e-09
2019-11-01 14:14:59,1.59661589985e-07,1.80638348022e-08,8.95249258831e-09,9.4505775202e-09
2019-11-01 14:29:59,1.64922106199e-07,1.75149774964e-08,8.12752986802e-09,8.61879076233e-09
2019-11-01 14:44:59,1.56035364606e-07,1.87539867725e-08,8.41172481505e-09,8.79212679647e-09
2019-11-01 14:59:59,2.66288549118e-06,7.83903599555e-07,2.4474787389e-08,2.4619350625e-08
2019-11-01 15:14:59,3.75339656518e-06,9.54487998176e-07,2.82383800365e-08,2.83752976356e-08
2019-11-01 15:29:59,7.12138361112e-07,2.2083977583e-08,1.13261571539e-08,1.18368138926e-08
2019-11-01 15:44:59,2.32633480058e-07,2.19244110432e-08,1.00771341243e-08,1.0651864173e-08
2019-11-01 15:59:59,1.58311080724e-07,1.70838586678e-08,7.23964806161e-09,7.75601992045e-09
2019-11-01 16:14:59,1.31402005194e-07,1.65531952581e-08,6.8728288583e-09,7.29740891661e-09
2019-11-01 16:29:59,1.25061674219e-07,1.64651253615e-08,7.1157811922e-09,7.55446777374e-09
2019-11-01 16:44:59,1.24407880312e-07,1.69677827733e-08,7.41102615262e-09,7.81439020656e-09
2019-11-01 16:59:59,1.18679731963e-07,1.75006799673e-08,8.50417879098e-09,8.95368158778e-09
2019-11-01 17:14:59,1.17864331867e-07,1.92503986654e-08,1.1415833085e-08,1.2054782142e-08
2019-11-01 17:29:59,1.16925783374e-07,2.43325420788e-08,1.50911107494e-08,1.57467699198e-08
2019-11-01 17:44:59,1.18825755126e-07,1.96496122339e-08,1.04150945692e-08,1.08608344574e-08
2019-11-01 17:59:59,1.19882037553e-07,1.87277160841e-08,9.91976540736e-09,1.06044049433e-08
2019-11-01 18:14:59,1.14817345222e-07,1.8576588472e-08,9.60212391608e-09,1.0367474578e-08
2019-11-01 18:29:59,1.16945135908e-07,1.64379994402e-08,7.21028527182e-09,7.63857785222e-09
2019-11-01 18:44:59,1.19942242257e-07,1.70791454869e-08,7.23121849709e-09,7.60820895645e-09
2019-11-01 18:59:59,1.12405890826e-07,1.59689762529e-08,7.99073795228e-09,8.51109143306e-09
