,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000999,1.26015299485e-05,3.23343033437e-08,2.12550552309e-08,2.79081543119e-08
2019-10-31 23:44:59.000999,9.26912576918e-06,3.91406748394e-08,2.62875611981e-08,3.584661391e-08
2019-10-31 23:59:59.000999,2.10930573759e-06,4.0785078139e-08,2.70066343933e-08,3.74911327176e-08
2019-11-01 00:14:59.000999,2.18864903733e-06,3.12124284244e-08,2.09212056695e-08,2.78627352798e-08
2019-11-01 00:29:59.000999,2.04517192439e-06,3.00361433351e-08,1.99267621826e-08,2.7046134039e-08
2019-11-01 00:44:59.000999,4.25461325441e-06,3.70947941494e-08,2.48802387084e-08,3.43502614238e-08
2019-11-01 00:59:59.000999,5.9156598537e-06,3.96010283589e-08,2.79767195961e-08,3.61368814067e-08
2019-11-01 01:14:59.000999,5.14454130959e-06,3.60399460779e-08,2.46437634729e-08,3.28529298638e-08
2019-11-01 01:29:59.000999,1.88207282756e-06,3.02854044704e-08,1.98983336614e-08,2.76330432684e-08
2019-11-01 01:44:59.000999,6.4059184816e-07,3.00155601534e-08,2.14442744701e-08,2.72125643164e-08
2019-11-01 01:59:59.000999,8.09274471064e-07,2.91535366285e-08,1.97974793367e-08,2.6484171947e-08
2019-11-01 02:14:59.000999,2.04000090152e-06,2.59151642353e-08,1.66011149016e-08,2.28612459072e-08
2019-11-01 02:29:59.000999,1.59097289655e-06,2.18756731283e-08,1.35934857967e-08,1.86711856547e-08
2019-11-01 02:44:59.000999,4.84263924574e-07,2.18569073289e-08,1.48732773322e-08,1.97750253058e-08
2019-11-01 02:59:59.000999,4.68201688703e-07,2.43779363186e-08,1.70599181837e-08,2.21971107802e-08
2019-11-01 03:14:59.000999,4.93654396676e-07,2.39149476717e-08,1.71934518094e-08,2.17332434759e-08
2019-11-01 03:29:59.000999,4.87891512365e-07,2.22548871852e-08,1.52344476499e-08,2.05628817305e-08
2019-11-01 03:44:59.000999,4.77189262203e-07,2.20701689214e-08,1.51176208076e-08,2.04527984925e-08
2019-11-01 03:59:59.000999,4.53466156035e-07,1.66533767339e-08,1.14479443552e-08,1.44196655858e-08
2019-11-01 04:14:59.000999,4.44319910182e-07,1.61731358229e-08,1.02536564599e-08,1.38477538782e-08
2019-11-01 04:29:59.000999,4.45772641561e-07,2.03836326994e-08,1.37770839299e-08,1.87481560686e-08
2019-11-01 04:44:59.000999,4.6451463408e-07,2.03709217224e-08,1.49807940744e-08,1.87119972684e-08
2019-11-01 04:59:59.000999,4.31405481835e-07,1.57412754867e-08,1.22158116284e-08,1.40623276691e-08
2019-11-01 05:14:59.000999,4.52382938232e-07,1.19171787702e-08,8.13372760755e-09,1.02128066953e-08
2019-11-01 05:29:59.000999,4.97990273916e-07,1.01061754394e-08,6.12968984106e-09,8.05299232696e-09
2019-11-01 05:44:59.000999,4.83882015542e-07,9.43572929672e-09,5.14635459094e-09,6.41432699639e-09
2019-11-01 05:59:59.000999,4.49342135472e-07,9.43146871924e-09,5.40456586972e-09,6.96535841952e-09
2019-11-01 06:14:59.000999,4.69722713069e-07,8.6293686628e-09,4.87864310562e-09,6.52729882592e-09
2019-11-01 06:29:59.000999,5.21575044278e-07,8.74909760118e-09,4.78742081551e-09,6.53409444406e-09
2019-11-01 06:44:59.000999,4.95368311665e-07,8.2476225966e-09,4.56388709556e-09,5.51829995198e-09
2019-11-01 06:59:59.000999,4.69882603285e-07,7.45319322312e-09,3.97478091682e-09,4.94084197845e-09
2019-11-01 07:14:59.000999,4.48185450583e-07,8.86412831308e-09,4.95222193222e-09,6.38374267804e-09
2019-11-01 07:29:59.000999,4.33746663591e-07,8.38793587872e-09,4.33509446251e-09,5.8247575154e-09
2019-11-01 07:44:59.000999,4.12088573464e-07,9.55797695481e-09,5.52277313593e-09,7.80677871437e-09
2019-11-01 07:59:59.000999,4.70207067838e-07,9.80775768186e-09,5.46103251069e-09,7.96742817434e-09
2019-11-01 08:14:59.000999,4.66523333753e-07,1.0049701441e-08,5.59524118942e-09,8.3200416558e-09
2019-11-01 08:29:59.000999,4.86222601721e-07,1.40945017059e-08,6.89580410672e-09,1.29668658049e-08
2019-11-01 08:44:59.000999,5.0991264385e-07,1.52181447077e-08,8.40997369426e-09,1.40533594638e-08
2019-11-01 08:59:59.000999,4.47618392e-07,9.68423807293e-09,5.50605793032e-09,6.90408119207e-09
2019-11-01 09:14:59.000999,4.42457587452e-07,1.20870698863e-08,7.10056034829e-09,9.93405128134e-09
2019-11-01 09:29:59.000999,4.37628327728e-07,1.19698839766e-08,6.93664699652e-09,9.49154471502e-09
2019-11-01 09:44:59.000999,4.78873143276e-07,1.01989130085e-08,5.36387723195e-09,6.13372848201e-09
2019-11-01 09:59:59.000999,4.60700100047e-07,1.35054561804e-08,8.07931448783e-09,9.5569775434e-09
2019-11-01 10:14:59.000999,4.26478169819e-07,1.94176252151e-08,1.34803476844e-08,1.4390404829e-08
2019-11-01 10:29:59.000999,4.67398527362e-07,2.04947781756e-08,1.43189538528e-08,1.51677922307e-08
2019-11-01 10:44:59.000999,4.6837770528e-07,2.02826085229e-08,1.26328608641e-08,1.54419899197e-08
2019-11-01 10:59:59.000999,4.69749329494e-07,2.57008239653e-08,1.59401490911e-08,2.04080604773e-08
2019-11-01 11:14:59.000999,4.88722710328e-07,2.84869036229e-08,1.69247493085e-08,2.17758313316e-08
2019-11-01 11:29:59.000999,1.46359039174e-06,2.4977886142e-08,1.44194128105e-08,1.87533815023e-08
2019-11-01 11:44:59.000999,1.37107331883e-06,2.86612729007e-08,1.67337676683e-08,2.39083423239e-08
