,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.997000,4.58861172051e-07,3.71650530968e-08,3.22718719128e-08,3.3585957707e-08
2019-10-31 23:44:58.997000,4.54548904998e-07,4.635891282e-08,3.8831619251e-08,4.03347378368e-08
2019-10-31 23:59:58.997000,4.95601808751e-07,4.61298108655e-08,3.82466114175e-08,3.94036184176e-08
2019-11-01 00:14:58.997000,4.78701909746e-07,4.01410007688e-08,3.45288219936e-08,3.59069883317e-08
2019-11-01 00:29:58.997000,4.81661029521e-07,4.42576963232e-08,3.86719553998e-08,4.03546746798e-08
2019-11-01 00:44:58.997000,5.0504216792e-07,5.12408893511e-08,4.61703008794e-08,4.78583316421e-08
2019-11-01 00:59:58.997000,4.3024532603e-07,4.49646747723e-08,3.60197275713e-08,3.76104146241e-08
2019-11-01 01:14:58.997000,4.5192956555e-07,4.71559453879e-08,3.83575612781e-08,4.00472819068e-08
2019-11-01 01:29:58.997000,4.88814810982e-07,4.34049627659e-08,3.76039370702e-08,3.954853604e-08
2019-11-01 01:44:58.997000,4.76418728162e-07,5.17374306609e-08,4.04999894808e-08,4.26448895427e-08
2019-11-01 01:59:58.997000,4.60507080457e-07,5.40954786453e-08,4.1972188732e-08,4.3761295133e-08
2019-11-01 02:14:58.997000,4.58174415477e-07,4.91377177448e-08,4.27247760687e-08,4.46158350981e-08
2019-11-01 02:29:58.997000,4.76225710685e-07,4.75697589057e-08,3.84626494115e-08,4.06254468491e-08
2019-11-01 02:44:58.997000,4.51181988128e-07,4.72765332657e-08,3.62792770083e-08,3.76934173104e-08
2019-11-01 02:59:58.997000,4.50057380601e-07,3.95496784064e-08,3.37745963402e-08,3.52023607248e-08
2019-11-01 03:14:58.997000,4.88102481513e-07,3.91996097376e-08,3.5283895379e-08,3.69268513622e-08
2019-11-01 03:29:58.997000,4.81151581722e-07,3.91529847282e-08,3.56034041918e-08,3.75817935528e-08
2019-11-01 03:44:58.997000,4.77970100605e-07,4.19364381044e-08,3.51264601128e-08,3.68231365142e-08
2019-11-01 03:59:58.997000,4.29067316593e-07,4.3609070782e-08,3.60301139128e-08,3.78514063646e-08
2019-11-01 04:14:58.997000,4.14972965587e-07,3.52466132737e-08,3.18166029086e-08,3.36804445862e-08
2019-11-01 04:29:58.997000,4.31204207109e-07,3.80649353803e-08,3.44509592818e-08,3.65486177977e-08
2019-11-01 04:44:58.997000,4.56071996381e-07,3.59077132066e-08,3.22909936582e-08,3.43741653161e-08
2019-11-01 04:59:58.997000,4.76651961802e-07,3.44832648127e-08,3.17245248958e-08,3.30482959406e-08
2019-11-01 05:14:58.997000,4.78278149243e-07,3.52467818247e-08,3.10412488303e-08,3.23711830614e-08
2019-11-01 05:29:58.997000,4.63367436193e-07,4.0352701571e-08,3.65397340438e-08,3.78110733451e-08
2019-11-01 05:44:58.997000,4.70175639531e-07,3.64663907257e-08,3.47991919593e-08,3.58830402176e-08
2019-11-01 05:59:58.997000,4.70387645756e-07,1.97153403711e-08,1.76066334887e-08,1.87533772208e-08
2019-11-01 06:14:58.997000,4.73880028503e-07,1.90892723923e-08,1.70834210316e-08,1.81302512967e-08
2019-11-01 06:29:58.997000,4.68384896826e-07,1.75314842396e-08,1.55816175764e-08,1.65923074575e-08
2019-11-01 06:44:58.997000,4.6540707138e-07,1.55431757412e-08,1.35122755398e-08,1.44819882816e-08
2019-11-01 06:59:58.997000,4.48918918939e-07,1.81822133039e-08,1.63287292531e-08,1.7197273159e-08
2019-11-01 07:14:58.997000,4.36956018106e-07,2.25447256178e-08,1.85677228629e-08,1.93653483094e-08
2019-11-01 07:29:58.997000,4.07157963395e-07,1.98447489019e-08,1.55890821579e-08,1.62912281719e-08
2019-11-01 07:44:58.997000,4.58162341699e-07,1.16904932388e-08,9.68211927317e-09,1.03099103767e-08
2019-11-01 07:59:58.997000,4.49914954825e-07,1.74946614183e-08,1.30138580523e-08,1.35701502206e-08
2019-11-01 08:14:58.997000,4.12515595768e-07,1.63470314505e-08,1.24491803694e-08,1.3007306649e-08
