,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:58.998999,1.00331968826e-06,2.592884772e-07,2.29787308988e-07,2.36795583256e-07
2019-10-31 23:44:58.998999,1.05753747393e-06,2.76380308223e-07,2.47571442153e-07,2.53738919511e-07
2019-10-31 23:59:58.998999,1.20678891343e-06,2.56991728617e-07,2.28077788114e-07,2.32859217374e-07
2019-11-01 00:14:58.998999,1.15014505876e-06,2.39732022829e-07,2.12746096425e-07,2.1747119018e-07
2019-11-01 00:29:58.998999,1.08627735689e-06,2.26376492508e-07,1.98135918281e-07,2.02347804444e-07
2019-11-01 00:44:58.998999,1.48456600027e-06,2.59553410739e-07,2.3437694529e-07,2.38722825441e-07
2019-11-01 00:59:58.998999,1.40487978301e-06,2.76978361982e-07,2.53272784704e-07,2.59346635755e-07
2019-11-01 01:14:58.998999,1.18482411881e-06,2.5646177029e-07,2.328193704e-07,2.39639452132e-07
2019-11-01 01:29:58.998999,1.09890117212e-06,2.35497007961e-07,2.14929653764e-07,2.22028350532e-07
2019-11-01 01:44:58.998999,1.14349490689e-06,2.6368241608e-07,2.3888631258e-07,2.46887376757e-07
2019-11-01 01:59:58.998999,1.11926324564e-06,2.52340745713e-07,2.24046341033e-07,2.31891489106e-07
2019-11-01 02:14:58.998999,1.09419806633e-06,2.08078806958e-07,1.88680679417e-07,1.94971234214e-07
2019-11-01 02:29:58.998999,1.89503471859e-06,2.34196243315e-07,2.08999731318e-07,2.16252984002e-07
2019-11-01 02:44:58.998999,1.53552276641e-06,2.18834583212e-07,1.93634838831e-07,2.01616920132e-07
2019-11-01 02:59:58.998999,1.28112229822e-06,1.90825577747e-07,1.69288730488e-07,1.76974282904e-07
2019-11-01 03:14:58.998999,1.40765524774e-06,2.12484212223e-07,1.91426136464e-07,1.97865997341e-07
2019-11-01 03:29:58.998999,1.55030154143e-06,2.18932443179e-07,2.00057871104e-07,2.06424689275e-07
2019-11-01 03:44:58.998999,1.14013176779e-06,1.97567204722e-07,1.79380799613e-07,1.85205396241e-07
2019-11-01 03:59:58.998999,1.44596151281e-06,1.62660893603e-07,1.4571537626e-07,1.51575063464e-07
2019-11-01 04:14:58.998999,2.17271527258e-06,1.48070977613e-07,1.31518302695e-07,1.38158330571e-07
2019-11-01 04:29:58.998999,2.16133368022e-06,1.40311052453e-07,1.24309428255e-07,1.30325598505e-07
2019-11-01 04:44:58.998999,1.80734976884e-06,1.07401348342e-07,9.34002015159e-08,9.94659838429e-08
2019-11-01 04:59:58.998999,1.13340266358e-06,1.25856609851e-07,1.15183035558e-07,1.19764273149e-07
2019-11-01 05:14:58.998999,1.09925962319e-06,1.03668102567e-07,9.17975456396e-08,9.70311801492e-08
2019-11-01 05:29:58.998999,1.3125019236e-06,9.40068275312e-08,8.32238125272e-08,8.75725198864e-08
2019-11-01 05:44:58.998999,1.28003762412e-06,7.86507417397e-08,6.89235450381e-08,7.26954554474e-08
2019-11-01 05:59:58.998999,1.00732516287e-06,7.79238590148e-08,6.7874067348e-08,7.28502986037e-08
2019-11-01 06:14:58.998999,1.47904951953e-06,9.58819365231e-08,8.13498130517e-08,8.6118813943e-08
2019-11-01 06:29:58.998999,1.79835868357e-06,7.03439347108e-08,5.87880195011e-08,6.21894369353e-08
2019-11-01 06:44:58.998999,1.67538738478e-06,5.31635826874e-08,4.47350913434e-08,4.87314403801e-08
2019-11-01 06:59:58.998999,1.67961955738e-06,6.10934442572e-08,5.16091223743e-08,5.57508519133e-08
2019-11-01 07:14:58.998999,1.73266962054e-06,6.11852935869e-08,5.26175710622e-08,5.59577868125e-08
2019-11-01 07:29:58.998999,1.7147856241e-06,5.82994074172e-08,4.93958665831e-08,5.25319637711e-08
2019-11-01 07:44:58.998999,1.72048525629e-06,5.89638976149e-08,4.87397750911e-08,5.19494953596e-08
2019-11-01 07:59:58.998999,1.85743158145e-06,5.91225838595e-08,4.7963609203e-08,5.1743911009e-08
2019-11-01 08:14:58.998999,1.70016928672e-06,6.25891277259e-08,5.07118190667e-08,5.42858197706e-08
2019-11-01 08:29:58.998999,1.77691157849e-06,6.35106506192e-08,5.24739503962e-08,5.53596958041e-08
2019-11-01 08:44:58.998999,1.88394171181e-06,9.97385905828e-08,9.11924748938e-08,9.35897080343e-08
2019-11-01 08:59:58.998999,1.82596856778e-06,1.0729290011e-07,9.91813059835e-08,1.01695771513e-07
2019-11-01 09:14:58.998999,1.77798878162e-06,8.10120938898e-08,7.22296489494e-08,7.48579502229e-08
2019-11-01 09:29:58.998999,1.70984121487e-06,9.00774922934e-08,7.55886958141e-08,7.81596118428e-08
2019-11-01 09:44:58.998999,1.89429960402e-06,7.58776137828e-08,6.15463055791e-08,6.4289643438e-08
2019-11-01 09:59:58.998999,1.87053370333e-06,7.32345481342e-08,5.94734118076e-08,6.24429881964e-08
2019-11-01 10:14:58.998999,1.83140121636e-06,1.38826570529e-07,1.26759912996e-07,1.29529498164e-07
2019-11-01 10:29:58.998999,1.92072917356e-06,2.04882855003e-07,1.89214654716e-07,1.93399307508e-07
2019-11-01 10:44:58.998999,1.9838270415e-06,2.63485206135e-07,2.4068667174e-07,2.47609218447e-07
2019-11-01 10:59:58.998999,1.97957023474e-06,3.12260167266e-07,2.86640700249e-07,2.94131957997e-07
2019-11-01 11:14:58.998999,1.98595734178e-06,3.18012501349e-07,2.82915343186e-07,2.89997360873e-07
2019-11-01 11:29:58.998999,2.14406781602e-06,3.49462846425e-07,3.00470763795e-07,3.08439732712e-07
2019-11-01 11:44:58.998999,2.25685116283e-06,3.4409488783e-07,2.96376892954e-07,3.04513851011e-07
2019-11-01 11:59:58.998999,2.0928712315e-06,3.26909465462e-07,2.9122290976e-07,2.97778370604e-07
2019-11-01 12:14:58.998999,2.09566567366e-06,3.38781207934e-07,2.85445099836e-07,2.9130156111e-07
2019-11-01 12:29:58.998999,1.69764504644e-06,3.54322070786e-07,2.9616486401e-07,3.02285896627e-07
2019-11-01 12:44:58.998999,2.01894384209e-06,2.92720676983e-07,2.58337027228e-07,2.64068809574e-07
2019-11-01 12:59:58.998999,1.90286972122e-06,2.8961876916e-07,2.44627482767e-07,2.48998036236e-07
2019-11-01 13:14:58.998999,1.10461989683e-06,2.67798470801e-07,2.2242715601e-07,2.25940576489e-07
2019-11-01 13:29:58.998999,1.12461877277e-06,2.68040145694e-07,2.3789564059e-07,2.42696165975e-07
2019-11-01 13:44:58.998999,7.91801446958e-07,2.89901307627e-07,2.59666092088e-07,2.66245291933e-07
2019-11-01 13:59:58.998999,9.06850767751e-07,3.07259979842e-07,2.77549787913e-07,2.83840353014e-07
2019-11-01 14:14:58.998999,1.30505226459e-06,2.96242071052e-07,2.61513369821e-07,2.68656809437e-07
2019-11-01 14:29:58.998999,1.16945043215e-06,3.03114401885e-07,2.61348295231e-07,2.68967491257e-07
2019-11-01 14:44:58.998999,9.94513916154e-07,3.199393216e-07,2.54795479627e-07,2.61788423305e-07
2019-11-01 14:59:58.998999,2.53073563235e-06,3.50838339908e-07,2.53046013377e-07,2.57870911126e-07
2019-11-01 15:14:58.998999,3.65156109662e-06,3.64091360766e-07,2.60947544235e-07,2.65067305351e-07
2019-11-01 15:29:58.998999,1.13410251703e-06,3.18316594294e-07,2.76451983441e-07,2.82540424909e-07
2019-11-01 15:44:58.998999,1.12002030243e-06,3.64064377446e-07,3.23063040161e-07,3.30181375969e-07
2019-11-01 15:59:58.998999,1.70674487022e-06,3.61941698752e-07,3.26127696844e-07,3.32815711458e-07
2019-11-01 16:14:58.998999,1.58027658833e-06,3.27282373904e-07,2.83200843066e-07,2.91181945802e-07
2019-11-01 16:29:58.998999,1.94518121001e-06,3.29642829501e-07,2.82709584105e-07,2.91377136263e-07
2019-11-01 16:44:58.998999,2.08698231824e-06,3.08354797288e-07,2.62843409203e-07,2.69422453344e-07
2019-11-01 16:59:58.998999,9.58298885943e-07,3.38094369976e-07,2.88339366976e-07,2.92491842901e-07
2019-11-01 17:14:58.998999,9.89380608127e-07,3.28866528368e-07,2.89298273196e-07,2.94179510957e-07
2019-11-01 17:29:58.998999,9.55825624324e-07,3.10857245998e-07,2.75490891171e-07,2.82625837806e-07
2019-11-01 17:44:58.998999,1.0974385361e-06,3.26268385164e-07,2.85724225959e-07,2.93327276682e-07
2019-11-01 17:59:58.998999,1.32050273553e-06,3.41051848404e-07,2.97204413559e-07,3.04956756092e-07
2019-11-01 18:14:58.998999,9.67890062216e-07,3.1321562616e-07,2.71367905429e-07,2.78939662938e-07
2019-11-01 18:29:58.998999,1.61255185976e-06,2.95169449887e-07,2.56419687248e-07,2.62525658329e-07
2019-11-01 18:44:58.998999,2.08478590446e-06,2.99899957602e-07,2.63455820924e-07,2.69258807878e-07
2019-11-01 18:59:58.998999,2.7376358819e-06,2.76634471558e-07,2.3753028115e-07,2.42694273187e-07
2019-11-01 19:14:58.998999,4.09584938046e-06,2.65922003493e-07,2.24291112571e-07,2.29255211953e-07
2019-11-01 19:29:58.998999,4.76579491083e-06,2.79893634235e-07,2.36417499733e-07,2.43515191754e-07
2019-11-01 19:44:58.998999,1.48715798354e-06,2.79763144987e-07,2.38944089995e-07,2.44105495057e-07
2019-11-01 19:59:58.998999,1.01882318348e-06,3.43622497258e-07,2.9701007009e-07,3.02916320667e-07
2019-11-01 20:14:58.998999,1.10860595077e-06,3.63721505918e-07,3.18834350863e-07,3.26880969214e-07
2019-11-01 20:29:58.998999,1.05503240444e-06,3.44045472112e-07,3.0603921278e-07,3.14481393966e-07
2019-11-01 20:44:58.998999,1.00585784189e-06,3.07578303642e-07,2.68274061801e-07,2.75691349258e-07
2019-11-01 20:59:58.998999,1.03449033859e-06,3.00788374313e-07,2.621539054e-07,2.68117680201e-07
2019-11-01 21:14:58.998999,1.41433184743e-06,3.17580338985e-07,2.80544084352e-07,2.86219165015e-07
2019-11-01 21:29:58.998999,1.43503610532e-06,3.088501043e-07,2.72349672766e-07,2.79566462443e-07
2019-11-01 21:44:58.998999,1.66645368361e-06,2.81022286914e-07,2.40878246765e-07,2.45769870123e-07
2019-11-01 21:59:58.998999,1.27786739222e-06,2.60684683618e-07,2.22703972134e-07,2.28630589433e-07
2019-11-01 22:14:58.998999,9.44909775615e-07,2.7975899762e-07,2.44274308808e-07,2.50741009537e-07
2019-11-01 22:29:58.998999,7.42288497935e-07,2.63760776081e-07,2.30584050899e-07,2.35211821916e-07
2019-11-01 22:44:58.998999,7.60147138228e-07,2.55474109863e-07,2.18939502516e-07,2.22888021303e-07
2019-11-01 22:59:58.998999,1.02973913863e-06,2.7262252723e-07,2.34428200983e-07,2.41177943692e-07
2019-11-01 23:14:58.998999,8.21847090142e-07,2.27975916927e-07,1.94781181732e-07,2.00707553941e-07
2019-11-01 23:29:58.998999,7.78957748892e-07,2.36152445582e-07,2.0425348617e-07,2.08935972572e-07
2019-11-01 23:44:58.998999,9.712328591e-07,2.68718372314e-07,2.29802676654e-07,2.35087005052e-07
2019-11-01 23:59:58.998999,8.76156108934e-06,3.02604412889e-07,2.68737895092e-07,2.74659094262e-07
2019-11-02 00:29:58.997999,9.06566820112e-07,2.58392863772e-07,2.29906006708e-07,2.36593253981e-07
2019-11-02 00:44:58.997999,8.65240468726e-07,2.59014667996e-07,2.34536416488e-07,2.40133058999e-07
2019-11-02 00:59:58.997999,1.08724068979e-06,2.76050594437e-07,2.48369325432e-07,2.54289481202e-07
2019-11-02 01:14:58.997999,1.14593162399e-06,2.73891637936e-07,2.44772645943e-07,2.51689615372e-07
2019-11-02 01:29:58.997999,9.26548881124e-07,2.43450865692e-07,2.21786517876e-07,2.28678542961e-07
2019-11-02 01:44:58.997999,8.89775267768e-07,2.25077673276e-07,2.04330455389e-07,2.10572612164e-07
2019-11-02 01:59:58.997999,8.21277012165e-07,2.245378911e-07,2.02038065672e-07,2.08481277127e-07
2019-11-02 02:14:58.997999,6.7448582366e-07,2.12717471433e-07,1.9219142466e-07,1.98516560642e-07
2019-11-02 02:29:58.997999,7.07570373138e-07,2.1058854211e-07,1.91491095633e-07,1.97201607976e-07
2019-11-02 02:44:58.997999,7.01030913111e-07,2.27723673198e-07,2.07122829957e-07,2.13471111609e-07
2019-11-02 02:59:58.997999,7.72596562453e-07,2.34370484878e-07,2.12425628168e-07,2.19367714941e-07
2019-11-02 03:14:58.997999,7.59721016742e-07,2.26219995193e-07,2.02830872957e-07,2.10067145138e-07
2019-11-02 03:29:58.997999,7.19776337606e-07,2.36808915882e-07,2.15833412974e-07,2.2288323795e-07
2019-11-02 03:44:58.997999,7.14481399048e-07,2.28100145764e-07,2.08277307679e-07,2.15713966907e-07
2019-11-02 03:59:58.997999,7.35606807145e-07,2.16238872332e-07,1.96434314364e-07,2.03942505271e-07
2019-11-02 04:14:58.997999,4.46110650944e-06,1.95639931578e-07,1.6744251478e-07,1.74683511351e-07
2019-11-02 04:29:58.997999,4.48905409099e-06,1.69730124525e-07,1.44992297114e-07,1.51664557801e-07
2019-11-02 04:44:58.997999,1.27127425461e-06,1.3511378069e-07,1.1954941563e-07,1.25697723462e-07
2019-11-02 04:59:58.997999,1.19249938092e-06,1.21817246757e-07,1.07185463167e-07,1.13148749006e-07
2019-11-02 05:14:58.997999,4.91524825482e-07,9.3396369688e-08,8.12629160546e-08,8.71028307378e-08
2019-11-02 05:29:58.997999,9.435916956e-07,7.86672963603e-08,6.83063581351e-08,7.34745661411e-08
2019-11-02 05:44:58.997999,8.35738033737e-07,8.69284210726e-08,7.65631230992e-08,8.1771456967e-08
2019-11-02 05:59:58.997999,6.11078657831e-07,1.08375393161e-07,9.24561520995e-08,9.75198815138e-08
2019-11-02 06:14:58.997999,4.62463998939e-07,8.48462245958e-08,7.43035156716e-08,7.90055156867e-08
2019-11-02 06:29:58.997999,4.25396243673e-07,7.70920642925e-08,6.66646068737e-08,7.11685905283e-08
2019-11-02 06:44:58.997999,4.36604482145e-07,7.43360908707e-08,6.52542975508e-08,6.94567368197e-08
2019-11-02 06:59:58.997999,4.58138003104e-07,7.79361145235e-08,6.68756143634e-08,7.16161636121e-08
2019-11-02 07:14:58.997999,4.49274575807e-07,7.68846832609e-08,6.69111548369e-08,7.0844438617e-08
2019-11-02 07:29:58.997999,4.52836859078e-07,6.29206973824e-08,5.46448839706e-08,5.80903803659e-08
2019-11-02 07:44:58.997999,4.16903376125e-07,5.74521564042e-08,4.86675038455e-08,5.19614401107e-08
2019-11-02 07:59:58.997999,4.44385328125e-07,5.67282208053e-08,4.86374151922e-08,5.14687924232e-08
2019-11-02 08:14:58.997999,4.34310670843e-07,5.46189100025e-08,4.65725838681e-08,4.93511830591e-08
2019-11-02 08:29:58.997999,4.04519045166e-07,4.96339007033e-08,4.12311089677e-08,4.38295051359e-08
2019-11-02 08:44:58.997999,6.03414949001e-07,9.85969046591e-08,9.12580249132e-08,9.37717678838e-08
2019-11-02 08:59:58.997999,5.72767421087e-07,1.00430041271e-07,9.25581552484e-08,9.53726490308e-08
2019-11-02 09:14:58.997999,4.62190323593e-07,6.70796769278e-08,5.59607421686e-08,5.87509997289e-08
2019-11-02 09:29:58.997999,4.78553580679e-07,6.7581516167e-08,5.56925747624e-08,5.86873328879e-08
2019-11-02 09:44:58.997999,4.96242964501e-07,8.37656023598e-08,7.40862142224e-08,7.70263016603e-08
2019-11-02 09:59:58.997999,4.87534443523e-07,1.19293471751e-07,1.11370732456e-07,1.14273785113e-07
2019-11-02 10:14:58.997999,6.21433236624e-07,1.2335765664e-07,1.13671429176e-07,1.17384867794e-07
2019-11-02 10:29:58.997999,6.6131469405e-07,1.07668787448e-07,9.42414557959e-08,9.85157402356e-08
2019-11-02 10:44:58.997999,7.02198554805e-07,1.95565332847e-07,1.798843286e-07,1.84615692141e-07
2019-11-02 10:59:58.997999,8.39592127768e-07,2.46033070966e-07,2.25494622226e-07,2.30751577998e-07
2019-11-02 11:14:58.997999,8.97372570132e-07,2.53488500825e-07,2.2511127578e-07,2.30432999334e-07
2019-11-02 11:29:58.997999,9.19093575807e-07,2.57872100829e-07,2.28275745791e-07,2.34816912208e-07
2019-11-02 11:44:58.997999,1.01551787562e-06,2.66228500168e-07,2.40595002581e-07,2.46697222057e-07
2019-11-02 11:59:58.997999,1.0634486761e-06,3.13493762753e-07,2.86438015712e-07,2.91737895425e-07
2019-11-02 12:14:58.997999,8.49648009286e-07,2.83034238745e-07,2.56636253649e-07,2.62413443676e-07
2019-11-02 12:29:58.997999,8.56621320496e-07,2.68064394837e-07,2.38452770249e-07,2.45761922384e-07
2019-11-02 12:44:58.997999,9.37495470586e-07,2.54620859128e-07,2.24798055775e-07,2.31201162461e-07
2019-11-02 12:59:58.997999,1.03752688567e-06,2.58802908472e-07,2.30366749193e-07,2.36767220131e-07
2019-11-02 13:14:58.997999,1.98350323079e-06,2.59755552724e-07,2.33404012703e-07,2.40247981693e-07
2019-11-02 13:29:58.997999,1.96512461821e-06,2.69886322822e-07,2.40057228535e-07,2.47459551912e-07
2019-11-02 13:44:58.997999,1.17673713048e-06,2.63249170983e-07,2.31961764043e-07,2.39809661344e-07
2019-11-02 13:59:58.997999,1.01444701629e-06,2.68896322731e-07,2.40138175431e-07,2.4869326807e-07
2019-11-02 14:14:58.997999,1.06329502458e-06,3.09205383581e-07,2.81909557597e-07,2.89697151029e-07
2019-11-02 14:29:58.997999,1.51083467735e-06,2.82526900831e-07,2.49944321001e-07,2.58222927671e-07
2019-11-02 14:44:58.997999,1.41471249229e-06,2.8486924102e-07,2.51751049915e-07,2.59973264676e-07
2019-11-02 14:59:58.997999,1.28041375284e-06,2.83356010872e-07,2.52396533107e-07,2.60761142e-07
2019-11-02 15:14:58.997999,1.38275828977e-06,3.61740903754e-07,3.27744118754e-07,3.33895659134e-07
2019-11-02 15:29:58.997999,1.19418908742e-06,3.07687650167e-07,2.74882890534e-07,2.81334468752e-07
2019-11-02 15:44:58.997999,1.03771493651e-06,2.99951096409e-07,2.69400115354e-07,2.76913696533e-07
2019-11-02 15:59:58.997999,9.35295319965e-07,2.87523348385e-07,2.52546640407e-07,2.59609335295e-07
2019-11-02 16:14:58.997999,8.57606838307e-07,2.75285902712e-07,2.46544129844e-07,2.54439841195e-07
2019-11-02 16:29:58.997999,9.54580722378e-07,2.88509785664e-07,2.62640420229e-07,2.69905089754e-07
2019-11-02 16:44:58.997999,9.74258166551e-07,3.07070521089e-07,2.77761719817e-07,2.84704643018e-07
2019-11-02 16:59:58.997999,1.21003261017e-06,3.22719187297e-07,2.90527725729e-07,2.97191090284e-07
2019-11-02 17:14:58.997999,1.43828321176e-06,3.18880668173e-07,2.82061033201e-07,2.89480981842e-07
2019-11-02 17:29:58.997999,2.78545176844e-06,2.91463098491e-07,2.56986207784e-07,2.64257888239e-07
2019-11-02 17:44:58.997999,2.75859981783e-06,2.67718515022e-07,2.3940249119e-07,2.45355067727e-07
2019-11-02 17:59:58.997999,1.10078359623e-06,2.47475616164e-07,2.17719765039e-07,2.23758534567e-07
2019-11-02 18:14:58.997999,1.05266190797e-06,2.56747687469e-07,2.25813877932e-07,2.33048404507e-07
2019-11-02 18:29:58.997999,1.00819511717e-06,2.5082461416e-07,2.22408161712e-07,2.28688835383e-07
2019-11-02 18:44:58.997999,9.31368322345e-07,2.5129996322e-07,2.26057226775e-07,2.31378501131e-07
2019-11-02 18:59:58.997999,9.14588314736e-07,2.55989817856e-07,2.31153943725e-07,2.37959421695e-07
2019-11-02 19:14:58.997999,7.87855968293e-07,2.46693580173e-07,2.20437597046e-07,2.27339028684e-07
2019-11-02 19:29:58.997999,8.00747883374e-07,2.53875538892e-07,2.28511937177e-07,2.35672129969e-07
2019-11-02 19:44:58.997999,8.97635822418e-07,2.55874465527e-07,2.28806202872e-07,2.36099053299e-07
2019-11-02 19:59:58.997999,9.7171078525e-07,2.58985042596e-07,2.30611946054e-07,2.37419085355e-07
2019-11-02 20:14:58.997999,9.90207200132e-07,2.73430252626e-07,2.45774058485e-07,2.53860289491e-07
2019-11-02 20:29:58.997999,1.08895827571e-06,2.7251793182e-07,2.45586552589e-07,2.53726681678e-07
2019-11-02 20:44:58.997999,1.20844667409e-06,2.78459388086e-07,2.51279523629e-07,2.58330677252e-07
2019-11-02 20:59:58.997999,1.16689532512e-06,2.76889070018e-07,2.4808143528e-07,2.54825824452e-07
2019-11-02 21:14:58.997999,1.1592342694e-06,2.63118956366e-07,2.36974328507e-07,2.43453551616e-07
2019-11-02 21:29:58.997999,1.61647076276e-06,2.55747876126e-07,2.29577963053e-07,2.36006060099e-07
2019-11-02 21:44:58.997999,1.58894155371e-06,2.31492619748e-07,2.05887181227e-07,2.13001117477e-07
2019-11-02 21:59:58.997999,1.10442107931e-06,2.40446961606e-07,2.17870881934e-07,2.24085243364e-07
2019-11-02 22:14:58.997999,8.66412256103e-07,2.64989279678e-07,2.46075220332e-07,2.51553777629e-07
2019-11-02 22:29:58.997999,8.62889947362e-07,2.68948605872e-07,2.49212001942e-07,2.55335480502e-07
2019-11-02 22:44:58.997999,1.17486409643e-06,2.42360978802e-07,2.18463760203e-07,2.24683644548e-07
2019-11-02 22:59:58.997999,9.59402813076e-07,2.49867729448e-07,2.27503482704e-07,2.33687373831e-07
2019-11-02 23:14:58.997999,2.10692447026e-06,2.39038152903e-07,2.1669158473e-07,2.23167051295e-07
2019-11-02 23:29:58.997999,1.7009104252e-06,2.29094180936e-07,2.05524224436e-07,2.12105643863e-07
2019-11-02 23:44:58.997999,1.05995376994e-06,2.2485654423e-07,2.03545603183e-07,2.09707168255e-07
2019-11-02 23:59:58.997999,1.73534919859e-06,2.30103003707e-07,2.05295975229e-07,2.11178652765e-07
2019-11-03 00:29:58.995999,2.30474669489e-06,2.3197373542e-07,2.10985503525e-07,2.16734648853e-07
2019-11-03 00:44:58.995999,1.02366983185e-06,2.2573208204e-07,2.04275117476e-07,2.10660426346e-07
2019-11-03 00:59:58.995999,9.45754912982e-07,2.09326937576e-07,1.87946346079e-07,1.94061991102e-07
2019-11-03 01:14:58.995999,7.59862255813e-07,2.29022021252e-07,2.11055166366e-07,2.16532610584e-07
2019-11-03 01:29:58.995999,2.34339377268e-06,2.23396996335e-07,2.0907299043e-07,2.14519123486e-07
2019-11-03 01:44:58.995999,3.01533927154e-06,2.14521076615e-07,1.99378177823e-07,2.05250795278e-07
2019-11-03 01:59:58.995999,1.28289570145e-06,1.91438293374e-07,1.74404400808e-07,1.79998377091e-07
2019-11-03 02:14:58.995999,1.10330354174e-06,2.00402422063e-07,1.83168574373e-07,1.88951061938e-07
2019-11-03 02:29:58.995999,1.05495375104e-06,2.07415165363e-07,1.90748890443e-07,1.96709705309e-07
2019-11-03 02:44:58.995999,2.76919516635e-06,2.78493052597e-07,2.32840699002e-07,2.41243699605e-07
2019-11-03 02:59:58.995999,2.94372720535e-06,2.65084092827e-07,2.13249625019e-07,2.20161153519e-07
2019-11-03 03:14:58.995999,7.99021023223e-07,1.63947563054e-07,1.45232250489e-07,1.51916428832e-07
2019-11-03 03:29:58.995999,6.27612384082e-07,1.64239193517e-07,1.44885407727e-07,1.51124538115e-07
2019-11-03 03:44:58.995999,5.88244783573e-07,1.51214410893e-07,1.31996126773e-07,1.38139281056e-07
2019-11-03 03:59:58.995999,5.62798655722e-07,1.40212672428e-07,1.22503700351e-07,1.28228124596e-07
2019-11-03 04:14:58.995999,5.48246428195e-07,1.31966769704e-07,1.15644552087e-07,1.20621142086e-07
2019-11-03 04:29:58.995999,5.08596268406e-07,1.30866337886e-07,1.07529400714e-07,1.12315194057e-07
2019-11-03 04:44:58.995999,5.26529759635e-07,1.08093929465e-07,9.12660533814e-08,9.71919255529e-08
2019-11-03 04:59:58.995999,5.05501069089e-07,1.02242181921e-07,8.76848518549e-08,9.41966922104e-08
2019-11-03 05:14:58.995999,4.84648343133e-07,9.60795375156e-08,8.31800844437e-08,8.81182194617e-08
2019-11-03 05:29:58.995999,5.00679161105e-07,9.30019625692e-08,8.04027128293e-08,8.44660718727e-08
2019-11-03 05:44:58.995999,4.89477977204e-07,9.99950439302e-08,8.34931406155e-08,8.7273602461e-08
2019-11-03 05:59:58.995999,5.20080122752e-07,9.05249386383e-08,7.87699704123e-08,8.34643198593e-08
2019-11-03 06:14:58.995999,4.64662178427e-07,8.09314892589e-08,7.17708859496e-08,7.65096729181e-08
2019-11-03 06:29:58.995999,4.87899507895e-07,8.34489503212e-08,7.17796811613e-08,7.65427924261e-08
2019-11-03 06:44:58.995999,4.75394112949e-07,8.45918888523e-08,7.11247530897e-08,7.55163934545e-08
2019-11-03 06:59:58.995999,4.53533432169e-07,7.8820695722e-08,7.01561762517e-08,7.52759036973e-08
2019-11-03 07:14:58.995999,4.57878389706e-07,6.89861857827e-08,6.11041661317e-08,6.53381380239e-08
2019-11-03 07:29:58.995999,4.70672860155e-07,6.77560254563e-08,5.87618511389e-08,6.35780820965e-08
2019-11-03 07:44:58.995999,4.85146360088e-07,6.4483036349e-08,5.56088147979e-08,6.04748030999e-08
2019-11-03 07:59:58.995999,4.66934973655e-07,5.10142656207e-08,4.46174887058e-08,4.79114480111e-08
2019-11-03 08:14:58.995999,4.73759783814e-07,5.79512384356e-08,5.07297292266e-08,5.45279871781e-08
2019-11-03 08:29:58.995999,4.76543402016e-07,6.09850861765e-08,5.41541303362e-08,5.7930331975e-08
2019-11-03 08:44:58.995999,5.46591350608e-07,8.84162328037e-08,8.24938041945e-08,8.54034273872e-08
2019-11-03 08:59:58.995999,6.3605259775e-07,1.11120181438e-07,1.04153759557e-07,1.07689584095e-07
2019-11-03 09:14:58.995999,6.62990347289e-07,9.6811716e-08,8.87892742604e-08,9.23619205316e-08
2019-11-03 09:29:58.995999,5.86380223833e-07,8.35203304711e-08,7.50444880849e-08,7.83325986528e-08
