,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59.000,2.1359787766e-08,1.60371341636e-07,1.40402084323e-07,1.44766743616e-07
2019-10-31 23:44:59.000,2.12595325151e-08,1.79655592232e-07,1.5955573115e-07,1.64993071535e-07
2019-10-31 23:59:59.000,2.11828468609e-08,1.89123310529e-07,1.69007145221e-07,1.74276556896e-07
2019-11-01 00:14:59.000,2.13906467384e-08,1.89438475738e-07,1.71599766935e-07,1.75952864716e-07
2019-11-01 00:29:59.000,2.16777956832e-08,1.82488533315e-07,1.64469462369e-07,1.69129861339e-07
2019-11-01 00:44:59.000,2.14940243916e-08,1.61585121802e-07,1.41097140855e-07,1.45529133843e-07
2019-11-01 00:59:59.000,2.17388881643e-08,1.78047265964e-07,1.58501114947e-07,1.62565192725e-07
2019-11-01 01:14:59.000,2.13542485824e-08,1.64021038903e-07,1.44511451142e-07,1.48460958288e-07
2019-11-01 01:29:59.000,2.0546490676e-08,1.44016195299e-07,1.25705926519e-07,1.29773072437e-07
2019-11-01 01:44:59.000,2.02949236265e-08,1.63522495195e-07,1.49724116899e-07,1.53639196819e-07
2019-11-01 01:59:59.000,2.03030882815e-08,1.55814950867e-07,1.41676775762e-07,1.45283070076e-07
2019-11-01 02:14:59.000,1.98769330996e-08,1.53813418024e-07,1.38943392097e-07,1.43731338474e-07
2019-11-01 02:29:59.000,2.36448539385e-08,1.47912226546e-07,1.32594401302e-07,1.37237470006e-07
2019-11-01 02:44:59.000,2.38767910465e-08,1.40471534196e-07,1.26473847804e-07,1.30079222336e-07
2019-11-01 02:59:59.000,1.95108678436e-08,1.27930259896e-07,1.14393326293e-07,1.17707836671e-07
2019-11-01 03:14:59.000,1.89738635337e-08,1.19119665874e-07,1.0567268896e-07,1.08818037038e-07
2019-11-01 03:29:59.000,1.87568357102e-08,1.32882736907e-07,1.20139589396e-07,1.2388061931e-07
2019-11-01 03:44:59.000,1.83916912411e-08,1.53479331651e-07,1.4169246633e-07,1.45955631076e-07
2019-11-01 03:59:59.000,1.89504403325e-08,1.2649469379e-07,1.14392041498e-07,1.18628017688e-07
2019-11-01 04:14:59.000,1.87263236382e-08,1.14856477937e-07,1.00736848832e-07,1.06547934229e-07
2019-11-01 04:29:59.000,1.8713286147e-08,1.12677113111e-07,9.80806682567e-08,1.04465125183e-07
2019-11-01 04:44:59.000,1.91198257562e-08,9.45979055953e-08,8.17548933825e-08,8.73407093597e-08
2019-11-01 04:59:59.000,1.88741949205e-08,9.30212144046e-08,8.16262217633e-08,8.65995451079e-08
2019-11-01 05:14:59.000,1.90911831522e-08,8.57023293812e-08,7.58817651336e-08,8.03001391535e-08
2019-11-01 05:29:59.000,1.93869893495e-08,7.80668573441e-08,6.86838513163e-08,7.27779416952e-08
2019-11-01 05:44:59.000,1.97553922143e-08,7.63034753684e-08,6.65816922278e-08,7.10327898707e-08
2019-11-01 05:59:59.000,1.95367288095e-08,7.43809624446e-08,6.47829120567e-08,6.91610202448e-08
2019-11-01 06:14:59.000,1.98454466521e-08,6.74801850796e-08,5.82849556668e-08,6.20762695961e-08
2019-11-01 06:29:59.000,1.97560997427e-08,6.51653092612e-08,5.60228796184e-08,5.94968207533e-08
2019-11-01 06:44:59.000,2.04831000487e-08,6.02913520683e-08,5.10725765822e-08,5.42117052458e-08
2019-11-01 06:59:59.000,2.11662114046e-08,5.93733268455e-08,4.97141862134e-08,5.30261173837e-08
2019-11-01 07:14:59.000,2.11802225541e-08,6.22195330151e-08,5.18916344409e-08,5.5751157974e-08
2019-11-01 07:29:59.000,2.13782457301e-08,6.55200363045e-08,5.5443529725e-08,5.96585044227e-08
2019-11-01 07:44:59.000,2.2080483711e-08,5.95977214807e-08,5.05985297328e-08,5.43350938461e-08
2019-11-01 07:59:59.000,2.24617899038e-08,6.07832079272e-08,5.06216941368e-08,5.41547672537e-08
2019-11-01 08:14:59.000,2.24117365809e-08,6.10159266155e-08,5.15740968877e-08,5.51266195006e-08
2019-11-01 08:29:59.000,2.30481500208e-08,5.61068266937e-08,4.77136657728e-08,5.05197054344e-08
2019-11-01 08:44:59.000,2.38086875299e-08,5.53673193267e-08,4.56964908684e-08,4.76509823253e-08
2019-11-01 08:59:59.000,2.36116214731e-08,5.31756245446e-08,4.24590075605e-08,4.47143897844e-08
2019-11-01 09:14:59.000,2.47916230005e-08,6.60348121785e-08,5.7348267825e-08,5.85256233072e-08
2019-11-01 09:29:59.000,2.53734436051e-08,7.74822160449e-08,7.04772322572e-08,7.15315627385e-08
2019-11-01 09:44:59.000,2.51428649452e-08,5.69144158303e-08,4.48502344385e-08,4.62457496485e-08
2019-11-01 09:59:59.000,2.51912665004e-08,6.95664127609e-08,5.59094482736e-08,5.72851595485e-08
2019-11-01 10:14:59.000,2.58394940072e-08,1.05928303742e-07,9.47945993641e-08,9.58891927462e-08
2019-11-01 10:29:59.000,2.60662313554e-08,1.10038322388e-07,9.65975916963e-08,9.86932569665e-08
2019-11-01 10:44:59.000,2.65421807922e-08,1.24472023948e-07,1.08832562103e-07,1.11752298404e-07
2019-11-01 10:59:59.000,2.77413075112e-08,1.40425448103e-07,1.238109383e-07,1.26588638995e-07
2019-11-01 11:14:59.000,2.95296779286e-08,1.72188131568e-07,1.53605266563e-07,1.57280774332e-07
2019-11-01 11:29:59.000,2.93262621993e-08,1.93191625841e-07,1.7450443844e-07,1.79716189517e-07
2019-11-01 11:44:59.000,2.82392928454e-08,1.96030886366e-07,1.77113812724e-07,1.83072418178e-07
2019-11-01 11:59:59.000,2.8556494696e-08,1.97993622589e-07,1.7718546941e-07,1.83596677675e-07
2019-11-01 12:14:59.000,2.95555040482e-08,2.43465555121e-07,2.23056050072e-07,2.29923977305e-07
