,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0,10.0-30.0
2019-10-31 23:29:59.000000,3.01676816324e-07,8.05368832068e-09,3.22282261531e-09,6.78959422315e-09,3.23842201382e-08
2019-10-31 23:44:59.000000,3.07518369155e-07,7.89621814645e-09,3.05371142422e-09,6.64861942578e-09,3.33789595107e-08
2019-10-31 23:59:59.000000,3.09439245728e-07,7.85411297227e-09,2.96193618404e-09,6.67292415473e-09,3.11082052728e-08
2019-11-01 00:14:59.000000,3.12438819369e-07,7.74337790807e-09,2.93848640769e-09,6.63750363691e-09,3.17005813491e-08
2019-11-01 00:29:59.000000,3.03606640346e-07,7.9058457323e-09,3.22741443478e-09,6.82641403148e-09,3.14348655728e-08
2019-11-01 00:44:59.000000,3.04887197338e-07,8.04953214347e-09,3.15831128476e-09,6.78744295757e-09,3.25949807894e-08
2019-11-01 00:59:59.000000,2.99877405309e-07,7.84619523085e-09,2.91564696748e-09,6.68150625569e-09,3.33176242143e-08
2019-11-01 01:14:59.000000,3.02682637786e-07,7.56170392723e-09,2.65818084857e-09,6.51634335214e-09,2.97932057516e-08
2019-11-01 01:29:59.000000,2.78113281144e-07,7.58279694665e-09,2.43396747304e-09,6.51638326406e-09,2.99296163649e-08
2019-11-01 01:44:59.000000,2.73467261213e-07,7.53453573575e-09,2.52133873435e-09,6.49012446679e-09,3.00615450973e-08
2019-11-01 01:59:59.000000,2.76671775237e-07,7.47917489377e-09,2.48576732812e-09,6.49439259126e-09,3.15741491786e-08
2019-11-01 02:14:59.000000,2.74400148824e-07,7.32735254414e-09,2.23649211048e-09,6.31506441842e-09,3.15791563798e-08
2019-11-01 02:29:59.000000,2.76025877873e-07,7.46426086367e-09,2.4064224238e-09,6.40732301753e-09,3.10839568531e-08
2019-11-01 02:44:59.000000,2.89755547931e-07,7.43058037629e-09,2.36933337693e-09,6.44457117217e-09,3.31825406239e-08
2019-11-01 02:59:59.000000,2.93883084135e-07,7.27306287274e-09,2.43126625185e-09,6.26881826787e-09,3.22417782656e-08
