,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2019-10-31 23:29:59,8.82542905174e-08,1.71286883725e-09,3.3269009691e-10,4.76501435973e-10
2019-10-31 23:44:59,9.21334857788e-08,1.58704705711e-09,2.78240850311e-10,3.80709295322e-10
2019-10-31 23:59:59,9.18542067e-08,1.56399239224e-09,2.78150430176e-10,3.74051890252e-10
2019-11-01 00:14:59,9.16114219952e-08,1.63342567361e-09,3.26089242524e-10,5.00172335716e-10
2019-11-01 00:29:59,8.59371424372e-08,1.62243313603e-09,3.20680983332e-10,5.2626566927e-10
2019-11-01 00:44:59,8.99809620476e-08,1.72729354213e-09,3.91927046219e-10,6.13028185399e-10
2019-11-01 00:59:59,8.58607689223e-08,1.68517913912e-09,3.57616285427e-10,5.37326551161e-10
2019-11-01 01:14:59,8.89888598917e-08,1.588608345e-09,2.84605251347e-10,3.91974529034e-10
2019-11-01 01:29:59,9.22400328323e-08,1.72515572885e-09,3.11081228431e-10,4.09823684202e-10
2019-11-01 01:44:59,9.22417817737e-08,1.63378892463e-09,2.76792915174e-10,3.57643096427e-10
2019-11-01 01:59:59,8.7097695073e-08,1.61596571303e-09,2.7265696226e-10,3.61536310601e-10
2019-11-01 02:14:59,8.60722356483e-08,1.58299973619e-09,2.95379655114e-10,4.03498546056e-10
2019-11-01 02:29:59,8.98551668568e-08,1.50853786842e-09,2.64778499765e-10,3.52642181931e-10
2019-11-01 02:44:59,8.89152447731e-08,1.59398835895e-09,2.75347534789e-10,3.61448698315e-10
2019-11-01 02:59:59,8.66107010396e-08,1.64561579841e-09,3.11747919458e-10,4.10665903636e-10
2019-11-01 03:14:59,9.07169799587e-08,1.73074762631e-09,3.40976282014e-10,4.51986908515e-10
2019-11-01 03:29:59,8.41539463109e-08,1.55502964204e-09,2.77837149168e-10,3.77661464422e-10
2019-11-01 03:44:59,8.8516574586e-08,1.48751353181e-09,2.6445588584e-10,3.62436754671e-10
2019-11-01 03:59:59,9.04017574562e-08,1.58861978003e-09,3.21974347494e-10,4.57051629349e-10
