Country name,City,Station_Code,latitude,longitude,pop_den_30s,pop_den_2.5min
Antarctica,Princess Elisabeth Station,BE.ELIB,-71.947,23.347,0,0
Australia,Offshore,IM.H01W3,-34.880901,114.1399,0,0
Italy,summit Etna (2985 m a.s.l),IV.ECPN,37.74283,14.9885,0,0
Finland,Kevonsuu,IU.KEV,69.7565,27.0035,0,0
Australia,Mila,AU.MILA,-37.0547,149.155,0,0
Namibia,Tsumeb,IU.TSUM,-19.202,17.584,1,1
Botswana,Khwee,BX.KHWEE,-21.9464,25.446911,3,3
Algeria,Tamanrasset,G.TAM,22.79149,5.52838,3,3
United States,Idaho Springs,US.ISCO,39.7997,-105.6134,14,4
United States,"Socs Landing, Pioneer",N4.143B,32.7032,-91.4036,8,5
"Azores, São Miguel",Portugal,II.CMLA,37.7637,-25.5243,1,6
Canada,"Edmonton, Alberta",CN.EDM,53.223,-113.3497,4,6
St Helena,,II.SHEL,-15.9594,-5.7455,3,14
Cote d'Ivoire,Near Dimbokoro,GT.DBIC,6.67016,-4.85656,18,18
Botswana,Lephepe,BX.LPHEP,-23.363029,25.859613,31,20
Cameroon,Edea,G.EDA,3.778868,10.153427,21,21
Tanzania,Near Makuyuni,AM.R2E8D,-3.720720721,36.09412443,25,21
Indonesia,Bandaneira,GE.BNDI,-4.5224,129.9045,22,22
Canada,"Sudbury, Ontario",CN.SUBO,46.6115,-81.1321,6,22
Estonia,Vasula,EE.VSU,58.462,26.7347,34,25
Djibouti,We'a,G.ATD,11.530725,42.846634,26,26
Indonesia,Tanimbar,GE.SAUI,-7.9826,131.2988,27,27
Ukraine,Vorsivka,UD.AKBB,50.7012,29.2242,30,30
Papua New Guinea,Bubu,AM.R40AC,-5.3153,151.0208,31,31
Chile,Easter Island,C1.VA02,-27.1603,-109.4345,40,40
Botswana,Lobatse,GT.LBTB,-25.0151,25.596649,30,42
Indonesia,Lhokseumave,GE.LUWI,-1.0418,122.7717,42,42
USA,"Hammonton, NJ",N4.P61A,39.6734,-74.7919,88,49
France,Réunion,PF.CSS,-21.2464,55.68451,56,56
Zambia,Lusaka,IU.LSZ,-15.2779,28.1882,65,65
Indonesia,Tolitoli,GE.TOLI2,1.1112,120.7817,73,73
USA,"Caumsett state park, Long Island",N4.N62A,40.9313,-73.4677,63,74
Indonesia,Plampang,GE.PLAI,-8.8275,117.7765,74,74
