Country name,City,Station_Code,latitude,longitude,pop_den_30s,pop_den_2.5min
Albania,Tirana,MN.TIR,41.3472,19.8631,6714.011,7008.707
Albania,Tirana,MN.TIR,41.3472,19.8631,6714.011,7008.707
Armenia,Gyumri,AM.R37AF,40.802,43.837,2140.198,1503.055
Aruba,Oranjestad,AM.R8473,12.5225,-70.0172,2040.749,1803.098
Australia,Canberra,S1.AUMHS,-35.363,149.089,1063.565,963.9265
Australia,Brisbane,S1.AUWSH,-27.398,153.037,2361.673,2134.07
Azerbaijan,Baku,AM.R8D21,40.369,49.81,9177.408,7487.756
Bahrain,Riffa,AM.R16FA,26.144,50.523,7821.042,5263.232
Botswana,Kasane,BX.KSANE,-17.800171,25.161894,1.38239,6.32641
Botswana,Lokgwabe,BX.LKGWB,-24.11351,21.782303,0.55043,0.55043
Botswana,Mmakgori,BX.MAKGR,-25.81185,24.800846,14.84741,24.21726
Czech Republic,Prague,AM.RC121,50.036,14.4623,2760.349,2760.349
Egypt,Luxor,AM.RCDB7,25.73,32.594,1226.649,9906.144
Haiti,Port-au-Prince,AM.R0306,18.5495,-72.2983,16432.39,18832.48
Hawaii,Kapolei,AM.RC4AC,21.3243,-158.0756,130.3858,474.6691
Indonesia,Jakarta,AM.RFCBE,-6.16,106,1080.631,1080.631
Indonesia,Sanana,GE.SANI,-2.0496,125.9881,47,47
Indonesia,Soe,GE.SOEI,-9.7553,124.2672,126,126
Indonesia,Lhokseumave,GE.LHMI,5.2288,96.9472,234,234
Indonesia,Ternate,GE.TNTI,0.7718,127.3667,1678,1678
Indonesia,Semarang,GE.SMRI,-7.04915,110.44067,4947,4855
IRAN,Abhar,AM.R3AC4.00.EHZ,36.198,49.213,162.7504,130.6326
IRAN,Zanjan,AM.R2989.00.EHZ,36.694,48.496,84.62983,84.62983
Israel,Tel Aviv,AM.R2942,32,34.7699,9341.685,9364.569
Japan,Osaka,AM.REB73,34.7027,135.5688,13086.28,11795.28
Kuwait,Kuwait City,AM.R25A7,29.333,47.9,8317.745,6104.501
Kyrgyzstan,,AM.R0A52,40.829,74.105,86.95727,86.95727
Lithuania,Paburge,GE.PBUR..BHZ,56.024,21.929,35.63416,35.63416
Myanmar,Naypyidaw,AM.RFAD5,19.7748,96.1306,751.8728,304.2953
Myanmar,Mandalay,AM.R5413,21.973,96.0923,15536.59,12723.86
New Zealand,Dunedin,AM.RA60A,-45.8829,170.4854,1381.892,1816.42
New Zealand,Christchurch,AM.RCD60,-43.6396,172.4869,1398.432,325.6914
New Zealand,Christchurch,AM.R3950,-43.5496,172.5906,326.8055,1748.253
New Zealand,Christchurch,AM.R00B9,-43.5225,172.6096,1497.521,2065.471
Oman,Muscat,AM.R7E44,23.64,58.212,952.7557,952.7557
Pakistan,Islamabad,AM.R7CA8,33.676,73.058,2299.318,2299.318
Poland,Leczyca,AM.RA607,52.018,19.1947,56.49286,127.7824
Poland,Torun,AM.R49FD,52.991,18.667,1828.33,796.0357
Portugal,Lisbon,AM.R8890,38.7477,-9.1498,9572,10569
Portugal,Coimbra,AM.RC085,40.1982,-8.4452,2116.338,1082.367
Romania,Bucharest,AM.R4601,44.4324,26.1559,10971.06,10965.91
Romania,Bucharest,AM.RBFC6,44.4595,26.0682,3218.386,3329.014
Russia,Kamenushka,AM.RFCF5,54.838,83.228,48.63937,48.63936
Scotland,Gairloch,AM.R98E6,57.721,-5.686,268.3741,51.7123
Scotland,Stornoway,AM.R08CF,58.207,-6.362,282.1443,261.7486
Singapore,Singapore,MS.BTDF,1.362,103.775,12301.32,12045.55
Singapore,Singapore,MS.UBIN,1.418,103.954,0,2402.338
South Africa,Johannesburg,AM.R026F,-26.0541,28.0989,1635.951,1195.204
South Africa,Ga-Luka,AM.SA211,-25.6937,27.2549,3189.025,732.3429
South Korea,Daejeon,AM.R5522,36.3063,127.3198,2982.286,3108.491
South Korea,Daejeon,AM.R5522,36.3063,127.3198,2982.286,3108.491
South Korea,Seoul,AM.R319F,37.5586,126.9403,15122.29,16874.36
South Korea,Seoul,AM.R319F,37.5586,126.9403,15122.29,16874.36
Spain,Gran Canaria,ES.EOSO,28.0718,-15.5525,587.0889,430.1252
Sweden,Stockholm,AM.RACBA,59.2703,18.0552,5718.499,4876.015
Sweden,Uppsala,AM.R3109,59.8468,17.6128,1572.781,2014.673
Tenerife,Tacoronte,AM.R6F15,28.4775,-16.3993,936.7715,971.6687
USA,"Basking Ridge, NJ",LD.BRNJ,40.682695,-74.565742,612.0181,571.8206
USA,"Princeton town, NJ",LD.PANJ,40.3769,-74.7029,156.6729,199.6574
Uzbekistan,Yangiyul,AM.R39E4,41.099,69.024,190.5983,190.5983
Uzbekistan,Tashkent,AM.RC55B,41.315,69.19,190.5983,190.5983
Uzbekistan,Tashkent,AM.R3FC0,41.315,69.162,190.5983,190.5983
Uzbekistan,Tashkent,AM.RB9CC,41.324,69.284,190.5983,190.5983
Uzbekistan,Tashkent,AM.RB9CC,41.3243,69.2839,190.5983,190.5983
Uzbekistan,Tashkent,AM.R7568,41.333,69.242,190.5983,190.5983
Uzbekistan,Tashkent,AM.RE0CC,41.342,69.324,190.5983,190.5983
Botswana,Sekoma,BX.SKOMA,-24.515341,23.932789,1,1
South Africa,Pongola,AF.POGA,-27.346,31.707,35,35
Senegal,M'Bour,G.MBO,14.392024,-16.955467,419,419
